"","Family","name","mean_value","count","sd","value_stderr",".group"
"1","Coronaviridae","0",0,5,0,0,1
"2","Coronaviridae","≤1",0,5,0,0,1
"3","Coronaviridae","≤2",0,5,0,0,1
"4","Coronaviridae","≤3",0.00312695434646654,5,0.00699208248123762,0.00312695434646654,1
"5","Herpesviridae","0",0.0183807758465906,10,0.0529682342286026,0.0167500263799676,2
"6","Herpesviridae","≤1",0.0514032804022894,10,0.088867751986111,0.0281024506815063,2
"7","Herpesviridae","≤2",0.0855007194932863,10,0.106210945900084,0.0335868501485189,2
"8","Herpesviridae","≤3",0.145041701765224,10,0.171162523143347,0.0541263423194258,2
"9","Poxviridae","0",0.0756853113314317,9,0.0285448623216542,0.00951495410721806,3
"10","Poxviridae","≤1",0.18237588378184,9,0.0553613383540531,0.018453779451351,3
"11","Poxviridae","≤2",0.345138406095897,9,0.132090506920777,0.0440301689735925,3
"12","Poxviridae","≤3",0.536979034059901,9,0.225482405808725,0.0751608019362416,3
