"","Genome","name","mean_value","count","sd","value_stderr",".group"
"1","circular ssRNA-","0",0,1,NA,NA,1
"2","circular ssRNA-","≤1",0,1,NA,NA,1
"3","circular ssRNA-","≤2",0,1,NA,NA,1
"4","circular ssRNA-","≤3",10.1010101010101,1,NA,NA,1
"5","dsDNA","0",0.0777383284097079,29,0.0942004816747833,0.0174925903010401,2
"6","dsDNA","≤1",0.212700123375931,29,0.216214986989738,0.0401501151280062,2
"7","dsDNA","≤2",0.556587526380744,29,0.393740773973984,0.0731158261771931,2
"8","dsDNA","≤3",4.08302583245078,29,2.08463563066512,0.387107118412291,2
"9","dsDNA-RT","0",0,2,0,0,3
"10","dsDNA-RT","≤1",0.0880523380523381,2,0.0347334733787472,0.0245602745602746,3
"11","dsDNA-RT","≤2",1.16924066924067,2,0.57605996459599,0.407335907335907,3
"12","dsDNA-RT","≤3",5.26994851994852,2,0.987856384785068,0.698519948519949,3
"13","dsRNA","0",0,4,0,0,4
"14","dsRNA","≤1",0.00439444542098787,4,0.00878889084197574,0.00439444542098787,4
"15","dsRNA","≤2",0.0609380467403458,4,0.0179965930285864,0.00899829651429318,4
"16","dsRNA","≤3",1.68117029011257,4,0.383975467767032,0.191987733883516,4
"17","ssDNA","0",0,3,0,0,5
"18","ssDNA","≤1",0,3,0,0,5
"19","ssDNA","≤2",0.433609535185173,3,0.537355316011241,0.310242236349567,5
"20","ssDNA","≤3",5.58309276755011,3,4.47354195211808,2.58280065028646,5
"21","ssRNA+","0",0,49,0,0,6
"22","ssRNA+","≤1",0.00535791227251532,49,0.019170309243426,0.00273861560620372,6
"23","ssRNA+","≤2",0.104422900260694,49,0.117079021727221,0.0167255745324602,6
"24","ssRNA+","≤3",2.48944193927619,49,0.925540525323942,0.132220075046277,6
"25","ssRNA+-RT","0",0,5,0,0,7
"26","ssRNA+-RT","≤1",0.00975371860521824,5,0.0218099778346724,0.00975371860521824,7
"27","ssRNA+-RT","≤2",0.116185382142345,5,0.149502953945096,0.0668597535716509,7
"28","ssRNA+-RT","≤3",3.59172907400833,5,2.21775180881963,0.991808760348763,7
"29","ssRNA-","0",0,41,0,0,8
"30","ssRNA-","≤1",0,41,0,0,8
"31","ssRNA-","≤2",0.0241639544750426,41,0.0292032074247673,0.00456077476273918,8
"32","ssRNA-","≤3",1.92191981444907,41,0.379756967579189,0.0593080742302514,8
