"","Genome","name","mean_value","count","sd","value_stderr",".group"
"1","circular ssRNA-","0",0,1,NA,NA,1
"2","circular ssRNA-","≤1",0,1,NA,NA,1
"3","circular ssRNA-","≤2",0,1,NA,NA,1
"4","circular ssRNA-","≤3",0,1,NA,NA,1
"5","dsDNA","0",0.0283247215019247,29,0.0444581490106779,0.00825567101526361,2
"6","dsDNA","≤1",0.0706478756927028,29,0.0917240364482942,0.0170327259672302,2
"7","dsDNA","≤2",0.129711754019264,29,0.164262548341737,0.0305027894641432,2
"8","dsDNA","≤3",0.206855415129396,29,0.25901979140214,0.0480987677589699,2
"9","dsDNA-RT","0",0,2,0,0,3
"10","dsDNA-RT","≤1",0,2,0,0,3
"11","dsDNA-RT","≤2",0,2,0,0,3
"12","dsDNA-RT","≤3",0,2,0,0,3
"13","dsRNA","0",0,4,0,0,4
"14","dsRNA","≤1",0,4,0,0,4
"15","dsRNA","≤2",0,4,0,0,4
"16","dsRNA","≤3",0,4,0,0,4
"17","ssDNA","0",0,3,0,0,5
"18","ssDNA","≤1",0,3,0,0,5
"19","ssDNA","≤2",0,3,0,0,5
"20","ssDNA","≤3",0,3,0,0,5
"21","ssRNA+","0",0,49,0,0,6
"22","ssRNA+","≤1",0,49,0,0,6
"23","ssRNA+","≤2",0,49,0,0,6
"24","ssRNA+","≤3",0.000316332066423407,49,0.00221432446496385,0.000316332066423407,6
"25","ssRNA+-RT","0",0,5,0,0,7
"26","ssRNA+-RT","≤1",0,5,0,0,7
"27","ssRNA+-RT","≤2",0,5,0,0,7
"28","ssRNA+-RT","≤3",0,5,0,0,7
"29","ssRNA-","0",0,41,0,0,8
"30","ssRNA-","≤1",0,41,0,0,8
"31","ssRNA-","≤2",0,41,0,0,8
"32","ssRNA-","≤3",0,41,0,0,8
