"","Family","name","mean_value","count","sd","value_stderr",".group"
"1","Arenaviridae","0",1,5,0,0,1
"2","Arenaviridae","≤1",1,5,0,0,1
"3","Arenaviridae","≤2",1,5,0,0,1
"4","Arenaviridae","≤3",0.979106795911429,5,0.0823120079247092,0.0368110490168302,1
"5","Coronaviridae","0",1,5,0,0,2
"6","Coronaviridae","≤1",1,5,0,0,2
"7","Coronaviridae","≤2",1,5,0,0,2
"8","Coronaviridae","≤3",1.08323856558729,5,0.278452119920987,0.12452757372445,2
"9","Flaviviridae","0",1,12,0,0,3
"10","Flaviviridae","≤1",1,12,0,0,3
"11","Flaviviridae","≤2",1.00833333333333,12,0.0288675134594813,0.00833333333333334,3
"12","Flaviviridae","≤3",1.06334676367988,12,0.120777012651813,0.0348653203832215,3
"13","Herpesviridae","0",1.26882940789722,10,0.383939549863993,0.121412346139001,4
"14","Herpesviridae","≤1",1.66739845225179,10,1.22076073151034,0.386038438966596,4
"15","Herpesviridae","≤2",1.58867913287213,10,1.06308247277164,0.336176195456233,4
"16","Herpesviridae","≤3",1.65305014541484,10,0.84640603075337,0.267657088248317,4
"17","Paramyxoviridae","0",1,6,0,0,5
"18","Paramyxoviridae","≤1",1,6,0,0,5
"19","Paramyxoviridae","≤2",0.983568590495568,6,0.0402485690405762,0.016431409504432,5
"20","Paramyxoviridae","≤3",1.00545712686261,6,0.165851381150378,0.0677085428257126,5
"21","Phenuiviridae","0",1,5,0,0,6
"22","Phenuiviridae","≤1",1,5,0,0,6
"23","Phenuiviridae","≤2",0.980282308594682,5,0.0440900983416553,0.0197176914053184,6
"24","Phenuiviridae","≤3",0.907390318508869,5,0.255396260648422,0.114216680001825,6
"25","Picornaviridae","0",1,13,0,0,7
"26","Picornaviridae","≤1",1,13,0,0,7
"27","Picornaviridae","≤2",1,13,0,0,7
"28","Picornaviridae","≤3",1.06425819580217,13,0.217126304219461,0.060220001778097,7
"29","Polyomaviridae","0",1,5,0,0,8
"30","Polyomaviridae","≤1",1,5,0,0,8
"31","Polyomaviridae","≤2",1,5,0,0,8
"32","Polyomaviridae","≤3",0.988851820463826,5,0.100972086595178,0.0451560898913626,8
"33","Poxviridae","0",1.31988609678574,9,0.847418956710967,0.282472985570322,9
"34","Poxviridae","≤1",0.985432016297615,9,0.421489139155097,0.140496379718366,9
"35","Poxviridae","≤2",0.945687925580461,9,0.377468178025115,0.125822726008372,9
"36","Poxviridae","≤3",1.07583923485278,9,0.416612006313121,0.13887066877104,9
"37","Retroviridae","0",1,5,0,0,10
"38","Retroviridae","≤1",1,5,0,0,10
"39","Retroviridae","≤2",1.02,5,0.0447213595499958,0.02,10
"40","Retroviridae","≤3",1.06512664455457,5,0.106120768805243,0.0474586505746126,10
"41","Rhabdoviridae","0",1,9,0,0,11
"42","Rhabdoviridae","≤1",1,9,0,0,11
"43","Rhabdoviridae","≤2",0.989045726997045,9,0.032862819008864,0.0109542730029547,11
"44","Rhabdoviridae","≤3",1.00560280115924,9,0.109808235591883,0.0366027451972943,11
"45","Togaviridae","0",1,11,0,0,12
"46","Togaviridae","≤1",1,11,0,0,12
"47","Togaviridae","≤2",0.99923206338825,11,0.00254695760395194,0.00076793661175011,12
"48","Togaviridae","≤3",1.07753225398816,11,0.193521428352849,0.0583489060672768,12
