"","Family","mismatches","mean_value","count","sd","value_stderr",".group"
"1","Arenaviridae","0",1,5,0,0,1
"2","Arenaviridae","≤1",1,5,0,0,1
"3","Arenaviridae","≤2",1.04,5,0.0547722557505167,0.0244948974278318,1
"4","Arenaviridae","≤3",0.514359438241567,5,0.276031758753512,0.123445155304335,1
"5","Coronaviridae","0",1,5,0,0,2
"6","Coronaviridae","≤1",1,5,0,0,2
"7","Coronaviridae","≤2",1.66844317538715,5,1.13291376421051,0.506654437883972,2
"8","Coronaviridae","≤3",0.729271236621052,5,0.214734350840015,0.0960321211165125,2
"9","Flaviviridae","0",1,12,0,0,3
"10","Flaviviridae","≤1",1,12,0,0,3
"11","Flaviviridae","≤2",0.949484339190222,12,0.283319406467082,0.0817872677952073,3
"12","Flaviviridae","≤3",0.661560718325605,12,0.174590023310799,0.0503997984781563,3
"13","Herpesviridae","0",3.42,10,3.72015531336469,1.17641640398099,4
"14","Herpesviridae","≤1",8.96666666666667,10,5.66204059537758,1.7904944485729,4
"15","Herpesviridae","≤2",6.06098720756609,10,5.35479764124888,1.69333569556437,4
"16","Herpesviridae","≤3",0.750337594374693,10,0.152936154613471,0.0483626585166236,4
"17","Paramyxoviridae","0",1,6,0,0,5
"18","Paramyxoviridae","≤1",1,6,0,0,5
"19","Paramyxoviridae","≤2",0.848726394378568,6,0.240550131401106,0.0982041799153593,5
"20","Paramyxoviridae","≤3",0.613877272120431,6,0.195434229239148,0.0797856899850048,5
"21","Phenuiviridae","0",1,5,0,0,6
"22","Phenuiviridae","≤1",1,5,0,0,6
"23","Phenuiviridae","≤2",0.922331002331002,5,0.131467022921134,0.0587938400102357,6
"24","Phenuiviridae","≤3",0.67116608159034,5,0.176231362288029,0.0788130611686852,6
"25","Picornaviridae","0",1,13,0,0,7
"26","Picornaviridae","≤1",1.03076923076923,13,0.0751067616198811,0.0208308677041948,7
"27","Picornaviridae","≤2",1.16556776556777,13,0.291801257227248,0.0809311073213614,7
"28","Picornaviridae","≤3",0.928282666995175,13,0.481636839253142,0.133582024621509,7
"29","Polyomaviridae","0",1,5,0,0,8
"30","Polyomaviridae","≤1",1,5,0,0,8
"31","Polyomaviridae","≤2",1.1047619047619,5,0.364651232744317,0.163076988899078,8
"32","Polyomaviridae","≤3",0.866357454092748,5,0.331871340774908,0.148417375551338,8
"33","Poxviridae","0",10.7666666666667,9,3.99155358225341,1.33051786075114,9
"34","Poxviridae","≤1",23.3111111111111,9,9.43138967019766,3.14379655673255,9
"35","Poxviridae","≤2",15.2194016742028,9,8.81008540006345,2.93669513335448,9
"36","Poxviridae","≤3",1.04760429924243,9,0.221562003964148,0.0738540013213826,9
"37","Retroviridae","0",1,5,0,0,10
"38","Retroviridae","≤1",1.04,5,0.0894427190999916,0.04,10
"39","Retroviridae","≤2",1.22857142857143,5,0.353292739293052,0.157997316203275,10
"40","Retroviridae","≤3",0.774333274910222,5,0.328082936316005,0.146723149572064,10
"41","Rhabdoviridae","0",1,9,0,0,11
"42","Rhabdoviridae","≤1",1,9,0,0,11
"43","Rhabdoviridae","≤2",0.982893032893033,9,0.161664756549478,0.0538882521831595,11
"44","Rhabdoviridae","≤3",0.549384772370433,9,0.124169592073749,0.041389864024583,11
"45","Togaviridae","0",1,11,0,0,12
"46","Togaviridae","≤1",1,11,0,0,12
"47","Togaviridae","≤2",1.11886749614022,11,0.290510145021803,0.0875921044390049,12
"48","Togaviridae","≤3",0.772648463275727,11,0.145023120862769,0.0437261161661969,12
