"","Family","mismatches","mean_value","count","sd","value_stderr",".group"
"1","Arenaviridae","0",1,5,0,0,1
"2","Arenaviridae","≤1",0.998675496688742,5,0.00296167944039704,0.00132450331125826,1
"3","Arenaviridae","≤2",0.824820437004688,5,0.0814678567656614,0.036433533141847,1
"4","Arenaviridae","≤3",0.460749569692475,5,0.0941047718410663,0.0420849333687464,1
"5","Coronaviridae","0",1,5,0,0,2
"6","Coronaviridae","≤1",0.988839431114971,5,0.0075382544306844,0.00337120986773986,2
"7","Coronaviridae","≤2",1.09458804465052,5,0.348455298898919,0.155833947091598,2
"8","Coronaviridae","≤3",0.496885464663718,5,0.101772300702702,0.0455139565195584,2
"9","Flaviviridae","0",1,12,0,0,3
"10","Flaviviridae","≤1",0.997515639553219,12,0.00319664235732618,0.000922791162752615,3
"11","Flaviviridae","≤2",0.880530449035173,12,0.137116748050128,0.0395821956985738,3
"12","Flaviviridae","≤3",0.516331630419166,12,0.0621924981983375,0.0179534277881927,3
"13","Herpesviridae","0",1.48783023386406,10,2.04984865822002,0.648219061861528,4
"14","Herpesviridae","≤1",2.25567191421473,10,3.18201324682956,1.0062409404809,4
"15","Herpesviridae","≤2",0.763430846934999,10,0.990712872011592,0.313290918280351,4
"16","Herpesviridae","≤3",0.256601489217761,10,0.181698306615923,0.0574580495901959,4
"17","Paramyxoviridae","0",1,6,0,0,5
"18","Paramyxoviridae","≤1",0.997267759562842,6,0.00669259492563706,0.00273224043715845,5
"19","Paramyxoviridae","≤2",0.804581182993943,6,0.142398433490419,0.0581339170371956,5
"20","Paramyxoviridae","≤3",0.474139975572593,6,0.0403307603890037,0.0164649639819184,5
"21","Phenuiviridae","0",1,5,0,0,6
"22","Phenuiviridae","≤1",0.997346593034257,5,0.00277171853032435,0.00123955020966021,6
"23","Phenuiviridae","≤2",0.783220113542192,5,0.0432033282798669,0.0193211157776043,6
"24","Phenuiviridae","≤3",0.497152168218038,5,0.0431491930064761,0.0192969057473478,6
"25","Picornaviridae","0",1,13,0,0,7
"26","Picornaviridae","≤1",1.02526617666894,13,0.064811844822714,0.0179755715204393,7
"27","Picornaviridae","≤2",0.962574783972579,13,0.153323844576567,0.042524383336314,7
"28","Picornaviridae","≤3",0.507515354861693,13,0.143976389680048,0.0399318658036613,7
"29","Polyomaviridae","0",1,5,0,0,8
"30","Polyomaviridae","≤1",1,5,0,0,8
"31","Polyomaviridae","≤2",1.06265704295488,5,0.172657386356671,0.0772147305421921,8
"32","Polyomaviridae","≤3",0.692251400372867,5,0.176826480061383,0.0790792059278526,8
"33","Poxviridae","0",7.76571261950384,9,4.44449898925103,1.48149966308368,9
"34","Poxviridae","≤1",13.1085358030613,9,11.9001199358866,3.96670664529554,9
"35","Poxviridae","≤2",4.36684296892899,9,3.69906707262716,1.23302235754239,9
"36","Poxviridae","≤3",0.568083414471507,9,0.267844493539125,0.0892814978463751,9
"37","Retroviridae","0",1,5,0,0,10
"38","Retroviridae","≤1",1.00775427553999,5,0.0461073851421149,0.0206198494885066,10
"39","Retroviridae","≤2",0.719992183133921,5,0.314412227351559,0.140609422663041,10
"40","Retroviridae","≤3",0.409642661557602,5,0.145598239913136,0.0651135123700189,10
"41","Rhabdoviridae","0",1,9,0,0,11
"42","Rhabdoviridae","≤1",1,9,0,0,11
"43","Rhabdoviridae","≤2",0.802948616459498,9,0.144692495013812,0.0482308316712706,11
"44","Rhabdoviridae","≤3",0.422573398494953,9,0.111972607004883,0.037324202334961,11
"45","Togaviridae","0",1,11,0,0,12
"46","Togaviridae","≤1",0.978658570713771,11,0.0443421309900815,0.0133696555362628,12
"47","Togaviridae","≤2",0.923988929592827,11,0.217140704332012,0.0654703857257075,12
"48","Togaviridae","≤3",0.55937411910305,11,0.0844875303311882,0.0254739488702112,12
