"","Family_Viral_Zone","(0,1]","(1,2]","(2,3]","(3,4]","(4,6]","(6,10]","(10,20]","(20,323]"
"1","Arenaviridae",89.1541849813488,7.10505405215326,2.62745622484484,4.09698996655518,NA,NA,NA,NA
"2","Coronaviridae",83.0032008413193,8.1711792913171,2.41496500126552,1.69982358755397,1.60539340282995,1.14440690450921,1.88723770937444,1.27510862764752
"3","Flaviviridae",90.921796616912,5.70811251536497,2.12682563500962,1.8325935471554,1.65236750861035,1.48052035863462,2.5297619047619,0.694444444444444
"4","Herpesviridae",69.6969473194689,10.9232548341555,4.49239639917728,2.28496909144456,3.28063257326141,2.55537569315548,2.5579369458434,4.20848714349342
"5","Paramyxoviridae",91.9263589621759,6.23988121523776,1.80706551946464,1.10662753729518,0.909090909090909,2.45901639344262,NA,NA
"6","Phenuiviridae",93.209145021645,5.61525974025974,1.19047619047619,NA,1.5625,3.125,NA,NA
"7","Picornaviridae",84.9096634037585,7.72700706677333,3.69881852108697,3.05238344031447,4.31432333512527,3.73719768445075,8.16912972085386,3.92705811138015
"8","Polyomaviridae",86.0012025012025,9.66714766714767,5.32547699214366,1.13636363636364,1.13636363636364,2.27272727272727,NA,1.13636363636364
"9","Poxviridae",82.1567155295797,8.0481053864496,2.76420738266931,1.51846743817451,1.75306443834147,1.54346490666444,1.11909900989043,1.23398539675942
"10","Retroviridae",80.7346740085196,10.4777325178466,5.16066642827206,2.52510042579574,1.81890885358527,1.61390754277187,3.70597870597871,1.35135135135135
"11","Rhabdoviridae",93.9708596956795,4.26357582932685,5.08474576271187,NA,3.74668435013263,1.38888888888889,1.92307692307692,NA
"12","Togaviridae",89.139337076632,6.89334406165965,2.89189618138475,2.31958932145184,1.39589128805195,1.34304775280899,NA,NA
