"","X","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","virus","p.adjust.manual","log10.p.adjust","p.adjust.manual.perm2","not_found_in_perm2","Motiff_bound","Pathogen","Taxon.mnemonic","Organism","Family_Viral_Zone"
"1","hsa049277","hsa04927","Cortisol synthesis and secretion","14/566","65/8661",6.02288360962234e-05,0.0135370243604613,0.012256562358018,"8912/111/3739/778/5330/776/90993/2778/6667/3164/5331/5087/114/3708",14,"UP000008167",0.0135370243604613,1.86847678955451,NA,"Not Found",NA,"Human adenovirus C serotype 2","ADE02","Human adenovirus C serotype 2 (HAdV-2) (Human adenovirus 2)","Adenoviridae"
"2","hsa049119","hsa04911","Insulin secretion","16/566","86/8661",0.000118956731412827,0.0135370243604613,0.012256562358018,"111/778/23439/5330/776/90993/2778/116/5331/27445/3651/114/3778/5582/476/3781",16,"UP000008167",0.0135370243604613,1.86847678955451,NA,"Not Found",NA,"Human adenovirus C serotype 2","ADE02","Human adenovirus C serotype 2 (HAdV-2) (Human adenovirus 2)","Adenoviridae"
"3","hsa049288","hsa04928","Parathyroid hormone synthesis, secretion and action","18/566","106/8661",0.000155592778186906,0.0135370243604613,0.012256562358018,"111/5143/5330/90993/2778/1958/6667/860/5331/9826/6257/114/5582/3727/632/4041/4040/3708",18,"UP000008167",0.0135370243604613,1.86847678955451,NA,"Not Found",TRUE,"Human adenovirus C serotype 2","ADE02","Human adenovirus C serotype 2 (HAdV-2) (Human adenovirus 2)","Adenoviridae"
"4","hsa0308218","hsa03082","ATP-dependent chromatin remodeling","19/566","117/8661",0.000189329012034424,0.0135370243604613,0.012256562358018,"29994/2186/6595/53615/9031/57634/115482686/54815/26122/65980/57492/1107/8289/10847/6597/54617/1108/6601/6599",19,"UP000008167",0.0135370243604613,1.86847678955451,NA,"Not Found",TRUE,"Human adenovirus C serotype 2","ADE02","Human adenovirus C serotype 2 (HAdV-2) (Human adenovirus 2)","Adenoviridae"
"5","hsa0492513","hsa04925","Aldosterone synthesis and secretion","16/566","98/8661",0.000561858365098448,0.0321382984836312,0.0290983490135196,"8912/111/778/23439/5330/776/5587/90993/2778/3164/5331/114/5582/3991/3708/476",16,"UP000008167",0.0321382984836312,1.49297712006586,NA,"Not Found",TRUE,"Human adenovirus C serotype 2","ADE02","Human adenovirus C serotype 2 (HAdV-2) (Human adenovirus 2)","Adenoviridae"
"6","hsa0301510","hsa03015","mRNA surveillance pathway","15/566","97/8661",0.00146752567083132,0.040447491890468,0.036621578965974,"8106/22985/5042/26986/10189/2521/23049/5411/10250/26019/4440/5527/124540/11052/23435",15,"UP000008167",0.040447491890468,1.39310840339413,NA,"Not Found",TRUE,"Human adenovirus C serotype 2","ADE02","Human adenovirus C serotype 2 (HAdV-2) (Human adenovirus 2)","Adenoviridae"
"7","hsa049247","hsa04924","Renin secretion","12/566","69/8661",0.001535546337064,0.040447491890468,0.036621578965974,"111/778/5330/776/2778/116/2977/5331/3778/9635/3708/5137",12,"UP000008167",0.040447491890468,1.39310840339413,NA,"Not Found",NA,"Human adenovirus C serotype 2","ADE02","Human adenovirus C serotype 2 (HAdV-2) (Human adenovirus 2)","Adenoviridae"
"8","hsa0493415","hsa04934","Cushing syndrome","20/566","155/8661",0.00259287580740926,0.0482866495394189,0.0437192336646928,"8912/111/3739/778/5330/776/4297/90993/2778/5925/6667/3164/5331/5087/1871/114/324/1029/8085/3708",20,"UP000008167",0.0482866495394189,1.31617292789895,NA,"Not Found",NA,"Human adenovirus C serotype 2","ADE02","Human adenovirus C serotype 2 (HAdV-2) (Human adenovirus 2)","Adenoviridae"
"9","hsa0402214","hsa04022","cGMP-PKG signaling pathway","21/566","166/8661",0.00261579291329939,0.0482866495394189,0.0437192336646928,"1258/111/151/778/23439/5330/776/90993/2977/5331/23533/4638/2626/8660/8471/114/3778/6722/3708/146/476",21,"UP000008167",0.0482866495394189,1.31617292789895,NA,"Not Found",NA,"Human adenovirus C serotype 2","ADE02","Human adenovirus C serotype 2 (HAdV-2) (Human adenovirus 2)","Adenoviridae"
"10","hsa049299","hsa04929","GnRH secretion","11/566","64/8661",0.00262568091196101,0.0482866495394189,0.0437192336646928,"8912/610/778/5330/776/84634/5331/5582/7220/3708/3781",11,"UP000008167",0.0482866495394189,1.31617292789895,NA,"Not Found",NA,"Human adenovirus C serotype 2","ADE02","Human adenovirus C serotype 2 (HAdV-2) (Human adenovirus 2)","Adenoviridae"
