"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","virus"
"hsa00061","hsa00061","Fatty acid biosynthesis","1/1","18/8843",0.00203550831165888,0.00407101662331777,NA,"27349",1,"UP000002476"
"hsa01212","hsa01212","Fatty acid metabolism","1/1","57/8843",0.00644577632025323,0.00644577632025323,NA,"27349",1,"UP000002476"
"hsa00785","hsa00785","Lipoic acid metabolism","2/2","20/8843",4.85996857442004e-06,1.80074625073248e-05,NA,"4967/55753",2,"UP000008768"
"hsa00020","hsa00020","Citrate cycle (TCA cycle)","2/2","30/8843",1.11267701572248e-05,1.80074625073248e-05,NA,"4967/55753",2,"UP000008768"
"hsa01210","hsa01210","2-Oxocarboxylic acid metabolism","2/2","33/8843",1.35055968804936e-05,1.80074625073248e-05,NA,"4967/55753",2,"UP000008768"
"hsa01200","hsa01200","Carbon metabolism","2/2","116/8843",0.000170610475744114,0.000170610475744114,NA,"4967/55753",2,"UP000008768"
"hsa007851","hsa00785","Lipoic acid metabolism","2/2","20/8843",4.85996857442004e-06,1.80074625073248e-05,NA,"4967/55753",2,"UP000150053"
"hsa000201","hsa00020","Citrate cycle (TCA cycle)","2/2","30/8843",1.11267701572248e-05,1.80074625073248e-05,NA,"4967/55753",2,"UP000150053"
"hsa012101","hsa01210","2-Oxocarboxylic acid metabolism","2/2","33/8843",1.35055968804936e-05,1.80074625073248e-05,NA,"4967/55753",2,"UP000150053"
"hsa012001","hsa01200","Carbon metabolism","2/2","116/8843",0.000170610475744114,0.000170610475744114,NA,"4967/55753",2,"UP000150053"
"hsa03082","hsa03082","ATP-dependent chromatin remodeling","34/323","117/8843",5.43593342955716e-22,1.51662542684645e-19,1.3675664101728e-19,"6594/6601/57492/1107/8289/54617/6599/10847/1108/6595/6597/9031/57634/2186/6603/3012/3013/3014/8329/8330/8331/8332/8334/8335/8336/8337/8338/8969/55766/85235/92815/221613/317772/723790",34,"UP000000569"
"hsa05034","hsa05034","Alcoholism","25/323","188/8843",1.80085789556421e-08,2.51219676431208e-06,2.26528966863077e-06,"2778/5595/2906/84152/10014/7054/3012/3013/3014/8329/8330/8331/8332/8334/8335/8336/8337/8338/8969/55766/85235/92815/221613/317772/723790",25,"UP000000569"
