"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","virus"
"hsa00130","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis","1/15","11/8661",0.0188976183095788,0.346676249423159,0.346676249423159,"51004",1,"UP000180764"
"hsa01240","hsa01240","Biosynthesis of cofactors","2/15","153/8661",0.0280010703726692,0.346676249423159,0.346676249423159,"51004/124454",2,"UP000180764"
"hsa03030","hsa03030","DNA replication","1/15","36/8661",0.0606142312356514,0.346676249423159,0.346676249423159,"10535",1,"UP000180764"
"hsa05219","hsa05219","Bladder cancer","1/15","41/8661",0.068756321756249,0.346676249423159,0.346676249423159,"4318",1,"UP000180764"
"hsa00860","hsa00860","Porphyrin metabolism","1/15","43/8661",0.0719946768379379,0.346676249423159,0.346676249423159,"124454",1,"UP000180764"
"hsa05144","hsa05144","Malaria","1/15","50/8661",0.0832463382340067,0.346676249423159,0.346676249423159,"7059",1,"UP000180764"
"hsa03460","hsa03460","Fanconi anemia pathway","1/15","54/8661",0.0896185593052132,0.346676249423159,0.346676249423159,"84126",1,"UP000180764"
"hsa04340","hsa04340","Hedgehog signaling pathway","1/15","56/8661",0.0927891446979194,0.346676249423159,0.346676249423159,"1954",1,"UP000180764"
"hsa04927","hsa04927","Cortisol synthesis and secretion","1/15","65/8661",0.106929660597997,0.346676249423159,0.346676249423159,"3739",1,"UP000180764"
"hsa00970","hsa00970","Aminoacyl-tRNA biosynthesis","1/15","66/8661",0.10848806626238,0.346676249423159,0.346676249423159,"124454",1,"UP000180764"
"hsa04512","hsa04512","ECM-receptor interaction","1/15","89/8661",0.143638509030577,0.346676249423159,0.346676249423159,"7059",1,"UP000180764"
"hsa05032","hsa05032","Morphine addiction","1/15","91/8661",0.146633126718801,0.346676249423159,0.346676249423159,"5138",1,"UP000180764"
"hsa04657","hsa04657","IL-17 signaling pathway","1/15","94/8661",0.151106732411617,0.346676249423159,0.346676249423159,"4318",1,"UP000180764"
"hsa05215","hsa05215","Prostate cancer","1/15","97/8661",0.155558441928651,0.346676249423159,0.346676249423159,"4318",1,"UP000180764"
"hsa05410","hsa05410","Hypertrophic cardiomyopathy","1/15","97/8661",0.155558441928651,0.346676249423159,0.346676249423159,"7273",1,"UP000180764"
"hsa01522","hsa01522","Endocrine resistance","1/15","98/8661",0.157037496502573,0.346676249423159,0.346676249423159,"4318",1,"UP000180764"
"hsa04925","hsa04925","Aldosterone synthesis and secretion","1/15","98/8661",0.157037496502573,0.346676249423159,0.346676249423159,"5138",1,"UP000180764"
"hsa05414","hsa05414","Dilated cardiomyopathy","1/15","103/8661",0.164396570221843,0.346676249423159,0.346676249423159,"7273",1,"UP000180764"
"hsa03013","hsa03013","Nucleocytoplasmic transport","1/15","108/8661",0.171695647174102,0.346676249423159,0.346676249423159,"3837",1,"UP000180764"
"hsa04668","hsa04668","TNF signaling pathway","1/15","114/8661",0.180375983447875,0.346676249423159,0.346676249423159,"4318",1,"UP000180764"
"hsa04670","hsa04670","Leukocyte transendothelial migration","1/15","115/8661",0.181814425035366,0.346676249423159,0.346676249423159,"4318",1,"UP000180764"
"hsa00230","hsa00230","Purine metabolism","1/15","128/8661",0.200301029054406,0.346676249423159,0.346676249423159,"5138",1,"UP000180764"
