"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","virus"
"hsa00062","hsa00062","Fatty acid elongation","2/16","27/8661",0.00109327668074412,0.0153845205608042,0.0124571016686674,"10965/641371",2,"UP000180764"
"hsa01040","hsa01040","Biosynthesis of unsaturated fatty acids","2/16","27/8661",0.00109327668074412,0.0153845205608042,0.0124571016686674,"10965/641371",2,"UP000180764"
"hsa03082","hsa03082","ATP-dependent chromatin remodeling","3/16","117/8661",0.0011834246585234,0.0153845205608042,0.0124571016686674,"221613/317772/3014",3,"UP000180764"
"hsa05322","hsa05322","Systemic lupus erythematosus","3/16","137/8661",0.00186460636554919,0.0181799120641046,0.0147205765701252,"221613/317772/3014",3,"UP000180764"
"hsa04217","hsa04217","Necroptosis","3/16","159/8661",0.00285206564659498,0.0222461120434408,0.0180130461890209,"221613/317772/3014",3,"UP000180764"
"hsa04913","hsa04913","Ovarian steroidogenesis","2/16","51/8661",0.00387001516516909,0.0233202003624707,0.0188827533299358,"10965/641371",2,"UP000180764"
"hsa05034","hsa05034","Alcoholism","3/16","188/8661",0.00457607445107463,0.0233202003624707,0.0188827533299358,"221613/317772/3014",3,"UP000180764"
"hsa04613","hsa04613","Neutrophil extracellular trap formation","3/16","191/8661",0.00478363084358373,0.0233202003624707,0.0188827533299358,"221613/317772/3014",3,"UP000180764"
"hsa04530","hsa04530","Tight junction","2/16","170/8661",0.0383785095010547,0.16630687450457,0.134661436845806,"9693/861",2,"UP000180764"
"hsa00052","hsa00052","Galactose metabolism","1/16","32/8661",0.0575538491619987,0.224460011731795,0.18174899735368,"2538",1,"UP000180764"
"hsa00500","hsa00500","Starch and sucrose metabolism","1/16","36/8661",0.064525622361665,0.228772661100449,0.185241021133967,"2538",1,"UP000180764"
"hsa04973","hsa04973","Carbohydrate digestion and absorption","1/16","47/8661",0.0834495174381187,0.271210931673886,0.219603993258207,"2538",1,"UP000180764"
"hsa00240","hsa00240","Pyrimidine metabolism","1/16","58/8661",0.102014068134666,0.297043413944908,0.240520982951342,"129607",1,"UP000180764"
"hsa00010","hsa00010","Glycolysis / Gluconeogenesis","1/16","67/8661",0.116940423964264,0.297043413944908,0.240520982951342,"2538",1,"UP000180764"
"hsa05221","hsa05221","Acute myeloid leukemia","1/16","67/8661",0.116940423964264,0.297043413944908,0.240520982951342,"861",1,"UP000180764"
"hsa04920","hsa04920","Adipocytokine signaling pathway","1/16","70/8661",0.121863964695347,0.297043413944908,0.240520982951342,"2538",1,"UP000180764"
"hsa05220","hsa05220","Chronic myeloid leukemia","1/16","76/8661",0.131633937754203,0.301983739553759,0.244521246602234,"861",1,"UP000180764"
"hsa01232","hsa01232","Nucleotide metabolism","1/16","85/8661",0.146098003086251,0.308680364819755,0.249943615238668,"129607",1,"UP000180764"
"hsa03015","hsa03015","mRNA surveillance pathway","1/16","97/8661",0.165032283142266,0.308680364819755,0.249943615238668,"51585",1,"UP000180764"
