"","chromosome_name","mismatches","count","pathogen"
"1","Auto","3",36,"Full_Scramble_Adenoassociated_virus_UP000180764-1_12mer_3mis_hits.tsv"
"2","Auto","3",39,"Full_Scramble_Adenoassociated_virus_UP000180764-10_12mer_3mis_hits.tsv"
"3","X","3",1,"Full_Scramble_Adenoassociated_virus_UP000180764-10_12mer_3mis_hits.tsv"
"4","Auto","3",23,"Full_Scramble_Adenoassociated_virus_UP000180764-11_12mer_3mis_hits.tsv"
"5","Y","3",1,"Full_Scramble_Adenoassociated_virus_UP000180764-11_12mer_3mis_hits.tsv"
"6","Auto","2",1,"Full_Scramble_Adenoassociated_virus_UP000180764-12_12mer_3mis_hits.tsv"
"7","Auto","3",38,"Full_Scramble_Adenoassociated_virus_UP000180764-12_12mer_3mis_hits.tsv"
"8","X","3",7,"Full_Scramble_Adenoassociated_virus_UP000180764-12_12mer_3mis_hits.tsv"
"9","Auto","2",1,"Full_Scramble_Adenoassociated_virus_UP000180764-13_12mer_3mis_hits.tsv"
"10","Auto","3",39,"Full_Scramble_Adenoassociated_virus_UP000180764-13_12mer_3mis_hits.tsv"
"11","X","3",1,"Full_Scramble_Adenoassociated_virus_UP000180764-13_12mer_3mis_hits.tsv"
"12","Auto","2",4,"Full_Scramble_Adenoassociated_virus_UP000180764-14_12mer_3mis_hits.tsv"
"13","Auto","3",42,"Full_Scramble_Adenoassociated_virus_UP000180764-14_12mer_3mis_hits.tsv"
"14","X","3",2,"Full_Scramble_Adenoassociated_virus_UP000180764-14_12mer_3mis_hits.tsv"
"15","Auto","2",1,"Full_Scramble_Adenoassociated_virus_UP000180764-15_12mer_3mis_hits.tsv"
"16","Auto","3",41,"Full_Scramble_Adenoassociated_virus_UP000180764-15_12mer_3mis_hits.tsv"
"17","Auto","2",2,"Full_Scramble_Adenoassociated_virus_UP000180764-16_12mer_3mis_hits.tsv"
"18","Auto","3",35,"Full_Scramble_Adenoassociated_virus_UP000180764-16_12mer_3mis_hits.tsv"
"19","X","3",1,"Full_Scramble_Adenoassociated_virus_UP000180764-16_12mer_3mis_hits.tsv"
"20","Auto","2",1,"Full_Scramble_Adenoassociated_virus_UP000180764-17_12mer_3mis_hits.tsv"
"21","Auto","3",35,"Full_Scramble_Adenoassociated_virus_UP000180764-17_12mer_3mis_hits.tsv"
"22","X","3",2,"Full_Scramble_Adenoassociated_virus_UP000180764-17_12mer_3mis_hits.tsv"
"23","Auto","3",28,"Full_Scramble_Adenoassociated_virus_UP000180764-18_12mer_3mis_hits.tsv"
"24","Auto","3",40,"Full_Scramble_Adenoassociated_virus_UP000180764-19_12mer_3mis_hits.tsv"
"25","X","3",3,"Full_Scramble_Adenoassociated_virus_UP000180764-19_12mer_3mis_hits.tsv"
"26","Auto","2",2,"Full_Scramble_Adenoassociated_virus_UP000180764-2_12mer_3mis_hits.tsv"
"27","Auto","3",45,"Full_Scramble_Adenoassociated_virus_UP000180764-2_12mer_3mis_hits.tsv"
"28","X","3",1,"Full_Scramble_Adenoassociated_virus_UP000180764-2_12mer_3mis_hits.tsv"
"29","Auto","3",41,"Full_Scramble_Adenoassociated_virus_UP000180764-20_12mer_3mis_hits.tsv"
"30","X","3",4,"Full_Scramble_Adenoassociated_virus_UP000180764-20_12mer_3mis_hits.tsv"
"31","Auto","3",34,"Full_Scramble_Adenoassociated_virus_UP000180764-21_12mer_3mis_hits.tsv"
"32","X","3",2,"Full_Scramble_Adenoassociated_virus_UP000180764-21_12mer_3mis_hits.tsv"
"33","Auto","2",2,"Full_Scramble_Adenoassociated_virus_UP000180764-22_12mer_3mis_hits.tsv"
"34","Auto","3",25,"Full_Scramble_Adenoassociated_virus_UP000180764-22_12mer_3mis_hits.tsv"
"35","X","2",1,"Full_Scramble_Adenoassociated_virus_UP000180764-22_12mer_3mis_hits.tsv"
"36","X","3",3,"Full_Scramble_Adenoassociated_virus_UP000180764-22_12mer_3mis_hits.tsv"
"37","Y","2",1,"Full_Scramble_Adenoassociated_virus_UP000180764-22_12mer_3mis_hits.tsv"
"38","Y","3",1,"Full_Scramble_Adenoassociated_virus_UP000180764-22_12mer_3mis_hits.tsv"
"39","Auto","2",1,"Full_Scramble_Adenoassociated_virus_UP000180764-23_12mer_3mis_hits.tsv"
"40","Auto","3",35,"Full_Scramble_Adenoassociated_virus_UP000180764-23_12mer_3mis_hits.tsv"
"41","X","3",5,"Full_Scramble_Adenoassociated_virus_UP000180764-23_12mer_3mis_hits.tsv"
"42","Auto","3",29,"Full_Scramble_Adenoassociated_virus_UP000180764-24_12mer_3mis_hits.tsv"
"43","X","3",3,"Full_Scramble_Adenoassociated_virus_UP000180764-24_12mer_3mis_hits.tsv"
"44","Auto","3",56,"Full_Scramble_Adenoassociated_virus_UP000180764-25_12mer_3mis_hits.tsv"
"45","X","3",1,"Full_Scramble_Adenoassociated_virus_UP000180764-25_12mer_3mis_hits.tsv"
"46","Auto","3",43,"Full_Scramble_Adenoassociated_virus_UP000180764-26_12mer_3mis_hits.tsv"
"47","Auto","3",29,"Full_Scramble_Adenoassociated_virus_UP000180764-27_12mer_3mis_hits.tsv"
"48","Auto","3",35,"Full_Scramble_Adenoassociated_virus_UP000180764-28_12mer_3mis_hits.tsv"
"49","X","3",1,"Full_Scramble_Adenoassociated_virus_UP000180764-28_12mer_3mis_hits.tsv"
"50","Auto","2",1,"Full_Scramble_Adenoassociated_virus_UP000180764-29_12mer_3mis_hits.tsv"
"51","Auto","3",34,"Full_Scramble_Adenoassociated_virus_UP000180764-29_12mer_3mis_hits.tsv"
"52","Auto","3",34,"Full_Scramble_Adenoassociated_virus_UP000180764-3_12mer_3mis_hits.tsv"
"53","X","3",4,"Full_Scramble_Adenoassociated_virus_UP000180764-3_12mer_3mis_hits.tsv"
"54","Auto","3",39,"Full_Scramble_Adenoassociated_virus_UP000180764-30_12mer_3mis_hits.tsv"
"55","X","3",4,"Full_Scramble_Adenoassociated_virus_UP000180764-30_12mer_3mis_hits.tsv"
"56","Auto","3",42,"Full_Scramble_Adenoassociated_virus_UP000180764-4_12mer_3mis_hits.tsv"
"57","X","3",1,"Full_Scramble_Adenoassociated_virus_UP000180764-4_12mer_3mis_hits.tsv"
"58","Auto","3",49,"Full_Scramble_Adenoassociated_virus_UP000180764-5_12mer_3mis_hits.tsv"
"59","X","3",2,"Full_Scramble_Adenoassociated_virus_UP000180764-5_12mer_3mis_hits.tsv"
"60","Auto","3",42,"Full_Scramble_Adenoassociated_virus_UP000180764-6_12mer_3mis_hits.tsv"
"61","X","3",1,"Full_Scramble_Adenoassociated_virus_UP000180764-6_12mer_3mis_hits.tsv"
"62","Auto","3",27,"Full_Scramble_Adenoassociated_virus_UP000180764-7_12mer_3mis_hits.tsv"
"63","Auto","2",2,"Full_Scramble_Adenoassociated_virus_UP000180764-8_12mer_3mis_hits.tsv"
"64","Auto","3",23,"Full_Scramble_Adenoassociated_virus_UP000180764-8_12mer_3mis_hits.tsv"
"65","X","3",1,"Full_Scramble_Adenoassociated_virus_UP000180764-8_12mer_3mis_hits.tsv"
"66","Auto","2",2,"Full_Scramble_Adenoassociated_virus_UP000180764-9_12mer_3mis_hits.tsv"
"67","Auto","3",31,"Full_Scramble_Adenoassociated_virus_UP000180764-9_12mer_3mis_hits.tsv"
"68","Auto","2",2,"Full_Scramble_Aichi_virus_UP000119554-1_12mer_3mis_hits.tsv"
"69","Auto","3",56,"Full_Scramble_Aichi_virus_UP000119554-1_12mer_3mis_hits.tsv"
"70","X","3",2,"Full_Scramble_Aichi_virus_UP000119554-1_12mer_3mis_hits.tsv"
"71","Auto","3",55,"Full_Scramble_Aichi_virus_UP000119554-10_12mer_3mis_hits.tsv"
"72","Auto","3",56,"Full_Scramble_Aichi_virus_UP000119554-11_12mer_3mis_hits.tsv"
"73","X","3",1,"Full_Scramble_Aichi_virus_UP000119554-11_12mer_3mis_hits.tsv"
"74","Auto","3",49,"Full_Scramble_Aichi_virus_UP000119554-12_12mer_3mis_hits.tsv"
"75","X","3",4,"Full_Scramble_Aichi_virus_UP000119554-12_12mer_3mis_hits.tsv"
"76","Auto","3",51,"Full_Scramble_Aichi_virus_UP000119554-13_12mer_3mis_hits.tsv"
"77","X","3",1,"Full_Scramble_Aichi_virus_UP000119554-13_12mer_3mis_hits.tsv"
"78","Auto","2",2,"Full_Scramble_Aichi_virus_UP000119554-14_12mer_3mis_hits.tsv"
"79","Auto","3",38,"Full_Scramble_Aichi_virus_UP000119554-14_12mer_3mis_hits.tsv"
"80","Auto","3",44,"Full_Scramble_Aichi_virus_UP000119554-15_12mer_3mis_hits.tsv"
"81","Auto","3",52,"Full_Scramble_Aichi_virus_UP000119554-16_12mer_3mis_hits.tsv"
"82","X","3",1,"Full_Scramble_Aichi_virus_UP000119554-16_12mer_3mis_hits.tsv"
"83","Auto","3",52,"Full_Scramble_Aichi_virus_UP000119554-17_12mer_3mis_hits.tsv"
"84","X","3",1,"Full_Scramble_Aichi_virus_UP000119554-17_12mer_3mis_hits.tsv"
"85","Auto","3",43,"Full_Scramble_Aichi_virus_UP000119554-18_12mer_3mis_hits.tsv"
"86","X","3",5,"Full_Scramble_Aichi_virus_UP000119554-18_12mer_3mis_hits.tsv"
"87","Auto","3",41,"Full_Scramble_Aichi_virus_UP000119554-19_12mer_3mis_hits.tsv"
"88","X","3",3,"Full_Scramble_Aichi_virus_UP000119554-19_12mer_3mis_hits.tsv"
"89","Auto","2",1,"Full_Scramble_Aichi_virus_UP000119554-2_12mer_3mis_hits.tsv"
"90","Auto","3",44,"Full_Scramble_Aichi_virus_UP000119554-2_12mer_3mis_hits.tsv"
"91","Auto","2",1,"Full_Scramble_Aichi_virus_UP000119554-20_12mer_3mis_hits.tsv"
"92","Auto","3",57,"Full_Scramble_Aichi_virus_UP000119554-20_12mer_3mis_hits.tsv"
"93","X","3",2,"Full_Scramble_Aichi_virus_UP000119554-20_12mer_3mis_hits.tsv"
"94","Auto","2",1,"Full_Scramble_Aichi_virus_UP000119554-21_12mer_3mis_hits.tsv"
"95","Auto","3",53,"Full_Scramble_Aichi_virus_UP000119554-21_12mer_3mis_hits.tsv"
"96","X","3",3,"Full_Scramble_Aichi_virus_UP000119554-21_12mer_3mis_hits.tsv"
"97","Auto","3",45,"Full_Scramble_Aichi_virus_UP000119554-22_12mer_3mis_hits.tsv"
"98","Auto","3",43,"Full_Scramble_Aichi_virus_UP000119554-23_12mer_3mis_hits.tsv"
"99","X","3",6,"Full_Scramble_Aichi_virus_UP000119554-23_12mer_3mis_hits.tsv"
"100","Auto","2",2,"Full_Scramble_Aichi_virus_UP000119554-24_12mer_3mis_hits.tsv"
"101","Auto","3",60,"Full_Scramble_Aichi_virus_UP000119554-24_12mer_3mis_hits.tsv"
"102","X","3",4,"Full_Scramble_Aichi_virus_UP000119554-24_12mer_3mis_hits.tsv"
"103","Auto","3",52,"Full_Scramble_Aichi_virus_UP000119554-25_12mer_3mis_hits.tsv"
"104","X","3",7,"Full_Scramble_Aichi_virus_UP000119554-25_12mer_3mis_hits.tsv"
"105","Auto","2",3,"Full_Scramble_Aichi_virus_UP000119554-26_12mer_3mis_hits.tsv"
"106","Auto","3",57,"Full_Scramble_Aichi_virus_UP000119554-26_12mer_3mis_hits.tsv"
"107","X","3",1,"Full_Scramble_Aichi_virus_UP000119554-26_12mer_3mis_hits.tsv"
"108","Auto","3",55,"Full_Scramble_Aichi_virus_UP000119554-27_12mer_3mis_hits.tsv"
"109","X","3",4,"Full_Scramble_Aichi_virus_UP000119554-27_12mer_3mis_hits.tsv"
"110","Auto","3",35,"Full_Scramble_Aichi_virus_UP000119554-28_12mer_3mis_hits.tsv"
"111","Auto","2",4,"Full_Scramble_Aichi_virus_UP000119554-29_12mer_3mis_hits.tsv"
"112","Auto","3",67,"Full_Scramble_Aichi_virus_UP000119554-29_12mer_3mis_hits.tsv"
"113","X","3",1,"Full_Scramble_Aichi_virus_UP000119554-29_12mer_3mis_hits.tsv"
"114","Auto","2",7,"Full_Scramble_Aichi_virus_UP000119554-3_12mer_3mis_hits.tsv"
"115","Auto","3",69,"Full_Scramble_Aichi_virus_UP000119554-3_12mer_3mis_hits.tsv"
"116","X","2",1,"Full_Scramble_Aichi_virus_UP000119554-3_12mer_3mis_hits.tsv"
"117","X","3",7,"Full_Scramble_Aichi_virus_UP000119554-3_12mer_3mis_hits.tsv"
"118","Auto","2",2,"Full_Scramble_Aichi_virus_UP000119554-30_12mer_3mis_hits.tsv"
"119","Auto","3",50,"Full_Scramble_Aichi_virus_UP000119554-30_12mer_3mis_hits.tsv"
"120","X","3",2,"Full_Scramble_Aichi_virus_UP000119554-30_12mer_3mis_hits.tsv"
"121","Auto","2",3,"Full_Scramble_Aichi_virus_UP000119554-4_12mer_3mis_hits.tsv"
"122","Auto","3",46,"Full_Scramble_Aichi_virus_UP000119554-4_12mer_3mis_hits.tsv"
"123","X","3",2,"Full_Scramble_Aichi_virus_UP000119554-4_12mer_3mis_hits.tsv"
"124","Auto","3",32,"Full_Scramble_Aichi_virus_UP000119554-5_12mer_3mis_hits.tsv"
"125","X","2",2,"Full_Scramble_Aichi_virus_UP000119554-5_12mer_3mis_hits.tsv"
"126","X","3",2,"Full_Scramble_Aichi_virus_UP000119554-5_12mer_3mis_hits.tsv"
"127","Auto","3",66,"Full_Scramble_Aichi_virus_UP000119554-6_12mer_3mis_hits.tsv"
"128","X","3",2,"Full_Scramble_Aichi_virus_UP000119554-6_12mer_3mis_hits.tsv"
"129","Auto","2",1,"Full_Scramble_Aichi_virus_UP000119554-7_12mer_3mis_hits.tsv"
"130","Auto","3",87,"Full_Scramble_Aichi_virus_UP000119554-7_12mer_3mis_hits.tsv"
"131","X","3",2,"Full_Scramble_Aichi_virus_UP000119554-7_12mer_3mis_hits.tsv"
"132","Auto","3",56,"Full_Scramble_Aichi_virus_UP000119554-8_12mer_3mis_hits.tsv"
"133","Auto","3",39,"Full_Scramble_Aichi_virus_UP000119554-9_12mer_3mis_hits.tsv"
"134","X","3",1,"Full_Scramble_Aichi_virus_UP000119554-9_12mer_3mis_hits.tsv"
"135","Auto","2",2,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-1_12mer_3mis_hits.tsv"
"136","Auto","3",60,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-1_12mer_3mis_hits.tsv"
"137","X","3",1,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-1_12mer_3mis_hits.tsv"
"138","Auto","2",2,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-10_12mer_3mis_hits.tsv"
"139","Auto","3",72,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-10_12mer_3mis_hits.tsv"
"140","X","3",3,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-10_12mer_3mis_hits.tsv"
"141","Auto","3",50,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-11_12mer_3mis_hits.tsv"
"142","X","3",3,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-11_12mer_3mis_hits.tsv"
"143","Auto","3",77,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-12_12mer_3mis_hits.tsv"
"144","X","3",4,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-12_12mer_3mis_hits.tsv"
"145","Auto","3",61,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-13_12mer_3mis_hits.tsv"
"146","Auto","3",39,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-14_12mer_3mis_hits.tsv"
"147","X","3",1,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-14_12mer_3mis_hits.tsv"
"148","Auto","2",2,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-15_12mer_3mis_hits.tsv"
"149","Auto","3",67,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-15_12mer_3mis_hits.tsv"
"150","Auto","2",3,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-16_12mer_3mis_hits.tsv"
"151","Auto","3",58,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-16_12mer_3mis_hits.tsv"
"152","X","3",1,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-16_12mer_3mis_hits.tsv"
"153","Auto","2",1,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-17_12mer_3mis_hits.tsv"
"154","Auto","3",59,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-17_12mer_3mis_hits.tsv"
"155","Auto","2",2,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-18_12mer_3mis_hits.tsv"
"156","Auto","3",44,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-18_12mer_3mis_hits.tsv"
"157","X","3",6,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-18_12mer_3mis_hits.tsv"
"158","Auto","2",2,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-19_12mer_3mis_hits.tsv"
"159","Auto","3",60,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-19_12mer_3mis_hits.tsv"
"160","X","3",4,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-19_12mer_3mis_hits.tsv"
"161","Y","3",1,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-19_12mer_3mis_hits.tsv"
"162","Auto","2",1,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-2_12mer_3mis_hits.tsv"
"163","Auto","3",52,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-2_12mer_3mis_hits.tsv"
"164","X","3",1,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-2_12mer_3mis_hits.tsv"
"165","Auto","2",2,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-20_12mer_3mis_hits.tsv"
"166","Auto","3",67,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-20_12mer_3mis_hits.tsv"
