"","chromosome_name","mismatches","count","pathogen"
"1","Auto","2",1,"Reversed_Adenoassociated_virus_UP000180764_12mer_3mis_hits.tsv"
"2","Auto","3",30,"Reversed_Adenoassociated_virus_UP000180764_12mer_3mis_hits.tsv"
"3","Auto","2",2,"Reversed_Aichi_virus_UP000119554_12mer_3mis_hits.tsv"
"4","Auto","3",30,"Reversed_Aichi_virus_UP000119554_12mer_3mis_hits.tsv"
"5","Auto","3",56,"Reversed_Australian_bat_lyssavirus_UP000006934_12mer_3mis_hits.tsv"
"6","Auto","2",2,"Reversed_Banna_virus_UP000000832_12mer_3mis_hits.tsv"
"7","Auto","3",79,"Reversed_Banna_virus_UP000000832_12mer_3mis_hits.tsv"
"8","X","3",8,"Reversed_Banna_virus_UP000000832_12mer_3mis_hits.tsv"
"9","Auto","3",52,"Reversed_Barmah_forest_virus_UP000007609_12mer_3mis_hits.tsv"
"10","X","3",5,"Reversed_Barmah_forest_virus_UP000007609_12mer_3mis_hits.tsv"
"11","Auto","3",13,"Reversed_BK_polyomavirus_UP000145981_12mer_3mis_hits.tsv"
"12","Auto","3",40,"Reversed_Bunyamwera_virus_UP000002476_12mer_3mis_hits.tsv"
"13","X","3",1,"Reversed_Bunyamwera_virus_UP000002476_12mer_3mis_hits.tsv"
"14","Auto","3",43,"Reversed_Bunyavirus_La_Crosse_UP000008768_12mer_3mis_hits.tsv"
"15","X","3",1,"Reversed_Bunyavirus_La_Crosse_UP000008768_12mer_3mis_hits.tsv"
"16","Auto","2",2,"Reversed_Bunyavirus_snowshoe_hare_UP000150053_12mer_3mis_hits.tsv"
"17","Auto","3",31,"Reversed_Bunyavirus_snowshoe_hare_UP000150053_12mer_3mis_hits.tsv"
"18","X","3",7,"Reversed_Bunyavirus_snowshoe_hare_UP000150053_12mer_3mis_hits.tsv"
"19","Auto","1",2,"Reversed_Cercopithecine_alphaherpesvirus_UP000137988_12mer_3mis_hits.tsv"
"20","Auto","2",80,"Reversed_Cercopithecine_alphaherpesvirus_UP000137988_12mer_3mis_hits.tsv"
"21","Auto","3",1968,"Reversed_Cercopithecine_alphaherpesvirus_UP000137988_12mer_3mis_hits.tsv"
"22","Mitochondrion","3",1,"Reversed_Cercopithecine_alphaherpesvirus_UP000137988_12mer_3mis_hits.tsv"
"23","X","2",9,"Reversed_Cercopithecine_alphaherpesvirus_UP000137988_12mer_3mis_hits.tsv"
"24","X","3",77,"Reversed_Cercopithecine_alphaherpesvirus_UP000137988_12mer_3mis_hits.tsv"
"25","Auto","2",1,"Reversed_Chandipura_virus_UP000008448_12mer_3mis_hits.tsv"
"26","Auto","3",62,"Reversed_Chandipura_virus_UP000008448_12mer_3mis_hits.tsv"
"27","X","3",2,"Reversed_Chandipura_virus_UP000008448_12mer_3mis_hits.tsv"
"28","Auto","2",1,"Reversed_Chikungunya_virus_UP000000569_12mer_3mis_hits.tsv"
"29","Auto","3",58,"Reversed_Chikungunya_virus_UP000000569_12mer_3mis_hits.tsv"
"30","X","3",3,"Reversed_Chikungunya_virus_UP000000569_12mer_3mis_hits.tsv"
"31","Y","3",1,"Reversed_Chikungunya_virus_UP000000569_12mer_3mis_hits.tsv"
"32","Auto","3",42,"Reversed_Cosavirus_A_UP000029753_12mer_3mis_hits.tsv"
"33","Auto","2",11,"Reversed_Cowpox_virus_UP000152733_12mer_3mis_hits.tsv"
"34","Auto","3",716,"Reversed_Cowpox_virus_UP000152733_12mer_3mis_hits.tsv"
"35","X","2",2,"Reversed_Cowpox_virus_UP000152733_12mer_3mis_hits.tsv"
"36","X","3",20,"Reversed_Cowpox_virus_UP000152733_12mer_3mis_hits.tsv"
"37","Y","3",3,"Reversed_Cowpox_virus_UP000152733_12mer_3mis_hits.tsv"
"38","Auto","3",35,"Reversed_Coxsackievirus_UP000007757_12mer_3mis_hits.tsv"
"39","Auto","2",3,"Reversed_Crimean-Congo_hemorrhagic_fever_virus_UP000008767_12mer_3mis_hits.tsv"
"40","Auto","3",103,"Reversed_Crimean-Congo_hemorrhagic_fever_virus_UP000008767_12mer_3mis_hits.tsv"
"41","X","3",5,"Reversed_Crimean-Congo_hemorrhagic_fever_virus_UP000008767_12mer_3mis_hits.tsv"
"42","Auto","2",2,"Reversed_Dengue_virus_UP000002500_12mer_3mis_hits.tsv"
"43","Auto","3",60,"Reversed_Dengue_virus_UP000002500_12mer_3mis_hits.tsv"
"44","X","3",1,"Reversed_Dengue_virus_UP000002500_12mer_3mis_hits.tsv"
"45","Auto","3",33,"Reversed_Dhori_virus_UP000181622_12mer_3mis_hits.tsv"
"46","X","3",2,"Reversed_Dhori_virus_UP000181622_12mer_3mis_hits.tsv"
"47","Auto","2",5,"Reversed_Dugbe_virus_UP000000278_12mer_3mis_hits.tsv"
"48","Auto","3",113,"Reversed_Dugbe_virus_UP000000278_12mer_3mis_hits.tsv"
"49","X","3",6,"Reversed_Dugbe_virus_UP000000278_12mer_3mis_hits.tsv"
"50","Auto","2",3,"Reversed_Duvenhage_virus_UP000117552_12mer_3mis_hits.tsv"
"51","Auto","3",77,"Reversed_Duvenhage_virus_UP000117552_12mer_3mis_hits.tsv"
"52","X","3",1,"Reversed_Duvenhage_virus_UP000117552_12mer_3mis_hits.tsv"
"53","Auto","3",42,"Reversed_Eastern_equine_encephalitis_virus_UP000110644_12mer_3mis_hits.tsv"
"54","X","3",6,"Reversed_Eastern_equine_encephalitis_virus_UP000110644_12mer_3mis_hits.tsv"
"55","Auto","2",1,"Reversed_Ebolavirus_UP000007209_12mer_3mis_hits.tsv"
"56","Auto","3",84,"Reversed_Ebolavirus_UP000007209_12mer_3mis_hits.tsv"
"57","X","2",1,"Reversed_Ebolavirus_UP000007209_12mer_3mis_hits.tsv"
"58","X","3",2,"Reversed_Ebolavirus_UP000007209_12mer_3mis_hits.tsv"
"59","Auto","2",1,"Reversed_Echovirus_UP000000670_12mer_3mis_hits.tsv"
"60","Auto","3",38,"Reversed_Echovirus_UP000000670_12mer_3mis_hits.tsv"
"61","X","3",3,"Reversed_Echovirus_UP000000670_12mer_3mis_hits.tsv"
"62","Auto","3",36,"Reversed_Encephalomyocarditis_virus_UP000002319_12mer_3mis_hits.tsv"
"63","X","3",3,"Reversed_Encephalomyocarditis_virus_UP000002319_12mer_3mis_hits.tsv"
"64","Auto","1",4,"Reversed_Epstein-Barr_virus_UP000153037_12mer_3mis_hits.tsv"
"65","Auto","2",77,"Reversed_Epstein-Barr_virus_UP000153037_12mer_3mis_hits.tsv"
"66","Auto","3",1700,"Reversed_Epstein-Barr_virus_UP000153037_12mer_3mis_hits.tsv"
"67","Mitochondrion","3",2,"Reversed_Epstein-Barr_virus_UP000153037_12mer_3mis_hits.tsv"
"68","X","1",2,"Reversed_Epstein-Barr_virus_UP000153037_12mer_3mis_hits.tsv"
"69","X","2",21,"Reversed_Epstein-Barr_virus_UP000153037_12mer_3mis_hits.tsv"
"70","X","3",92,"Reversed_Epstein-Barr_virus_UP000153037_12mer_3mis_hits.tsv"
"71","Y","3",3,"Reversed_Epstein-Barr_virus_UP000153037_12mer_3mis_hits.tsv"
"72","Auto","3",55,"Reversed_European_bat_lyssavirus_UP000008926_12mer_3mis_hits.tsv"
"73","Auto","2",1,"Reversed_Hantaan_virus_UP000008627_12mer_3mis_hits.tsv"
"74","Auto","3",56,"Reversed_Hantaan_virus_UP000008627_12mer_3mis_hits.tsv"
"75","X","3",1,"Reversed_Hantaan_virus_UP000008627_12mer_3mis_hits.tsv"
"76","Auto","2",1,"Reversed_Hendra_virus_UP000008771_12mer_3mis_hits.tsv"
"77","Auto","3",90,"Reversed_Hendra_virus_UP000008771_12mer_3mis_hits.tsv"
"78","X","3",3,"Reversed_Hendra_virus_UP000008771_12mer_3mis_hits.tsv"
"79","Auto","2",1,"Reversed_Hepatitis_A_virus_UP000006724_12mer_3mis_hits.tsv"
