"","cell_type","0","1","virus"
"1","Adipocytes",2,NA,"UP000180764"
"2","Alveolar cells type 1",2,NA,"UP000180764"
"3","Alveolar cells type 2",2,NA,"UP000180764"
"4","Astrocytes",2,NA,"UP000180764"
"5","B-cells",2,NA,"UP000180764"
"6","Basal keratinocytes",2,NA,"UP000180764"
"7","Basal prostatic cells",2,NA,"UP000180764"
"8","Basal respiratory cells",2,NA,"UP000180764"
"9","Basal squamous epithelial cells",2,NA,"UP000180764"
"10","Bipolar cells",2,NA,"UP000180764"
"11","Breast glandular cells",2,NA,"UP000180764"
"12","Breast myoepithelial cells",2,NA,"UP000180764"
"13","Cardiomyocytes",1,1,"UP000180764"
"14","Cholangiocytes",2,NA,"UP000180764"
"15","Ciliated cells",2,NA,"UP000180764"
"16","Club cells",2,NA,"UP000180764"
"17","Collecting duct cells",2,NA,"UP000180764"
"18","Cone photoreceptor cells",2,NA,"UP000180764"
"19","Cytotrophoblasts",2,NA,"UP000180764"
"20","Distal enterocytes",2,NA,"UP000180764"
"21","Distal tubular cells",2,NA,"UP000180764"
"22","Ductal cells",2,NA,"UP000180764"
"23","Early spermatids",2,NA,"UP000180764"
"24","Endometrial stromal cells",2,NA,"UP000180764"
"25","Endothelial cells",2,NA,"UP000180764"
"26","Enteroendocrine cells",2,NA,"UP000180764"
"27","Erythroid cells",2,NA,"UP000180764"
"28","Excitatory neurons",2,NA,"UP000180764"
"29","Exocrine glandular cells",2,NA,"UP000180764"
"30","Extravillous trophoblasts",2,NA,"UP000180764"
"31","Fibroblasts",2,NA,"UP000180764"
"32","Gastric mucus-secreting cells",2,NA,"UP000180764"
"33","Glandular and luminal cells",2,NA,"UP000180764"
"34","Granulosa cells",2,NA,"UP000180764"
"35","Hepatocytes",2,NA,"UP000180764"
"36","Hofbauer cells",1,1,"UP000180764"
"37","Horizontal cells",2,NA,"UP000180764"
"38","Inhibitory neurons",2,NA,"UP000180764"
"39","Intestinal goblet cells",2,NA,"UP000180764"
"40","Ionocytes",2,NA,"UP000180764"
"41","Kupffer cells",2,NA,"UP000180764"
"42","Langerhans cells",1,1,"UP000180764"
"43","Late spermatids",2,NA,"UP000180764"
"44","Leydig cells",2,NA,"UP000180764"
"45","Lymphatic endothelial cells",2,NA,"UP000180764"
"46","Macrophages",1,1,"UP000180764"
"47","Melanocytes",2,NA,"UP000180764"
"48","Mesothelial cells",2,NA,"UP000180764"
"49","Microglial cells",2,NA,"UP000180764"
"50","Mucus glandular cells",2,NA,"UP000180764"
"51","Muller glia cells",2,NA,"UP000180764"
"52","NK-cells",2,NA,"UP000180764"
"53","Oligodendrocyte precursor cells",2,NA,"UP000180764"
"54","Oligodendrocytes",2,NA,"UP000180764"
"55","Oocytes",2,NA,"UP000180764"
"56","Ovarian stromal cells",2,NA,"UP000180764"
"57","Pancreatic endocrine cells",2,NA,"UP000180764"
"58","Paneth cells",2,NA,"UP000180764"
"59","Peritubular cells",2,NA,"UP000180764"
"60","Plasma cells",2,NA,"UP000180764"
"61","Prostatic glandular cells",2,NA,"UP000180764"
"62","Proximal enterocytes",2,NA,"UP000180764"
"63","Proximal tubular cells",2,NA,"UP000180764"
"64","Rod photoreceptor cells",2,NA,"UP000180764"
"65","Salivary duct cells",2,NA,"UP000180764"
"66","Schwann cells",2,NA,"UP000180764"
"67","Secretory cells",2,NA,"UP000180764"
"68","Serous glandular cells",2,NA,"UP000180764"
"69","Sertoli cells",2,NA,"UP000180764"
"70","Skeletal myocytes",1,1,"UP000180764"
"71","Smooth muscle cells",2,NA,"UP000180764"
"72","Spermatocytes",2,NA,"UP000180764"
"73","Spermatogonia",2,NA,"UP000180764"
"74","Squamous epithelial cells",2,NA,"UP000180764"
"75","Suprabasal keratinocytes",2,NA,"UP000180764"
"76","Syncytiotrophoblasts",2,NA,"UP000180764"
"77","T-cells",2,NA,"UP000180764"
"78","Undifferentiated cells",2,NA,"UP000180764"
"79","dendritic cells",2,NA,"UP000180764"
"80","granulocytes",2,NA,"UP000180764"
"81","monocytes",2,NA,"UP000180764"
"82","Adipocytes",12,NA,"UP000119554"
"83","Alveolar cells type 1",9,3,"UP000119554"
"84","Alveolar cells type 2",9,3,"UP000119554"
"85","Astrocytes",6,6,"UP000119554"
"86","B-cells",12,NA,"UP000119554"
"87","Basal keratinocytes",12,NA,"UP000119554"
"88","Basal prostatic cells",12,NA,"UP000119554"
"89","Basal respiratory cells",12,NA,"UP000119554"
"90","Basal squamous epithelial cells",12,NA,"UP000119554"
"91","Bipolar cells",12,NA,"UP000119554"
"92","Breast glandular cells",12,NA,"UP000119554"
"93","Breast myoepithelial cells",11,1,"UP000119554"
"94","Cardiomyocytes",9,3,"UP000119554"
"95","Cholangiocytes",12,NA,"UP000119554"
"96","Ciliated cells",11,1,"UP000119554"
"97","Club cells",12,NA,"UP000119554"
"98","Collecting duct cells",12,NA,"UP000119554"
"99","Cone photoreceptor cells",10,2,"UP000119554"
"100","Cytotrophoblasts",12,NA,"UP000119554"
"101","Distal enterocytes",12,NA,"UP000119554"
"102","Distal tubular cells",9,3,"UP000119554"
"103","Ductal cells",11,1,"UP000119554"
"104","Early spermatids",3,9,"UP000119554"
"105","Endometrial stromal cells",12,NA,"UP000119554"
"106","Endothelial cells",12,NA,"UP000119554"
"107","Enteroendocrine cells",12,NA,"UP000119554"
"108","Erythroid cells",11,1,"UP000119554"
"109","Excitatory neurons",7,5,"UP000119554"
"110","Exocrine glandular cells",12,NA,"UP000119554"
"111","Extravillous trophoblasts",9,3,"UP000119554"
"112","Fibroblasts",11,1,"UP000119554"
"113","Gastric mucus-secreting cells",12,NA,"UP000119554"
"114","Glandular and luminal cells",12,NA,"UP000119554"
"115","Granulosa cells",12,NA,"UP000119554"
"116","Hepatocytes",12,NA,"UP000119554"
"117","Hofbauer cells",12,NA,"UP000119554"
"118","Horizontal cells",11,1,"UP000119554"
"119","Inhibitory neurons",3,9,"UP000119554"
"120","Intestinal goblet cells",12,NA,"UP000119554"
"121","Ionocytes",12,NA,"UP000119554"
"122","Kupffer cells",12,NA,"UP000119554"
"123","Langerhans cells",12,NA,"UP000119554"
"124","Late spermatids",3,9,"UP000119554"
"125","Leydig cells",12,NA,"UP000119554"
"126","Lymphatic endothelial cells",11,1,"UP000119554"
"127","Macrophages",12,NA,"UP000119554"
"128","Melanocytes",12,NA,"UP000119554"
"129","Mesothelial cells",12,NA,"UP000119554"
"130","Microglial cells",10,2,"UP000119554"
"131","Mucus glandular cells",12,NA,"UP000119554"
"132","Muller glia cells",11,1,"UP000119554"
"133","NK-cells",8,4,"UP000119554"
"134","Oligodendrocyte precursor cells",6,6,"UP000119554"
"135","Oligodendrocytes",2,10,"UP000119554"
"136","Oocytes",6,6,"UP000119554"
"137","Ovarian stromal cells",12,NA,"UP000119554"
"138","Pancreatic endocrine cells",12,NA,"UP000119554"
"139","Paneth cells",12,NA,"UP000119554"
"140","Peritubular cells",12,NA,"UP000119554"
"141","Plasma cells",12,NA,"UP000119554"
"142","Prostatic glandular cells",12,NA,"UP000119554"
"143","Proximal enterocytes",12,NA,"UP000119554"
"144","Proximal tubular cells",12,NA,"UP000119554"
"145","Rod photoreceptor cells",12,NA,"UP000119554"
"146","Salivary duct cells",12,NA,"UP000119554"
"147","Schwann cells",11,1,"UP000119554"
"148","Secretory cells",12,NA,"UP000119554"
"149","Serous glandular cells",12,NA,"UP000119554"
"150","Sertoli cells",12,NA,"UP000119554"
"151","Skeletal myocytes",12,NA,"UP000119554"
"152","Smooth muscle cells",11,1,"UP000119554"
"153","Spermatocytes",5,7,"UP000119554"
"154","Spermatogonia",8,4,"UP000119554"
"155","Squamous epithelial cells",12,NA,"UP000119554"
"156","Suprabasal keratinocytes",12,NA,"UP000119554"
"157","Syncytiotrophoblasts",6,6,"UP000119554"
"158","T-cells",8,4,"UP000119554"
"159","Undifferentiated cells",12,NA,"UP000119554"
"160","dendritic cells",12,NA,"UP000119554"
"161","granulocytes",12,NA,"UP000119554"
"162","monocytes",12,NA,"UP000119554"
"163","Adipocytes",3,NA,"UP000000832"
