"","viral_id","Proteome.ID","Pathogen","smooth_curve","mean","percent_of_protein"
"1","A0A023T7J3","UP000029743","Rosavirus A2","Other",1.24242424242424,2.68620268620269
"2","A0A068BA47","UP000128494","Western equine encephalitis virus","Other",1.38461538461538,2.12244897959184
"3","A0A068BAR5","UP000128494","Western equine encephalitis virus","Other",1,1.54723127035831
"4","A0A0B5CLT0","UP000117676","Oropouche virus","Other",1,0.49680624556423
"5","A0A0B5CUJ1","UP000117676","Oropouche virus","Other",1.13888888888889,1.60642570281124
"6","A0A0F6SYV1","UP000214480","Punta toro phlebovirus","Other",1.08333333333333,1.15718418514947
"7","A0A0F6X2S2","UP000214480","Punta toro phlebovirus","Other",1.28571428571429,3.01724137931034
"8","A0A0F6ZQV4","UP000214480","Punta toro phlebovirus","Other",1,1.61290322580645
"9","A0A0K0KBV7","UP000243571","Human torovirus","Other",1,6.66666666666667
"10","A0A0K1NYE4","UP000143570","Human enterovirus D68","Other",1.08333333333333,1.65365181442352
"11","A0A143Q219","UP000142444","Toscana virus","Other",1.08108108108108,1.77543186180422
"12","A0A143Q251","UP000142444","Toscana virus","Other",1.125,2.62295081967213
"13","A0A143Q3J4","UP000142444","Toscana virus","Other",1.11428571428571,2.6355421686747
"14","A0A1P7U110","UP000153037","Epstein-Barr virus","Herpesviridae",1,4.03225806451613
"15","A0A1P7U1I1","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1.16666666666667,1.91693290734824
"16","A0A1P7U1U3","UP000153037","Epstein-Barr virus","Herpesviridae",1,0.869565217391304
"17","A0A2N9DYY5","UP000009295","Human herpesvirus 6A","Herpesviridae",2.74747474747475,13.716814159292
"18","A0A2N9DYY6","UP000009295","Human herpesvirus 6A","Herpesviridae",1,1.06870229007634
"19","A0A2N9DYY9","UP000009295","Human herpesvirus 6A","Herpesviridae",1,2.57510729613734
"20","A0A2N9DYZ0","UP000009295","Human herpesvirus 6A","Herpesviridae",1,2.17391304347826
"21","A0A2N9DYZ3","UP000009295","Human herpesvirus 6A","Herpesviridae",1,2.11640211640212
"22","A0A2N9DYZ4","UP000009295","Human herpesvirus 6A","Herpesviridae",1,6.97674418604651
"23","A1EC21","UP000142444","Toscana virus","Other",1,1.65289256198347
"24","A2T3M4","UP000001119","Rotavirus A","Other",1,0.412371134020619
"25","A2T3N5","UP000001119","Rotavirus A","Other",1.5,0.657894736842105
"26","A2T3P0","UP000001119","Rotavirus A","Other",1,0.65359477124183
"27","A2T3P5","UP000001119","Rotavirus A","Other",1,2.22222222222222
"28","A2T3Q9","UP000001119","Rotavirus A","Other",1.14285714285714,7.48663101604278
"29","A2T3R5","UP000001119","Rotavirus A","Other",2.33333333333333,1.03329506314581
"30","A2T3S0","UP000001119","Rotavirus A","Other",1.26666666666667,1.39275766016713
"31","A2T3S5","UP000001119","Rotavirus A","Other",1.2,0.606796116504854
"32","A2T3T2","UP000001119","Rotavirus A","Other",1.66666666666667,2.74509803921569
"33","A4UHP8","UP000008926","European bat lyssavirus 1","Other",1,1.36363636363636
"34","A4UHP9","UP000008926","European bat lyssavirus 1","Other",1,2.4390243902439
"35","A4UHQ0","UP000008926","European bat lyssavirus 1","Other",2,0.523560209424084
"36","A4UHQ1","UP000008926","European bat lyssavirus 1","Other",1.125,3.11890838206628
"37","A4UHQ2","UP000008926","European bat lyssavirus 1","Other",1,1.65406427221172
"38","A5HBD5","UP000118542","WU polyomavirus","Other",1,3.35195530726257
"39","A5HBD7","UP000118542","WU polyomavirus","Other",1,2.18579234972678
"40","A5HBE1","UP000118542","WU polyomavirus","Other",1.14285714285714,3.46534653465347
"41","A5HBG1","UP000118542","WU polyomavirus","Other",1.32,3.76766091051805
"42","A8WA74","UP000150053","Bunyavirus snowshoe hare","Other",1.09302325581395,1.90941385435169
"43","A9LXW2","UP000150053","Bunyavirus snowshoe hare","Other",1,1.25874125874126
"44","A9YU75","UP000150053","Bunyavirus snowshoe hare","Other",1,0.446428571428571
"45","A9YU76","UP000150053","Bunyavirus snowshoe hare","Other",1,3.7037037037037
"46","B0G0V7","UP000154903","Merkel cell polyomavirus","Other",1,3.42857142857143
"47","B0G0W3","UP000154903","Merkel cell polyomavirus","Other",1,0.970873786407767
"48","B0G0W4","UP000154903","Merkel cell polyomavirus","Other",1.55555555555556,3.91304347826087
"49","B2XXZ9","UP000117552","Duvenhage virus","Other",1,1.59090909090909
"50","B2XY05","UP000117552","Duvenhage virus","Other",1.2,1.74216027874564
"51","B2XY06","UP000117552","Duvenhage virus","Other",1.25,2.09424083769634
"52","B2XY07","UP000117552","Duvenhage virus","Other",1,1.72413793103448
"53","B2XY08","UP000117552","Duvenhage virus","Other",1.03333333333333,1.41776937618147
"54","B3SN54","UP000139415","Pichinde mammarenavirus","Other",1.08333333333333,2.18181818181818
"55","B6DVW7","UP000154903","Merkel cell polyomavirus","Other",2.11594202898551,8.31265508684863
"56","B6RUN8","UP000114294","Rotavirus B","Other",1.16666666666667,0.797872340425532
"57","B8XTP8","UP000029753","Cosavirus A","Other",2.57627118644068,2.65026029342168
"58","C1BEG3","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1.42857142857143,10.1694915254237
"59","C3V9V5","UP000114294","Rotavirus B","Other",1.14285714285714,1.84210526315789
"60","C5MSH2","UP000029742","Salivirus A","Other",3.02298850574713,3.34320778671181
"61","D4NRK3","UP000161306","Lagos bat virus","Other",1,1.36674259681093
"62","D4NRK4","UP000161306","Lagos bat virus","Other",1.36363636363636,3.74149659863946
"63","D4NRK5","UP000161306","Lagos bat virus","Other",1,2.09424083769634
"64","D4NRK6","UP000161306","Lagos bat virus","Other",1.14285714285714,1.36986301369863
"65","D4NRK7","UP000161306","Lagos bat virus","Other",1.03333333333333,1.41776937618147
"66","D5SGZ8","UP000180764","Adenoassociated virus 2","Other",1.5,6.21761658031088
"67","D6NGF4","UP000114294","Rotavirus B","Other",1,1.13141862489121
"68","D6NGF5","UP000114294","Rotavirus B","Other",1,1.30010834236186
"69","D6NGF7","UP000114294","Rotavirus B","Other",1,1.48849797023004
"70","D6NGF9","UP000114294","Rotavirus B","Other",1.75,1.68067226890756
"71","D6NGG0","UP000114294","Rotavirus B","Other",1,2.08333333333333
"72","D6NGG2","UP000114294","Rotavirus B","Other",1,1.37931034482759
"73","D6NGG3","UP000114294","Rotavirus B","Other",1.14285714285714,4.16666666666667
"74","D6NGG4","UP000114294","Rotavirus B","Other",1,1.92307692307692
"75","D6PT84","UP000181622","Dhori virus (Thogotovirus dhoriense)","Other",1.125,1.06809078771696
"76","D6PT85","UP000181622","Dhori virus (Thogotovirus dhoriense)","Other",1.1,1.59744408945687
"77","D6PT86","UP000181622","Dhori virus (Thogotovirus dhoriense)","Other",1.5,0.785854616895874
"78","D6PT87","UP000181622","Dhori virus (Thogotovirus dhoriense)","Other",1,3.57941834451902
"79","D6PT88","UP000181622","Dhori virus (Thogotovirus dhoriense)","Other",1,2.7027027027027
"80","D6PT89","UP000181622","Dhori virus (Thogotovirus dhoriense)","Other",1.21428571428571,1.98581560283688
"81","D9YRN0","UP000207632","Sandfly fever Turkey virus","Other",1,1.5625
"82","D9YRN1","UP000207632","Sandfly fever Turkey virus","Other",1.11764705882353,1.2781954887218
"83","D9YRN2","UP000207632","Sandfly fever Turkey virus","Other",1.02173913043478,2.21260221260221
"84","F4Y5R8","UP000207632","Sandfly fever Turkey virus","Other",1,1.27659574468085
"85","F5H8Q3","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1.22222222222222,2.95081967213115
"86","F5H8R0","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1,4.6875
"87","F5H8R6","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1.8,4.31034482758621
"88","F5H8S6","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1,1.22448979591837
"89","F5H8Y5","UP000000942","Human herpesvirus 8 type P","Herpesviridae",1,1.25
"90","F5H982","UP000000942","Human herpesvirus 8 type P","Herpesviridae",1,3.78006872852234
"91","F5H991","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1.66666666666667,4.39189189189189
"92","F5H9F9","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",9.25925925925926,5.50239234449761
"93","F5H9I4","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1,1.6
"94","F5H9N4","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1.88888888888889,5.18731988472623
"95","F5H9N9","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1.08333333333333,4.25531914893617
"96","F5H9T4","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1,1.35135135135135
"97","F5H9W4","UP000000942","Human herpesvirus 8 type P","Herpesviridae",1,2.89855072463768
"98","F5H9W9","UP000000942","Human herpesvirus 8 type P","Herpesviridae",1,0.462962962962963
"99","F5H9Z4","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",2.91666666666667,6.72782874617737
"100","F5HA06","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1,1.35135135135135
"101","F5HA10","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1.33333333333333,2.52100840336134
"102","F5HA27","UP000000942","Human herpesvirus 8 type P","Herpesviridae",1.5,3.07692307692308
"103","F5HA93","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1,2.5089605734767
"104","F5HAC7","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1,1.49700598802395
"105","F5HAD1","UP000000942","Human herpesvirus 8 type P","Herpesviridae",1.27777777777778,5.20231213872832
"106","F5HAE6","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1,4.3956043956044
"107","F5HAI6","UP000000942","Human herpesvirus 8 type P","Herpesviridae",1,2.62172284644195
"108","F5HAK9","UP000000942","Human herpesvirus 8 type P","Herpesviridae",1.08333333333333,1.66898470097357
"109","F5HAM0","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1,1.81818181818182
"110","F5HAM4","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1.36363636363636,7.33333333333333
"111","F5HAQ7","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",12.6904761904762,12.4579124579125
"112","F5HAR3","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1.30769230769231,5.67685589519651
"113","F5HAS7","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1,3.15789473684211
"114","F5HAW0","UP000000942","Human herpesvirus 8 type P","Herpesviridae",2.5,0.680272108843537
"115","F5HAY6","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1,0.860215053763441
"116","F5HAZ3","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1.0952380952381,3.44234079173838
"117","F5HB39","UP000000942","Human herpesvirus 8 type P","Herpesviridae",1.25,4.51467268623025
"118","F5HB40","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",3.30188679245283,8.33333333333333
"119","F5HB41","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1,3.25443786982249
"120","F5HB52","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1,0.925925925925926
"121","F5HB53","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1.08695652173913,2.45535714285714
"122","F5HB62","UP000000942","Human herpesvirus 8 type P","Herpesviridae",3,4.39367311072056
"123","F5HB81","UP000000942","Human herpesvirus 8 type P","Herpesviridae",1.25581395348837,5.03597122302158
"124","F5HB98","UP000000942","Human herpesvirus 8 type P","Herpesviridae",1.64705882352941,7.83410138248848
"125","F5HBC6","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",32.2428571428571,9.12408759124088
"126","F5HBR4","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1.78947368421053,5.3935860058309
"127","F5HBX1","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1,2.75229357798165
"128","F5HC14","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1.27777777777778,5.38922155688623
"129","F5HC16","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",7.39130434782609,4.7979797979798
"130","F5HC33","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",3.90909090909091,4.66101694915254
"131","F5HC71","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1,1.21212121212121
"132","F5HC79","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1.27659574468085,5.60190703218117
"133","F5HC97","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",35.5113636363636,13.7440758293839
"134","F5HCD4","UP000000942","Human herpesvirus 8 type P","Herpesviridae",1.1,7.19424460431655
"135","F5HCH8","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1.15384615384615,4.8689138576779
"136","F5HCJ2","UP000000942","Human herpesvirus 8 type P","Herpesviridae",1,0.970873786407767
"137","F5HCK7","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1,1.11111111111111
"138","F5HCM1","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1.17391304347826,4.79166666666667
"139","F5HCP3","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1,0.985221674876847
"140","F5HCU8","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1,3.01659125188537
"141","F5HCV3","UP000000942","Human herpesvirus 8 type P","Herpesviridae",1.17391304347826,6.76470588235294
"142","F5HD03","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1.4,2.90697674418605
"143","F5HD27","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1,2.36686390532544
"144","F5HD92","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1.125,2.67558528428094
"145","F5HDA4","UP000000942","Human herpesvirus 8 type P","Herpesviridae",1.25,6.95652173913043
"146","F5HDB7","UP000000942","Human herpesvirus 8 type P","Herpesviridae",1,2.56410256410256
"147","F5HDC7","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1,2.83185840707965
"148","F5HDD0","UP000000942","Human herpesvirus 8 type P","Herpesviridae",1,1.02827763496144
"149","F5HDD3","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1,1.86915887850467
"150","F5HDE4","UP000000942","Human herpesvirus 8 type P","Herpesviridae",4.63934426229508,12.1212121212121
"151","F5HDE7","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1,3.03030303030303
"152","F5HDK1","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",2.55555555555556,6.23229461756374
"153","F5HDM3","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",2,0.732600732600733
"154","F5HDQ6","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",18.7428571428571,7.02614379084967
"155","F5HDY6","UP000000942","Human herpesvirus 8 type P","Herpesviridae",1,0.716845878136201
"156","F5HE05","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1,2.12765957446809
"157","F5HE12","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",16.6153846153846,9.36507936507937
"158","F5HE44","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",2.77777777777778,2.59259259259259
"159","F5HE69","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1.27272727272727,4.18250950570342
"160","F5HE74","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1,5.79710144927536
"161","F5HEA3","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1.5,7.42857142857143
"162","F5HEF2","UP000000942","Human herpesvirus 8 type P","Herpesviridae",1.25,1.23839009287926
"163","F5HEF3","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1.09090909090909,7.23684210526316
"164","F5HEN7","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1,3.125
"165","F5HEN8","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",17.125,6.03174603174603
"166","F5HES7","UP000000942","Human herpesvirus 8 type P","Herpesviridae",1,3.03030303030303
"167","F5HET1","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1,4.04761904761905
"168","F5HET4","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1,7.6271186440678
"169","F5HET8","UP000000942","Human herpesvirus 8 type P","Herpesviridae",2,27.3809523809524
"170","F5HEU0","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1,2.85714285714286
"171","F5HEU7","UP000000942","Human herpesvirus 8 type P","Herpesviridae",1,1.9629225736096
"172","F5HEZ4","UP000000942","Human herpesvirus 8 type P","Herpesviridae",2,1.12994350282486
"173","F5HF35","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1.16666666666667,7.4235807860262
"174","F5HF36","UP000000942","Human herpesvirus 8 type P","Herpesviridae",1.15384615384615,7.60233918128655
"175","F5HF44","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",2,0.840336134453782
