"","query_seqname","mismatches","count","Proteome ID","PLength"
"1","sp|D5SGZ8|AAP_AAV2S",2,5,"UP000180764",204
"2","sp|P03132|REP68_AAV2S",1,3,"UP000180764",536
"3","sp|P03132|REP68_AAV2S",2,11,"UP000180764",536
"4","sp|P03135|CAPSD_AAV2S",2,16,"UP000180764",735
"5","sp|P03135|CAPSD_AAV2S",3,2,"UP000180764",735
"6","sp|Q89268|REP78_AAV2S",1,6,"UP000180764",621
"7","sp|Q89268|REP78_AAV2S",2,19,"UP000180764",621
"8","sp|Q89268|REP78_AAV2S",3,1,"UP000180764",621
"9","sp|Q89270|REP52_AAV2S",1,3,"UP000180764",397
"10","sp|Q89270|REP52_AAV2S",2,8,"UP000180764",397
"11","sp|Q89270|REP52_AAV2S",3,1,"UP000180764",397
"12","sp|O91464|POLG_AIVA8",1,5,"UP000119554",2432
"13","sp|O91464|POLG_AIVA8",2,39,"UP000119554",2432
"14","sp|O91464|POLG_AIVA8",3,4,"UP000119554",2432
"15","sp|Q9QSP0|L_ABLVB",1,2,"UP000006934",2128
"16","sp|Q9QSP0|L_ABLVB",2,20,"UP000006934",2128
"17","sp|Q9QSP0|L_ABLVB",3,1,"UP000006934",2128
"18","sp|Q9QSP1|GLYCO_ABLVB",1,4,"UP000006934",525
"19","sp|Q9QSP1|GLYCO_ABLVB",2,16,"UP000006934",525
"20","sp|Q9QSP1|GLYCO_ABLVB",3,1,"UP000006934",525
"21","sp|Q9QSP2|MATRX_ABLVB",1,2,"UP000006934",212
"22","sp|Q9QSP2|MATRX_ABLVB",2,9,"UP000006934",212
"23","sp|Q9QSP2|MATRX_ABLVB",3,4,"UP000006934",212
"24","sp|Q9QSP3|PHOSP_ABLVB",1,3,"UP000006934",297
"25","sp|Q9QSP3|PHOSP_ABLVB",2,10,"UP000006934",297
"26","sp|Q9QSP4|NCAP_ABLVB",1,1,"UP000006934",450
"27","sp|Q9QSP4|NCAP_ABLVB",2,10,"UP000006934",450
"28","sp|Q9QSP4|NCAP_ABLVB",3,1,"UP000006934",450
"29","sp|Q9INI1|NS2_BAVJK",1,3,"UP000000832",425
"30","sp|Q9INI1|NS2_BAVJK",2,25,"UP000000832",425
"31","sp|Q9INI1|NS2_BAVJK",3,3,"UP000000832",425
"32","sp|Q9INI2|NS1_BAVJK",1,3,"UP000000832",508
"33","sp|Q9INI2|NS1_BAVJK",2,20,"UP000000832",508
"34","sp|Q9INI3|VP4_BAVJK",2,5,"UP000000832",576
"35","sp|Q9INI3|VP4_BAVJK",3,3,"UP000000832",576
"36","sp|Q9INI4|VP3_BAVJK",1,2,"UP000000832",720
"37","sp|Q9INI4|VP3_BAVJK",2,10,"UP000000832",720
"38","sp|Q9INI4|VP3_BAVJK",3,1,"UP000000832",720
"39","sp|Q9INI5|VP2_BAVJK",0,1,"UP000000832",954
"40","sp|Q9INI5|VP2_BAVJK",1,14,"UP000000832",954
"41","sp|Q9INI5|VP2_BAVJK",2,37,"UP000000832",954
"42","sp|Q9INJ1|RDRP_BAVJK",1,3,"UP000000832",1214
"43","sp|Q9INJ1|RDRP_BAVJK",2,22,"UP000000832",1214
"44","sp|Q9INJ1|RDRP_BAVJK",3,2,"UP000000832",1214
"45","sp|Q9YIT9|NS5_BAVJK",3,1,"UP000000832",207
"46","sp|Q9YJJ8|VP8_BAVJK",2,10,"UP000000832",302
"47","sp|Q9YJJ8|VP8_BAVJK",3,1,"UP000000832",302
"48","sp|Q9YWQ0|NS3_BAVJK",1,1,"UP000000832",306
"49","sp|Q9YWQ0|NS3_BAVJK",2,12,"UP000000832",306
"50","sp|Q9YWQ1|SPIKE_BAVJK",1,1,"UP000000832",283
"51","sp|Q9YWQ1|SPIKE_BAVJK",2,6,"UP000000832",283
"52","sp|Q9YWQ2|VP10_BAVJK",1,1,"UP000000832",249
"53","sp|Q9YWQ2|VP10_BAVJK",2,3,"UP000000832",249
"54","sp|Q9YWQ3|NS4_BAVJK",1,1,"UP000000832",180
"55","sp|Q9YWQ3|NS4_BAVJK",2,1,"UP000000832",180
"56","sp|P87515|POLN_BFV",0,1,"UP000007609",2411
"57","sp|P87515|POLN_BFV",1,13,"UP000007609",2411
"58","sp|P87515|POLN_BFV",2,69,"UP000007609",2411
"59","sp|P87515|POLN_BFV",3,5,"UP000007609",2411
"60","sp|P89946|POLS_BFV",1,10,"UP000007609",1239
"61","sp|P89946|POLS_BFV",2,40,"UP000007609",1239
"62","sp|P89946|POLS_BFV",3,7,"UP000007609",1239
"63","tr|Q0PCM5|Q0PCM5_POVBK",1,2,"UP000145981",362
"64","tr|Q0PCM5|Q0PCM5_POVBK",2,20,"UP000145981",362
"65","tr|Q0PCM5|Q0PCM5_POVBK",3,2,"UP000145981",362
"66","tr|Q0PCM6|Q0PCM6_POVBK",2,4,"UP000145981",232
"67","tr|Q0PCM7|Q0PCM7_POVBK",2,7,"UP000145981",351
"68","sp|P04505|GP_BUNYW",1,7,"UP000002476",1433
"69","sp|P04505|GP_BUNYW",2,19,"UP000002476",1433
"70","sp|P16494|NSS_BUNYW",2,2,"UP000002476",101
"71","sp|P20470|L_BUNYW",1,1,"UP000002476",2238
"72","sp|P20470|L_BUNYW",2,32,"UP000002476",2238
"73","sp|Q8JPQ9|NSS_BUNL8",3,2,"UP000008768",92
"74","sp|Q8JPR0|NCAP_BUNL8",2,5,"UP000008768",235
"75","sp|Q8JPR1|GP_BUNL8",1,2,"UP000008768",1441
"76","sp|Q8JPR1|GP_BUNL8",2,69,"UP000008768",1441
"77","sp|Q8JPR1|GP_BUNL8",3,6,"UP000008768",1441
"78","sp|Q8JPR2|L_BUNL8",1,4,"UP000008768",2263
"79","sp|Q8JPR2|L_BUNL8",2,35,"UP000008768",2263
"80","sp|Q8JPR2|L_BUNL8",3,3,"UP000008768",2263
"81","tr|A8WA74|A8WA74_BUNSH",1,3,"UP000150053",2263
"82","tr|A8WA74|A8WA74_BUNSH",2,47,"UP000150053",2263
"83","tr|A8WA74|A8WA74_BUNSH",3,2,"UP000150053",2263
"84","tr|A9LXW2|A9LXW2_BUNSH",1,3,"UP000150053",1441
"85","tr|A9LXW2|A9LXW2_BUNSH",2,55,"UP000150053",1441
"86","tr|A9LXW2|A9LXW2_BUNSH",3,8,"UP000150053",1441
"87","tr|A9YU76|A9YU76_BUNSH",3,2,"UP000150053",92
"88","tr|Q5Y0M9|Q5Y0M9_9ALPH",0,1,"UP000137988",1167
"89","tr|Q5Y0M9|Q5Y0M9_9ALPH",1,45,"UP000137988",1167
"90","tr|Q5Y0M9|Q5Y0M9_9ALPH",2,36,"UP000137988",1167
"91","tr|Q5Y0N1|Q5Y0N1_9ALPH",1,4,"UP000137988",115
"92","tr|Q5Y0N1|Q5Y0N1_9ALPH",2,4,"UP000137988",115
"93","tr|Q5Y0N2|Q5Y0N2_9ALPH",2,17,"UP000137988",276
"94","tr|Q5Y0N2|Q5Y0N2_9ALPH",3,2,"UP000137988",276
"95","tr|Q5Y0N3|Q5Y0N3_9ALPH",2,7,"UP000137988",91
"96","tr|Q5Y0N5|Q5Y0N5_9ALPH",1,21,"UP000137988",540
"97","tr|Q5Y0N5|Q5Y0N5_9ALPH",2,42,"UP000137988",540
"98","tr|Q5Y0N5|Q5Y0N5_9ALPH",3,1,"UP000137988",540
"99","tr|Q5Y0N6|Q5Y0N6_9ALPH",1,4,"UP000137988",399
"100","tr|Q5Y0N6|Q5Y0N6_9ALPH",2,6,"UP000137988",399
"101","tr|Q5Y0N7|Q5Y0N7_9ALPH",1,26,"UP000137988",395
"102","tr|Q5Y0N7|Q5Y0N7_9ALPH",2,3,"UP000137988",395
"103","tr|Q5Y0N9|Q5Y0N9_9ALPH",0,3,"UP000137988",604
"104","tr|Q5Y0N9|Q5Y0N9_9ALPH",1,21,"UP000137988",604
"105","tr|Q5Y0N9|Q5Y0N9_9ALPH",2,16,"UP000137988",604
"106","tr|Q5Y0P0|Q5Y0P0_9ALPH",1,4,"UP000137988",454
"107","tr|Q5Y0P0|Q5Y0P0_9ALPH",2,7,"UP000137988",454
"108","tr|Q5Y0P1|Q5Y0P1_9ALPH",0,1,"UP000137988",300
"109","tr|Q5Y0P1|Q5Y0P1_9ALPH",1,10,"UP000137988",300
"110","tr|Q5Y0P1|Q5Y0P1_9ALPH",2,14,"UP000137988",300
"111","tr|Q5Y0P2|Q5Y0P2_9ALPH",1,2,"UP000137988",431
"112","tr|Q5Y0P2|Q5Y0P2_9ALPH",2,2,"UP000137988",431
"113","tr|Q5Y0P4|Q5Y0P4_9ALPH",0,1,"UP000137988",630
"114","tr|Q5Y0P4|Q5Y0P4_9ALPH",1,12,"UP000137988",630
"115","tr|Q5Y0P4|Q5Y0P4_9ALPH",2,2,"UP000137988",630
"116","tr|Q5Y0P5|Q5Y0P5_9ALPH",1,1,"UP000137988",226
"117","tr|Q5Y0P5|Q5Y0P5_9ALPH",2,10,"UP000137988",226
"118","tr|Q5Y0P5|Q5Y0P5_9ALPH",3,2,"UP000137988",226
"119","tr|Q5Y0P6|Q5Y0P6_9ALPH",1,3,"UP000137988",190
"120","tr|Q5Y0P6|Q5Y0P6_9ALPH",2,23,"UP000137988",190
"121","tr|Q5Y0P7|Q5Y0P7_9ALPH",0,2,"UP000137988",510
"122","tr|Q5Y0P7|Q5Y0P7_9ALPH",1,6,"UP000137988",510
"123","tr|Q5Y0P7|Q5Y0P7_9ALPH",2,2,"UP000137988",510
"124","tr|Q5Y0P8|Q5Y0P8_9ALPH",1,2,"UP000137988",334
"125","tr|Q5Y0P8|Q5Y0P8_9ALPH",2,2,"UP000137988",334
"126","tr|Q5Y0P9|Q5Y0P9_9ALPH",1,21,"UP000137988",1053
"127","tr|Q5Y0P9|Q5Y0P9_9ALPH",2,15,"UP000137988",1053
"128","tr|Q5Y0Q0|Q5Y0Q0_9ALPH",2,1,"UP000137988",228
"129","tr|Q5Y0Q1|Q5Y0Q1_9ALPH",1,5,"UP000137988",367
"130","tr|Q5Y0Q1|Q5Y0Q1_9ALPH",2,16,"UP000137988",367
"131","tr|Q5Y0Q3|Q5Y0Q3_9ALPH",1,1,"UP000137988",275
"132","tr|Q5Y0Q3|Q5Y0Q3_9ALPH",2,4,"UP000137988",275
"133","tr|Q5Y0Q4|Q5Y0Q4_9ALPH",2,7,"UP000137988",488
"134","tr|Q5Y0Q5|Q5Y0Q5_9ALPH",1,15,"UP000137988",674
"135","tr|Q5Y0Q5|Q5Y0Q5_9ALPH",2,30,"UP000137988",674
"136","tr|Q5Y0Q5|Q5Y0Q5_9ALPH",3,1,"UP000137988",674
"137","tr|Q5Y0Q6|Q5Y0Q6_9ALPH",1,18,"UP000137988",680
"138","tr|Q5Y0Q6|Q5Y0Q6_9ALPH",2,42,"UP000137988",680
"139","tr|Q5Y0Q7|Q5Y0Q7_9ALPH",1,4,"UP000137988",174
"140","tr|Q5Y0Q7|Q5Y0Q7_9ALPH",2,13,"UP000137988",174
"141","tr|Q5Y0Q8|Q5Y0Q8_9ALPH",1,6,"UP000137988",464
"142","tr|Q5Y0Q8|Q5Y0Q8_9ALPH",2,26,"UP000137988",464
"143","tr|Q5Y0Q9|Q5Y0Q9_9ALPH",0,1,"UP000137988",381
"144","tr|Q5Y0Q9|Q5Y0Q9_9ALPH",1,18,"UP000137988",381
"145","tr|Q5Y0Q9|Q5Y0Q9_9ALPH",2,21,"UP000137988",381
