"","viral_uniprot","query_seqname","protein_length","feature","3","1","2","0","NA"
"1","A0A1P7U1I1","tr|A0A1P7U1I1|A0A1P7U1I1_HCMVM Membrane glycoprotein UL8 OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=UL8 PE=4 SV=1",324,"Lytic",1.91693290734824,0,0,0,NA
"2","C1BEG3","sp|C1BEG3|UL74A_HCMVM Uncharacterized protein UL74A OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=UL74A PE=4 SV=2",70,"Lytic",10.1694915254237,1.69491525423729,5.08474576271186,0,NA
"3","F5H8Q3","sp|F5H8Q3|UL148_HCMVM Membrane protein UL148 OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=UL148 PE=3 SV=1",316,"Lytic",2.95081967213115,0,0,0,NA
"4","F5H8R0","sp|F5H8R0|U147A_HCMVM Uncharacterized protein UL147A OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=UL147A PE=3 SV=1",75,"Lytic",4.6875,0,0,0,NA
"5","F5H8R6","sp|F5H8R6|UL96_HCMVM Protein UL96 OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=UL96 PE=3 SV=1",127,"Lytic",4.31034482758621,0,0,0,NA
"6","F5H8S6","sp|F5H8S6|US24_HCMVM Tegument protein US24 OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=US24 PE=3 SV=1",501,"Lytic",1.22448979591837,0,0,0,NA
"7","F5H991","sp|F5H991|US26_HCMVM Protein US26 OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=US26 PE=3 SV=1",603,"Lytic",4.39189189189189,0,0.168918918918919,0,NA
"8","F5H9F9","sp|F5H9F9|UL88_HCMVM Protein UL88 OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=UL88 PE=3 SV=1",429,"Lytic",5.98086124401914,0.239234449760766,1.67464114832536,0,NA
"9","F5H9I4","sp|F5H9I4|US13_HCMVM Membrane protein US13 OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=US13 PE=3 SV=1",261,"Lytic",1.6,0,0,0,NA
"10","F5H9N4","sp|F5H9N4|VP22_HCMVM Tegument protein UL24 OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=UL24 PE=3 SV=2",358,"Lytic",5.76368876080692,0,0.288184438040346,0,NA
"11","F5H9N9","sp|F5H9N9|US17_HCMVM Protein US17 OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=US17 PE=4 SV=1",293,"Lytic",4.25531914893617,0,0,0,NA
"12","F5H9T4","sp|F5H9T4|UL09_HCMVM Membrane glycoprotein UL9 OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=UL9 PE=3 SV=1",233,"Lytic",1.35135135135135,0,0,0,NA
"13","F5H9Z4","sp|F5H9Z4|UL20_HCMVM Membrane protein UL20 OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=UL20 PE=3 SV=1",338,"Lytic",6.72782874617737,0,0.611620795107034,0,NA
"14","F5HA06","sp|F5HA06|UL147_HCMVM Putative viral CXC chemokine 2 OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=UL147 PE=3 SV=1",159,"Lytic",1.35135135135135,0,0,0,NA
"15","F5HA10","sp|F5HA10|CEP1_HCMVM Cytoplasmic envelopment protein 1 OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=UL103 PE=3 SV=1",249,"Lytic",2.52100840336134,0,0,0,NA
"16","F5HA93","sp|F5HA93|TRX1_HCMVM Triplex capsid protein 1 OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=TRX1 PE=3 SV=1",290,"Lytic",2.5089605734767,0,0,0,NA
"17","F5HAC7","sp|F5HAC7|CEP2_HCMVM Cytoplasmic envelopment protein 2 OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=UL94 PE=3 SV=1",345,"Lytic",1.49700598802395,0,0,0,NA
"18","F5HAE6","sp|F5HAE6|UL15A_HCMVM Uncharacterized protein UL15A OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=UL15A PE=3 SV=1",102,"Lytic",4.3956043956044,0,0,0,NA
"19","F5HAM0","sp|F5HAM0|UL144_HCMVM Membrane glycoprotein UL144 OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=UL144 PE=3 SV=1",176,"Lytic",1.81818181818182,0,0,0,NA
"20","F5HAM4","sp|F5HAM4|US31_HCMVM Uncharacterized protein US31 OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=US31 PE=3 SV=1",161,"Lytic",7.33333333333333,0,0,0,NA
"21","F5HAQ7","sp|F5HAQ7|UL135_HCMVM Protein UL135 OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=UL135 PE=1 SV=1",308,"Lytic",12.4579124579125,0,1.68350168350168,0,NA
"22","F5HAR3","sp|F5HAR3|US19_HCMVM Transmembrane protein US19 OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=US19 PE=2 SV=1",240,"Lytic",5.67685589519651,0,0,0,NA
"23","F5HAS7","sp|F5HAS7|UL92_HCMVM Uncharacterized protein UL92 OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=UL92 PE=4 SV=1",201,"Lytic",3.15789473684211,0,0,0,NA
"24","F5HAY6","sp|F5HAY6|VICA_HCMVM Viral inhibitor of caspase-8-induced apoptosis OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=UL36 PE=1 SV=1",476,"Lytic",0.860215053763441,0,0,0,NA
"25","F5HAZ3","sp|F5HAZ3|US23_HCMVM Protein US23 OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=US23 PE=3 SV=1",592,"Lytic",3.95869191049914,0,0.516351118760757,0,NA
"26","F5HB40","sp|F5HB40|UL84_HCMVM Protein UL84 OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=UL84 PE=3 SV=1",587,"Lytic",8.33333333333333,0,0.868055555555556,0,NA
"27","F5HB41","sp|F5HB41|US30_HCMVM Uncharacterized protein US30 OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=US30 PE=4 SV=1",349,"Lytic",3.25443786982249,0,0,0,NA
"28","F5HB52","sp|F5HB52|US08_HCMVM Membrane glycoprotein US8 OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=US8 PE=3 SV=1",227,"Lytic",0.925925925925926,0,0,0,NA
"29","F5HB53","sp|F5HB53|GB_HCMVM Envelope glycoprotein B OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=gB PE=3 SV=1",907,"Lytic",2.45535714285714,0,0.111607142857143,0,NA
"30","F5HBC6","sp|F5HBC6|PP71_HCMVM Protein pp71 OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=UL82 PE=3 SV=1",559,"Lytic",9.48905109489051,1.27737226277372,2.37226277372263,0.364963503649635,NA
"31","F5HBR4","sp|F5HBR4|PORTL_HCMVM Portal protein OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=UL104 PE=3 SV=1",697,"Lytic",5.3935860058309,0,0.145772594752187,0,NA
"32","F5HBX1","sp|F5HBX1|CXCL1_HCMVM Chemokine vCXCL1 OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=UL146 PE=1 SV=1",120,"Lytic",2.75229357798165,0,0,0,NA
"33","F5HC14","sp|F5HC14|UL119_HCMVM Viral Fc-gamma receptor-like protein UL119 OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=UL119/UL118 PE=3 SV=1",345,"Lytic",5.38922155688623,0,0,0,NA
"34","F5HC16","sp|F5HC16|UL34_HCMVM Transcriptional regulator UL34 OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=UL34 PE=3 SV=1",407,"Lytic",4.7979797979798,0,1.01010101010101,0,NA
"35","F5HC33","sp|F5HC33|US09_HCMVM Membrane glycoprotein US9 OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=US9 PE=3 SV=1",247,"Lytic",4.66101694915254,0,0,0,NA
"36","F5HC71","sp|F5HC71|IL10H_HCMVM Viral interleukin-10 homolog OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=UL111A PE=3 SV=1",176,"Latent",1.21212121212121,0,0,0,NA
"37","F5HC79","sp|F5HC79|TRM1_HCMVM Tripartite terminase subunit 1 OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=TRM1 PE=3 SV=1",850,"Lytic",5.60190703218117,0,0,0,NA
"38","F5HC97","sp|F5HC97|VPAP_HCMVM DNA polymerase processivity factor OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=UL44 PE=3 SV=1",433,"Lytic",13.7440758293839,2.13270142180095,5.45023696682464,0.4739336492891,NA
"39","F5HCH8","sp|F5HCH8|GL_HCMVM Envelope glycoprotein L OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=gL PE=1 SV=1",278,"Lytic",4.8689138576779,0,0.374531835205993,0,NA
"40","F5HCK7","sp|F5HCK7|UL140_HCMVM Protein UL140 OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=UL140 PE=4 SV=1",191,"Lytic",1.11111111111111,0,0,0,NA
"41","F5HCM1","sp|F5HCM1|VIE1_HCMVM Immediate early protein IE1 OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=UL123 PE=3 SV=1",491,"Lytic",4.79166666666667,0,0.208333333333333,0,NA
"42","F5HCP3","sp|F5HCP3|UL130_HCMVM Envelope glycoprotein UL130 OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=UL130 PE=1 SV=1",214,"Lytic",0.985221674876847,0,0,0,NA
"43","F5HCU8","sp|F5HCU8|TRM3_HCMVM Tripartite terminase subunit 3 OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=TRM3 PE=3 SV=1",674,"Lytic",3.01659125188537,0,0.150829562594268,0,NA
"44","F5HD03","sp|F5HD03|US32_HCMVM Protein US32 OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=US32 PE=3 SV=1",183,"Lytic",2.90697674418605,0,0,0,NA
"45","F5HD27","sp|F5HD27|UL121_HCMVM Membrane protein UL121 OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=UL121 PE=3 SV=1",180,"Lytic",2.36686390532544,0,0,0,NA
"46","F5HD92","sp|F5HD92|US14_HCMVM Membrane protein US14 OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=US14 PE=3 SV=1",310,"Lytic",2.67558528428094,0,0,0,NA
"47","F5HDC7","sp|F5HDC7|US22_HCMVM Tegument protein US22 OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=US22 PE=3 SV=1",576,"Lytic",2.83185840707965,0,0.176991150442478,0,NA
"48","F5HDD3","sp|F5HDD3|US07_HCMVM Membrane glycoprotein US7 OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=US7 PE=3 SV=1",225,"Lytic",1.86915887850467,0,0,0,NA
"49","F5HDE7","sp|F5HDE7|U148C_HCMVM Protein UL148C OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=UL148C PE=4 SV=1",77,"Lytic",3.03030303030303,0,0,0,NA
"50","F5HDK1","sp|F5HDK1|US27_HCMVM Envelope glycoprotein US27 OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=US27 PE=3 SV=1",364,"Lytic",6.23229461756374,0.28328611898017,1.13314447592068,0,NA
"51","F5HDM3","sp|F5HDM3|UL23_HCMVM Tegument protein UL23 OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=UL23 PE=3 SV=1",284,"Lytic",0.732600732600733,0,0,0,NA
"52","F5HDQ6","sp|F5HDQ6|DNBI_HCMVM Major DNA-binding protein OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=DBP PE=3 SV=1",1235,"Lytic",7.02614379084967,0.245098039215686,1.30718954248366,0,NA
"53","F5HE05","sp|F5HE05|US02_HCMVM Unique short US2 glycoprotein OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=US2 PE=2 SV=1",199,"Lytic",2.12765957446809,0,0,0,NA
"54","F5HE12","sp|F5HE12|UL35_HCMVM Tegument protein UL35 OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=UL35 PE=3 SV=1",641,"Lytic",10,0.952380952380952,1.9047619047619,0.317460317460317,NA
"55","F5HE44","sp|F5HE44|US12_HCMVM Uncharacterized protein US12 OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=US12 PE=3 SV=1",281,"Lytic",2.59259259259259,0,0.740740740740741,0,NA
"56","F5HE69","sp|F5HE69|US18_HCMVM Transmembrane protein US18 OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=US18 PE=3 SV=1",274,"Lytic",4.18250950570342,0,0,0,NA
"57","F5HE74","sp|F5HE74|U148A_HCMVM Protein UL148A OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=UL148A PE=4 SV=1",80,"Lytic",5.79710144927536,0,0,0,NA
"58","F5HEA3","sp|F5HEA3|TEG7_HCMVM Tegument protein UL51 homolog OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=UL71 PE=3 SV=1",361,"Lytic",7.42857142857143,0,0,0,NA
"59","F5HEF3","sp|F5HEF3|US34_HCMVM Protein US34 OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=US34 PE=3 SV=1",163,"Lytic",7.23684210526316,0,0,0,NA
"60","F5HEN7","sp|F5HEN7|SCP_HCMVM Small capsomere-interacting protein OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=SCP PE=3 SV=1",75,"Lytic",3.125,0,0,0,NA
"61","F5HEN8","sp|F5HEN8|HELI_HCMVM DNA replication helicase OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=HELI PE=3 SV=1",956,"Lytic",6.03174603174603,0.105820105820106,1.58730158730159,0,NA
"62","F5HET1","sp|F5HET1|UL78_HCMVM Protein UL78 OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=UL78 PE=1 SV=1",431,"Lytic",4.04761904761905,0,0,0,NA
"63","F5HET4","sp|F5HET4|U131A_HCMVM Protein UL131A OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=UL131A PE=1 SV=1",129,"Lytic",7.6271186440678,0,0,0,NA
"64","F5HEU0","sp|F5HEU0|US03_HCMVM Membrane glycoprotein US3 OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=US3 PE=2 SV=1",186,"Lytic",2.85714285714286,0,0,0,NA
"65","F5HF35","sp|F5HF35|UL136_HCMVM Protein UL136 OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=UL136 PE=1 SV=1",240,"Lytic",7.4235807860262,0,1.31004366812227,0,NA
"66","F5HF44","sp|F5HF44|UL145_HCMVM Protein UL145 OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=UL145 PE=1 SV=1",130,"Lytic",0.840336134453782,0,0,0,NA
"67","F5HF49","sp|F5HF49|AN_HCMVM Alkaline nuclease OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=UL98 PE=3 SV=1",584,"Lytic",2.61780104712042,0,0.349040139616056,0,NA
"68","F5HF62","sp|F5HF62|US28_HCMVM Envelope protein US28 OS=Human cytomegalovirus (strain Merlin) OX=295027 GN=US28 PE=3 SV=1",354,"Latent",13.7026239067055,0.583090379008746,6.12244897959184,0,NA
