"","0","1","2","3","Number of Proteins","Proteome Length","ID","Pathogen","Organism","Organism.Id","Protein.count","CPD","Components","Taxon.mnemonic","Taxonomic.lineage","Genome.assembly.ID","Genome.representation","Chronic.or.Acute","Genome","Family_Viral_Zone","superkingdom","kingdom","phylum","class","order","family","genus","species","0_corrected","1_corrected","2_corrected","3_corrected"
"1",6,433,2673,2763,"   6","2805","UP000180764","Adenoassociated virus 2","Adeno-associated virus 2 (isolate Srivastava/1982) (AAV-2)",648242,"6","Outlier (high value)","Genome","AAV2S","Viruses, Monodnaviria, Shotokuvirae, Cossaviricota, Quintoviricetes, Piccovirales, Parvoviridae, Parvovirinae, Dependoparvovirus, Adeno-associated dependoparvovirus A, Adeno-associated virus 2","GCA_000838645.1","full","Acute","ssDNA","Parvoviridae","Viruses","Shotokuvirae","Cossaviricota","Quintoviricetes","Piccovirales","Parvoviridae","Dependoparvovirus","Dependoparvovirus primate1",0.214899713467049,15.5085959885387,95.7378223495702,98.9613180515759
"2",9,510,2363,2425,"   1","2432","UP000119554","Aichi virus","Aichi virus (strain Human/A846/88/1989) (AiV) (Aichi virus (strain A846/88))",650132,"1","Standard","Genome","AIVA8","Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Kobuvirus, Aichi virus, Aichi virus 1","GCA_000861885.1","full","Acute","ssRNA+","Picornaviridae","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Picornavirales","Picornaviridae","Kobuvirus","Aichivirus A",0.371287128712871,21.039603960396,97.483498349835,100.041254125413
"3",6,684,3488,3577,"   5","3612","UP000006934","Australian bat lyssavirus","Australian bat lyssavirus (isolate Bat/AUS/1996) (ABLV)",446561,"5","Standard","Genome","ABLVB","Viruses, Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Rhabdoviridae, Alpharhabdovirinae, Lyssavirus, Australian bat lyssavirus","GCA_000850325.1","full","Acute","ssRNA-","Rhabdoviridae","Viruses","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Rhabdoviridae","Lyssavirus","Lyssavirus australis",0.166666666666667,19,96.8888888888889,99.3611111111111
"4",14,980,5682,5840,"  12","5924","UP000000832","Banna virus","Banna virus (strain Indonesia/JKT-6423/1980) (BAV)",649604,"12","Unknown","Genome","BAVJK","Viruses, Riboviria, Orthornavirae, Duplornaviricota, Resentoviricetes, Reovirales, Reoviridae, Sedoreovirinae, Seadornavirus, Banna virus","GCA_000858185.1","full","Acute","dsRNA","Sedoreoviridae","Viruses","Orthornavirae","Duplornaviricota","Resentoviricetes","Reovirales","Sedoreoviridae","Seadornavirus","Banna virus",0.237087214225233,16.5961049957663,96.2235393734124,98.8992379339543
"5",10,639,3492,3636,"   2","3650","UP000007609","Barmah forest virus","Barmah forest virus (BFV)",11020,"2","Standard","Genome","BFV","Viruses, Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Martellivirales, Togaviridae, Alphavirus","GCA_000847585.1","full","Arthritis; 6 months","ssRNA+","Togaviridae","Viruses","Orthornavirae","Kitrinoviricota","Alsuviricetes","Martellivirales","Togaviridae","Alphavirus","Barmah Forest virus",0.274649821477616,17.5501235924197,95.9077176599835,99.8626750892612
"6",10,206,1120,1148,"   5","1183","UP000145981","BK polyomavirus","BK polyomavirus (BKPyV) (Human polyomavirus 1)",1891762,"5","Outlier (low value)","Genome","POVBK","Viruses, Monodnaviria, Shotokuvirae, Cossaviricota, Papovaviricetes, Sepolyvirales, Polyomaviridae, Betapolyomavirus",NA,NA,"Chronic","dsDNA","Polyomaviridae","Viruses","Shotokuvirae","Cossaviricota","Papovaviricetes","Sepolyvirales","Polyomaviridae","Betapolyomavirus","Betapolyomavirus hominis",0.85397096498719,17.5918018787361,95.6447480785653,98.0358667805295
"7",8,580,3804,3977,"   4","4005","UP000002476","Bunyamwera virus","Bunyamwera virus (BUNV)",35304,"4","Unknown","Genome","BUNYW","Viruses, Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Ellioviricetes, Bunyavirales, Peribunyaviridae, Orthobunyavirus, Bunyamwera orthobunyavirus","GCA_000849925.1","full","Acute","ssRNA-","Peribunyaviridae","Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus","Bunyamwera orthobunyavirus",0.200300450676014,14.521782674011,95.2428642964447,99.5743615423135
"8",7,510,3841,4003,"   4","4031","UP000008768","Bunyavirus La Crosse","Bunyavirus La Crosse (isolate Human/United States/L78/1978)",796210,"4","Unknown","Genome","BUNL8","Viruses, Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Ellioviricetes, Bunyavirales, Peribunyaviridae, Orthobunyavirus, La Crosse orthobunyavirus, Bunyavirus La Crosse","GCA_000850965.1","full","Acute","ssRNA-","Peribunyaviridae","Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus","La Crosse orthobunyavirus",0.174129353233831,12.6865671641791,95.547263681592,99.5771144278607
"9",2,554,3824,4003,"   4","4031","UP000150053","Bunyavirus snowshoe hare","Bunyavirus snowshoe hare",11580,"4","Unknown","Genome","BUNSH","Viruses, Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Ellioviricetes, Bunyavirales, Peribunyaviridae, Orthobunyavirus, Snowshoe hare orthobunyavirus","GCA_004789895.1","full","Acute","ssRNA-","Peribunyaviridae","Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus","Snowshoe hare orthobunyavirus",0.0497512437810945,13.7810945273632,95.1243781094527,99.5771144278607
"10",425,12601,36844,37255,"   73","37766","UP000137988","Cercopithecine alphaherpesvirus 2","Cercopithecine alphaherpesvirus 2",10317,"73","Standard","Genome","UP000137988","Viruses, Duplodnaviria, Heunggongvirae, Peploviricota, Herviviricetes, Herpesvirales, Herpesviridae, Alphaherpesvirinae, Simplexvirus","GCA_000846965.1","full","Acute","dsDNA","Herpesviridae","Viruses","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Simplexvirus","Simplexvirus cercopithecinealpha2",1.12773974420209,33.4368200392719,97.7657485538396,98.856339224115
"11",9,609,3476,3588,"   7","3637","UP000008448","Chandipura virus","Chandipura virus (strain I653514) (CHPV)",11273,"7","Outlier (low value)","Genome","CHAV","Viruses, Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Rhabdoviridae, Alpharhabdovirinae, Vesiculovirus, Chandipura vesiculovirus, Chandipura virus",NA,NA,"Acute","ssRNA-","Rhabdoviridae","Viruses","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Rhabdoviridae","Vesiculovirus","Vesiculovirus chandipura",0.248412917471709,16.8092740822523,95.9425890146288,99.0339497653878
