"","Proteome.ID","Pathogen","0_(0,1]","0_(1,2]","0_(2,3]","0_(3,4]","0_(4,6]","0_(6,10]","0_(10,20]","0_(20,323]","1_(0,1]","1_(1,2]","1_(2,3]","1_(3,4]","1_(4,6]","1_(6,10]","1_(10,20]","1_(20,323]","2_(0,1]","2_(1,2]","2_(2,3]","2_(3,4]","2_(4,6]","2_(6,10]","2_(10,20]","2_(20,323]","3_(0,1]","3_(1,2]","3_(2,3]","3_(3,4]","3_(4,6]","3_(6,10]","3_(10,20]","3_(20,323]"
"1","UP000000344","Vaccinia virus","94.64% (106/112)","5.36% (6/112)",NA,NA,NA,NA,NA,NA,"96.75% (149/154)","2.6% (4/154)","0.65% (1/154)",NA,NA,NA,NA,NA,"94.47% (239/253)","3.56% (9/253)","0.79% (2/253)","0.4% (1/253)","0.79% (2/253)",NA,NA,NA,"85.24% (1103/1294)","7.81% (101/1294)","2.4% (31/1294)","0.93% (12/1294)","1% (13/1294)","1.16% (15/1294)","0.7% (9/1294)","0.77% (10/1294)"
"2","UP000000869","Molluscum contagiosum virus subtype 1","86.67% (39/45)","6.67% (3/45)","2.22% (1/45)",NA,NA,NA,"4.44% (2/45)",NA,"75% (48/64)","4.69% (3/64)",NA,"3.12% (2/64)","1.56% (1/64)","3.12% (2/64)","4.69% (3/64)","7.81% (5/64)","66.3% (179/270)","11.11% (30/270)","5.56% (15/270)","2.22% (6/270)","2.59% (7/270)","4.81% (13/270)","2.96% (8/270)","4.44% (12/270)","74.24% (2015/2714)","10.24% (278/2714)","4.16% (113/2714)","2.1% (57/2714)","1.88% (51/2714)","1.66% (45/2714)","2.58% (70/2714)","3.13% (85/2714)"
"3","UP000000870","Orf virus","95.12% (39/41)",NA,NA,NA,"2.44% (1/41)","2.44% (1/41)",NA,NA,"62.07% (36/58)","5.17% (3/58)","3.45% (2/58)","1.72% (1/58)","5.17% (3/58)","18.97% (11/58)","3.45% (2/58)",NA,"65.31% (128/196)","13.78% (27/196)","2.04% (4/196)","0.51% (1/196)","3.06% (6/196)","3.06% (6/196)","7.14% (14/196)","5.1% (10/196)","72.26% (1360/1882)","10.47% (197/1882)","4.89% (92/1882)","2.18% (41/1882)","2.98% (56/1882)","2.07% (39/1882)","2.07% (39/1882)","3.08% (58/1882)"
"4","UP000000938","Human cytomegalovirus (Merlin)","73.33% (11/15)",NA,NA,NA,NA,"20% (3/15)","6.67% (1/15)",NA,"40.96% (34/83)","9.64% (8/83)","7.23% (6/83)","6.02% (5/83)","4.82% (4/83)","13.25% (11/83)","10.84% (9/83)","7.23% (6/83)","51.57% (213/413)","9.93% (41/413)","5.33% (22/413)","3.39% (14/413)","4.6% (19/413)","2.66% (11/413)","5.81% (24/413)","16.71% (69/413)","65.62% (2132/3249)","11.45% (372/3249)","4.71% (153/3249)","2.74% (89/3249)","3.14% (102/3249)","2.92% (95/3249)","3.26% (106/3249)","6.16% (200/3249)"
"5","UP000000942","Human herpesvirus 8 type P","75% (12/16)","25% (4/16)",NA,NA,NA,NA,NA,NA,"52.38% (33/63)","14.29% (9/63)","7.94% (5/63)","4.76% (3/63)","12.7% (8/63)","3.17% (2/63)","3.17% (2/63)","1.59% (1/63)","62.67% (141/225)","7.56% (17/225)","6.67% (15/225)","4.89% (11/225)","5.78% (13/225)","2.22% (5/225)","2.22% (5/225)","8% (18/225)","69.68% (1156/1659)","11.39% (189/1659)","5.67% (94/1659)","1.75% (29/1659)","1.57% (26/1659)","2.95% (49/1659)","3.32% (55/1659)","3.68% (61/1659)"
"6","UP000002060","Variola virus","100% (104/104)",NA,NA,NA,NA,NA,NA,NA,"99.3% (141/142)",NA,"0.7% (1/142)",NA,NA,NA,NA,NA,"95.73% (202/211)","1.9% (4/211)","0.47% (1/211)","0.95% (2/211)","0.47% (1/211)","0.47% (1/211)",NA,NA,"85.52% (986/1153)","7.03% (81/1153)","2.34% (27/1153)","1.04% (12/1153)","1.3% (15/1153)","1.39% (16/1153)","0.95% (11/1153)","0.43% (5/1153)"
"7","UP000006930","Human herpesvirus 6B (strain Z29)","40% (2/5)",NA,"20% (1/5)",NA,"40% (2/5)",NA,NA,NA,"91.82% (101/110)","1.82% (2/110)",NA,"0.91% (1/110)","0.91% (1/110)",NA,NA,"4.55% (5/110)","66.18% (135/204)","18.63% (38/204)","0.49% (1/204)","0.98% (2/204)","2.45% (5/204)","2.94% (6/204)","2.45% (5/204)","5.88% (12/204)","68.58% (766/1117)","8.59% (96/1117)","6.27% (70/1117)","1.61% (18/1117)","9.85% (110/1117)","1.16% (13/1117)","1.07% (12/1117)","2.86% (32/1117)"
"8","UP000008167","Human adenovirus C serotype 2","77.78% (7/9)","11.11% (1/9)",NA,NA,"11.11% (1/9)",NA,NA,NA,"36.67% (11/30)","23.33% (7/30)","3.33% (1/30)","6.67% (2/30)","6.67% (2/30)","10% (3/30)","3.33% (1/30)","10% (3/30)","48.7% (56/115)","10.43% (12/115)","3.48% (4/115)","5.22% (6/115)","7.83% (9/115)","6.96% (8/115)","9.57% (11/115)","7.83% (9/115)","60.73% (484/797)","12.55% (100/797)","5.52% (44/797)","2.38% (19/797)","3.39% (27/797)","3.51% (28/797)","5.14% (41/797)","6.78% (54/797)"
"9","UP000008596","Yaba monkey tumor virus","100% (48/48)",NA,NA,NA,NA,NA,NA,NA,"100% (61/61)",NA,NA,NA,NA,NA,NA,NA,"86.82% (112/129)","6.2% (8/129)","0.78% (1/129)","2.33% (3/129)","1.55% (2/129)","2.33% (3/129)",NA,NA,"82.47% (602/730)","8.63% (63/730)","3.29% (24/730)","1.1% (8/730)","1.92% (14/730)","2.33% (17/730)","0.27% (2/730)",NA
"10","UP000009294","Human herpesvirus 1 (strain 17)","4.76% (3/63)","95.24% (60/63)",NA,NA,NA,NA,NA,NA,"19.32% (17/88)","1.14% (1/88)","4.55% (4/88)","34.09% (30/88)","34.09% (30/88)","3.41% (3/88)",NA,"3.41% (3/88)","49.29% (139/282)","9.22% (26/282)","4.26% (12/282)","1.42% (4/282)","3.19% (9/282)","3.19% (9/282)","25.53% (72/282)","3.9% (11/282)","67.62% (1758/2600)","13.19% (343/2600)","4.69% (122/2600)","2.77% (72/2600)","2.46% (64/2600)","2.38% (62/2600)","1.81% (47/2600)","5.08% (132/2600)"
