"","chromosome_name","mismatches","count","pathogen"
"1","Auto","2",1,"AAClass_Scramble_Adenoassociated_virus_UP000180764-1_12mer_3mis_hits.tsv"
"2","Auto","3",42,"AAClass_Scramble_Adenoassociated_virus_UP000180764-1_12mer_3mis_hits.tsv"
"3","X","2",1,"AAClass_Scramble_Adenoassociated_virus_UP000180764-1_12mer_3mis_hits.tsv"
"4","X","3",5,"AAClass_Scramble_Adenoassociated_virus_UP000180764-1_12mer_3mis_hits.tsv"
"5","Auto","3",44,"AAClass_Scramble_Adenoassociated_virus_UP000180764-10_12mer_3mis_hits.tsv"
"6","X","3",1,"AAClass_Scramble_Adenoassociated_virus_UP000180764-10_12mer_3mis_hits.tsv"
"7","Auto","3",57,"AAClass_Scramble_Adenoassociated_virus_UP000180764-11_12mer_3mis_hits.tsv"
"8","X","3",3,"AAClass_Scramble_Adenoassociated_virus_UP000180764-11_12mer_3mis_hits.tsv"
"9","Auto","2",1,"AAClass_Scramble_Adenoassociated_virus_UP000180764-12_12mer_3mis_hits.tsv"
"10","Auto","3",44,"AAClass_Scramble_Adenoassociated_virus_UP000180764-12_12mer_3mis_hits.tsv"
"11","X","3",5,"AAClass_Scramble_Adenoassociated_virus_UP000180764-12_12mer_3mis_hits.tsv"
"12","Auto","3",36,"AAClass_Scramble_Adenoassociated_virus_UP000180764-13_12mer_3mis_hits.tsv"
"13","Auto","2",2,"AAClass_Scramble_Adenoassociated_virus_UP000180764-14_12mer_3mis_hits.tsv"
"14","Auto","3",37,"AAClass_Scramble_Adenoassociated_virus_UP000180764-14_12mer_3mis_hits.tsv"
"15","X","3",1,"AAClass_Scramble_Adenoassociated_virus_UP000180764-14_12mer_3mis_hits.tsv"
"16","Auto","2",1,"AAClass_Scramble_Adenoassociated_virus_UP000180764-15_12mer_3mis_hits.tsv"
"17","Auto","3",35,"AAClass_Scramble_Adenoassociated_virus_UP000180764-15_12mer_3mis_hits.tsv"
"18","X","3",3,"AAClass_Scramble_Adenoassociated_virus_UP000180764-15_12mer_3mis_hits.tsv"
"19","Auto","2",1,"AAClass_Scramble_Adenoassociated_virus_UP000180764-16_12mer_3mis_hits.tsv"
"20","Auto","3",39,"AAClass_Scramble_Adenoassociated_virus_UP000180764-16_12mer_3mis_hits.tsv"
"21","X","3",3,"AAClass_Scramble_Adenoassociated_virus_UP000180764-16_12mer_3mis_hits.tsv"
"22","Auto","3",62,"AAClass_Scramble_Adenoassociated_virus_UP000180764-17_12mer_3mis_hits.tsv"
"23","X","3",5,"AAClass_Scramble_Adenoassociated_virus_UP000180764-17_12mer_3mis_hits.tsv"
"24","Auto","3",57,"AAClass_Scramble_Adenoassociated_virus_UP000180764-18_12mer_3mis_hits.tsv"
"25","X","3",2,"AAClass_Scramble_Adenoassociated_virus_UP000180764-18_12mer_3mis_hits.tsv"
"26","Auto","2",1,"AAClass_Scramble_Adenoassociated_virus_UP000180764-19_12mer_3mis_hits.tsv"
"27","Auto","3",53,"AAClass_Scramble_Adenoassociated_virus_UP000180764-19_12mer_3mis_hits.tsv"
"28","X","3",4,"AAClass_Scramble_Adenoassociated_virus_UP000180764-19_12mer_3mis_hits.tsv"
"29","Auto","3",46,"AAClass_Scramble_Adenoassociated_virus_UP000180764-2_12mer_3mis_hits.tsv"
"30","X","3",3,"AAClass_Scramble_Adenoassociated_virus_UP000180764-2_12mer_3mis_hits.tsv"
"31","Auto","2",1,"AAClass_Scramble_Adenoassociated_virus_UP000180764-20_12mer_3mis_hits.tsv"
"32","Auto","3",36,"AAClass_Scramble_Adenoassociated_virus_UP000180764-20_12mer_3mis_hits.tsv"
"33","Auto","3",40,"AAClass_Scramble_Adenoassociated_virus_UP000180764-21_12mer_3mis_hits.tsv"
"34","Auto","3",57,"AAClass_Scramble_Adenoassociated_virus_UP000180764-22_12mer_3mis_hits.tsv"
"35","X","3",1,"AAClass_Scramble_Adenoassociated_virus_UP000180764-22_12mer_3mis_hits.tsv"
"36","Auto","2",1,"AAClass_Scramble_Adenoassociated_virus_UP000180764-23_12mer_3mis_hits.tsv"
"37","Auto","3",54,"AAClass_Scramble_Adenoassociated_virus_UP000180764-23_12mer_3mis_hits.tsv"
"38","X","3",2,"AAClass_Scramble_Adenoassociated_virus_UP000180764-23_12mer_3mis_hits.tsv"
"39","Auto","2",2,"AAClass_Scramble_Adenoassociated_virus_UP000180764-24_12mer_3mis_hits.tsv"
"40","Auto","3",40,"AAClass_Scramble_Adenoassociated_virus_UP000180764-24_12mer_3mis_hits.tsv"
"41","Auto","2",1,"AAClass_Scramble_Adenoassociated_virus_UP000180764-25_12mer_3mis_hits.tsv"
"42","Auto","3",42,"AAClass_Scramble_Adenoassociated_virus_UP000180764-25_12mer_3mis_hits.tsv"
"43","X","3",2,"AAClass_Scramble_Adenoassociated_virus_UP000180764-25_12mer_3mis_hits.tsv"
"44","Auto","2",1,"AAClass_Scramble_Adenoassociated_virus_UP000180764-26_12mer_3mis_hits.tsv"
"45","Auto","3",52,"AAClass_Scramble_Adenoassociated_virus_UP000180764-26_12mer_3mis_hits.tsv"
"46","Auto","3",46,"AAClass_Scramble_Adenoassociated_virus_UP000180764-27_12mer_3mis_hits.tsv"
"47","X","3",5,"AAClass_Scramble_Adenoassociated_virus_UP000180764-27_12mer_3mis_hits.tsv"
"48","Auto","3",30,"AAClass_Scramble_Adenoassociated_virus_UP000180764-28_12mer_3mis_hits.tsv"
"49","X","3",2,"AAClass_Scramble_Adenoassociated_virus_UP000180764-28_12mer_3mis_hits.tsv"
"50","Auto","3",38,"AAClass_Scramble_Adenoassociated_virus_UP000180764-29_12mer_3mis_hits.tsv"
"51","Auto","3",46,"AAClass_Scramble_Adenoassociated_virus_UP000180764-3_12mer_3mis_hits.tsv"
"52","X","3",1,"AAClass_Scramble_Adenoassociated_virus_UP000180764-3_12mer_3mis_hits.tsv"
"53","Auto","3",42,"AAClass_Scramble_Adenoassociated_virus_UP000180764-30_12mer_3mis_hits.tsv"
"54","X","3",1,"AAClass_Scramble_Adenoassociated_virus_UP000180764-30_12mer_3mis_hits.tsv"
