"","viral_uniprot","query_seqname","protein_length","feature","3","2","1","0","NA"
"1","A0A1P7U110","tr|A0A1P7U110|A0A1P7U110_EBVB9 Tripartite terminase subunit 2 OS=Epstein-Barr virus (strain B95-8) OX=10377 GN=BFRF1A PE=3 SV=1",135,"Lytic",4.03225806451613,0,0,0,NA
"2","A0A1P7U1U3","tr|A0A1P7U1U3|A0A1P7U1U3_EBVB9 A73 protein OS=Epstein-Barr virus (strain B95-8) OX=10377 GN=A73 PE=4 SV=1",126,"Lytic",0.869565217391304,0,0,0,NA
"3","P03177","sp|P03177|KITH_EBVB9 Thymidine kinase OS=Epstein-Barr virus (strain B95-8) OX=10377 GN=TK PE=3 SV=2",607,"Lytic",2.68456375838926,0.167785234899329,0,0,NA
"4","P03179","sp|P03179|MTP_EBVB9 Major tegument protein OS=Epstein-Barr virus (strain B95-8) OX=10377 GN=BNRF1 PE=1 SV=1",1318,"Lytic",5.66182096403979,0.994644223412395,0.382555470543229,0,NA
"5","P03180","sp|P03180|IL10H_EBVB9 Viral interleukin-10 homolog OS=Epstein-Barr virus (strain B95-8) OX=10377 GN=BCRF1 PE=1 SV=1",170,"Lytic",83.0188679245283,71.6981132075472,64.7798742138365,50.314465408805,NA
"6","P03181","sp|P03181|BHLF1_EBVB9 Uncharacterized protein BHLF1 OS=Epstein-Barr virus (strain B95-8) OX=10377 GN=BHLF1 PE=4 SV=1",660,"Lytic",24.191063174114,3.08166409861325,0,0,NA
"7","P03182","sp|P03182|EAR_EBVB9 Apoptosis regulator BHRF1 OS=Epstein-Barr virus (strain B95-8) OX=10377 GN=BHRF1 PE=1 SV=1",191,"Lytic",5.55555555555556,0,0,0,NA
"8","P03184","sp|P03184|UL32_EBVB9 Packaging protein UL32 homolog OS=Epstein-Barr virus (strain B95-8) OX=10377 GN=BFLF1 PE=1 SV=1",525,"Lytic",1.94552529182879,0,0,0,NA
"9","P03185","sp|P03185|NEC2_EBVB9 Nuclear egress protein 2 OS=Epstein-Barr virus (strain B95-8) OX=10377 GN=NEC2 PE=1 SV=1",336,"Lytic",2.76923076923077,0,0,0,NA
"10","P03186","sp|P03186|LTP_EBVB9 Large tegument protein deneddylase OS=Epstein-Barr virus (strain B95-8) OX=10377 GN=BPLF1 PE=1 SV=1",3149,"Lytic",11.0579987253027,0.892288081580625,0,0,NA
"11","P03187","sp|P03187|TRX1_EBVB9 Triplex capsid protein 1 OS=Epstein-Barr virus (strain B95-8) OX=10377 GN=TRX1 PE=1 SV=1",364,"Lytic",8.4985835694051,0.56657223796034,0,0,NA
"12","P03188","sp|P03188|GB_EBVB9 Envelope glycoprotein B OS=Epstein-Barr virus (strain B95-8) OX=10377 GN=gB PE=1 SV=1",857,"Lytic",5.08274231678487,0.354609929078014,0,0,NA
"13","P03189","sp|P03189|ITP_EBVB9 Inner tegument protein OS=Epstein-Barr virus (strain B95-8) OX=10377 GN=BOLF1 PE=3 SV=1",1239,"Lytic",9.03908794788274,0.0814332247557003,0,0,NA
"14","P03190","sp|P03190|RIR1_EBVB9 Ribonucleoside-diphosphate reductase large subunit OS=Epstein-Barr virus (strain B95-8) OX=10377 GN=RIR1 PE=3 SV=1",826,"Lytic",3.06748466257669,0.122699386503067,0,0,NA
"15","P03191","sp|P03191|EAD_EBVB9 DNA polymerase processivity factor BMRF1 OS=Epstein-Barr virus (strain B95-8) OX=10377 GN=BMRF1 PE=1 SV=1",404,"Lytic",4.83460559796438,1.27226463104326,0,0,NA
"16","P03192","sp|P03192|BMRF2_EBVB9 Protein BMRF2 OS=Epstein-Barr virus (strain B95-8) OX=10377 GN=BMRF2 PE=1 SV=1",357,"Lytic",2.3121387283237,0,0,0,NA
"17","P03193","sp|P03193|PRIM_EBVB9 DNA primase OS=Epstein-Barr virus (strain B95-8) OX=10377 GN=BSLF1 PE=3 SV=1",874,"Lytic",1.96987253765933,0,0,0,NA
"18","P03195","sp|P03195|DUT_EBVB9 Deoxyuridine 5'-triphosphate nucleotidohydrolase OS=Epstein-Barr virus (strain B95-8) OX=10377 GN=DUT PE=1 SV=1",278,"Lytic",1.49812734082397,0,0,0,NA
"19","P03196","sp|P03196|GN_EBVB9 Envelope glycoprotein N OS=Epstein-Barr virus (strain B95-8) OX=10377 GN=gN PE=1 SV=1",102,"Lytic",9.89010989010989,0,0,0,NA
"20","P03197","sp|P03197|BLRF2_EBVB9 Tegument protein BLRF2 OS=Epstein-Barr virus (strain B95-8) OX=10377 GN=BLRF2 PE=3 SV=1",162,"Lytic",9.27152317880795,0,0,0,NA
"21","P03198","sp|P03198|DPOL_EBVB9 DNA polymerase catalytic subunit OS=Epstein-Barr virus (strain B95-8) OX=10377 GN=BALF5 PE=1 SV=1",1015,"Lytic",4.8804780876494,0.896414342629482,0,0,NA
"22","P03199","sp|P03199|BLLF2_EBVB9 Uncharacterized protein BLLF2 OS=Epstein-Barr virus (strain B95-8) OX=10377 GN=BLLF2 PE=3 SV=1",148,"Lytic",2.91970802919708,0,0,0,NA
"23","P03200","sp|P03200|GP350_EBVB9 Envelope glycoprotein GP350 OS=Epstein-Barr virus (strain B95-8) OX=10377 GN=BLLF1 PE=1 SV=1",907,"Lytic",7.14285714285714,0.223214285714286,0,0,NA
"24","P03203","sp|P03203|EBNA4_EBVB9 Epstein-Barr nuclear antigen 4 OS=Epstein-Barr virus (strain B95-8) OX=10377 GN=EBNA4 PE=1 SV=3",938,"Latent",6.90399137001079,0,0,0,NA
"25","P03204","sp|P03204|EBNA6_EBVB9 Epstein-Barr nuclear antigen 6 OS=Epstein-Barr virus (strain B95-8) OX=10377 GN=EBNA6 PE=1 SV=1",992,"Latent",10.1936799184506,1.7329255861366,0,0,NA
"26","P03205","sp|P03205|GP42_EBVB9 Glycoprotein 42 OS=Epstein-Barr virus (strain B95-8) OX=10377 GN=BZLF2 PE=1 SV=1",223,"Lytic",3.77358490566038,0,0,0,NA
"27","P03206","sp|P03206|BZLF1_EBVB9 Trans-activator protein BZLF1 OS=Epstein-Barr virus (strain B95-8) OX=10377 GN=BZLF1 PE=1 SV=2",245,"Lytic",4.27350427350427,0,0,0,NA
