"","query_seqname","mismatches","count","Proteome ID","PLength"
"1","sp|D5SGZ8|AAP_AAV2S",0,2,"UP000180764",204
"2","sp|D5SGZ8|AAP_AAV2S",1,48,"UP000180764",204
"3","sp|D5SGZ8|AAP_AAV2S",2,194,"UP000180764",204
"4","sp|D5SGZ8|AAP_AAV2S",3,197,"UP000180764",204
"5","sp|P03132|REP68_AAV2S",0,1,"UP000180764",536
"6","sp|P03132|REP68_AAV2S",1,79,"UP000180764",536
"7","sp|P03132|REP68_AAV2S",2,513,"UP000180764",536
"8","sp|P03132|REP68_AAV2S",3,529,"UP000180764",536
"9","sp|P03135|CAPSD_AAV2S",1,131,"UP000180764",735
"10","sp|P03135|CAPSD_AAV2S",2,709,"UP000180764",735
"11","sp|P03135|CAPSD_AAV2S",3,728,"UP000180764",735
"12","sp|Q89268|REP78_AAV2S",0,1,"UP000180764",621
"13","sp|Q89268|REP78_AAV2S",1,89,"UP000180764",621
"14","sp|Q89268|REP78_AAV2S",2,590,"UP000180764",621
"15","sp|Q89268|REP78_AAV2S",3,614,"UP000180764",621
"16","sp|Q89269|REP40_AAV2S",0,1,"UP000180764",312
"17","sp|Q89269|REP40_AAV2S",1,36,"UP000180764",312
"18","sp|Q89269|REP40_AAV2S",2,291,"UP000180764",312
"19","sp|Q89269|REP40_AAV2S",3,305,"UP000180764",312
"20","sp|Q89270|REP52_AAV2S",0,1,"UP000180764",397
"21","sp|Q89270|REP52_AAV2S",1,45,"UP000180764",397
"22","sp|Q89270|REP52_AAV2S",2,368,"UP000180764",397
"23","sp|Q89270|REP52_AAV2S",3,390,"UP000180764",397
"24","sp|O91464|POLG_AIVA8",0,9,"UP000119554",2432
"25","sp|O91464|POLG_AIVA8",1,510,"UP000119554",2432
"26","sp|O91464|POLG_AIVA8",2,2363,"UP000119554",2432
"27","sp|O91464|POLG_AIVA8",3,2425,"UP000119554",2432
"28","sp|Q9QSP0|L_ABLVB",0,4,"UP000006934",2128
"29","sp|Q9QSP0|L_ABLVB",1,404,"UP000006934",2128
"30","sp|Q9QSP0|L_ABLVB",2,2074,"UP000006934",2128
"31","sp|Q9QSP0|L_ABLVB",3,2121,"UP000006934",2128
"32","sp|Q9QSP1|GLYCO_ABLVB",0,1,"UP000006934",525
"33","sp|Q9QSP1|GLYCO_ABLVB",1,94,"UP000006934",525
"34","sp|Q9QSP1|GLYCO_ABLVB",2,494,"UP000006934",525
"35","sp|Q9QSP1|GLYCO_ABLVB",3,518,"UP000006934",525
"36","sp|Q9QSP2|MATRX_ABLVB",1,34,"UP000006934",212
"37","sp|Q9QSP2|MATRX_ABLVB",2,194,"UP000006934",212
"38","sp|Q9QSP2|MATRX_ABLVB",3,205,"UP000006934",212
"39","sp|Q9QSP3|PHOSP_ABLVB",0,1,"UP000006934",297
"40","sp|Q9QSP3|PHOSP_ABLVB",1,67,"UP000006934",297
"41","sp|Q9QSP3|PHOSP_ABLVB",2,289,"UP000006934",297
"42","sp|Q9QSP3|PHOSP_ABLVB",3,290,"UP000006934",297
"43","sp|Q9QSP4|NCAP_ABLVB",1,82,"UP000006934",450
"44","sp|Q9QSP4|NCAP_ABLVB",2,434,"UP000006934",450
"45","sp|Q9QSP4|NCAP_ABLVB",3,443,"UP000006934",450
"46","sp|Q9INI1|NS2_BAVJK",0,2,"UP000000832",425
"47","sp|Q9INI1|NS2_BAVJK",1,63,"UP000000832",425
"48","sp|Q9INI1|NS2_BAVJK",2,404,"UP000000832",425
"49","sp|Q9INI1|NS2_BAVJK",3,418,"UP000000832",425
"50","sp|Q9INI2|NS1_BAVJK",0,2,"UP000000832",508
"51","sp|Q9INI2|NS1_BAVJK",1,90,"UP000000832",508
"52","sp|Q9INI2|NS1_BAVJK",2,494,"UP000000832",508
"53","sp|Q9INI2|NS1_BAVJK",3,501,"UP000000832",508
"54","sp|Q9INI3|VP4_BAVJK",1,106,"UP000000832",576
"55","sp|Q9INI3|VP4_BAVJK",2,546,"UP000000832",576
"56","sp|Q9INI3|VP4_BAVJK",3,569,"UP000000832",576
"57","sp|Q9INI4|VP3_BAVJK",0,2,"UP000000832",720
"58","sp|Q9INI4|VP3_BAVJK",1,124,"UP000000832",720
"59","sp|Q9INI4|VP3_BAVJK",2,683,"UP000000832",720
"60","sp|Q9INI4|VP3_BAVJK",3,713,"UP000000832",720
"61","sp|Q9INI5|VP2_BAVJK",0,2,"UP000000832",954
"62","sp|Q9INI5|VP2_BAVJK",1,151,"UP000000832",954
"63","sp|Q9INI5|VP2_BAVJK",2,924,"UP000000832",954
"64","sp|Q9INI5|VP2_BAVJK",3,947,"UP000000832",954
"65","sp|Q9INJ1|RDRP_BAVJK",0,2,"UP000000832",1214
"66","sp|Q9INJ1|RDRP_BAVJK",1,192,"UP000000832",1214
"67","sp|Q9INJ1|RDRP_BAVJK",2,1177,"UP000000832",1214
"68","sp|Q9INJ1|RDRP_BAVJK",3,1207,"UP000000832",1214
"69","sp|Q9YIT9|NS5_BAVJK",1,24,"UP000000832",207
"70","sp|Q9YIT9|NS5_BAVJK",2,193,"UP000000832",207
"71","sp|Q9YIT9|NS5_BAVJK",3,200,"UP000000832",207
"72","sp|Q9YJJ8|VP8_BAVJK",1,61,"UP000000832",302
"73","sp|Q9YJJ8|VP8_BAVJK",2,290,"UP000000832",302
"74","sp|Q9YJJ8|VP8_BAVJK",3,295,"UP000000832",302
"75","sp|Q9YWQ0|NS3_BAVJK",0,2,"UP000000832",306
"76","sp|Q9YWQ0|NS3_BAVJK",1,49,"UP000000832",306
"77","sp|Q9YWQ0|NS3_BAVJK",2,293,"UP000000832",306
"78","sp|Q9YWQ0|NS3_BAVJK",3,299,"UP000000832",306
"79","sp|Q9YWQ1|SPIKE_BAVJK",0,2,"UP000000832",283
"80","sp|Q9YWQ1|SPIKE_BAVJK",1,55,"UP000000832",283
"81","sp|Q9YWQ1|SPIKE_BAVJK",2,272,"UP000000832",283
"82","sp|Q9YWQ1|SPIKE_BAVJK",3,276,"UP000000832",283
"83","sp|Q9YWQ2|VP10_BAVJK",1,32,"UP000000832",249
"84","sp|Q9YWQ2|VP10_BAVJK",2,235,"UP000000832",249
"85","sp|Q9YWQ2|VP10_BAVJK",3,242,"UP000000832",249
"86","sp|Q9YWQ3|NS4_BAVJK",1,23,"UP000000832",180
"87","sp|Q9YWQ3|NS4_BAVJK",2,168,"UP000000832",180
"88","sp|Q9YWQ3|NS4_BAVJK",3,173,"UP000000832",180
"89","sp|P87515|POLN_BFV",0,5,"UP000007609",2411
"90","sp|P87515|POLN_BFV",1,411,"UP000007609",2411
"91","sp|P87515|POLN_BFV",2,2315,"UP000007609",2411
"92","sp|P87515|POLN_BFV",3,2404,"UP000007609",2411
"93","sp|P89946|POLS_BFV",0,5,"UP000007609",1239
"94","sp|P89946|POLS_BFV",1,227,"UP000007609",1239
"95","sp|P89946|POLS_BFV",2,1176,"UP000007609",1239
"96","sp|P89946|POLS_BFV",3,1232,"UP000007609",1239
