"","query_seqname","mismatches","count","Proteome ID","PLength"
"1","sp|O91464|POLG_AIVA8",3,4,"UP000119554",2432
"2","sp|Q9QSP0|L_ABLVB",3,1,"UP000006934",2128
"3","sp|Q9QSP1|GLYCO_ABLVB",3,1,"UP000006934",525
"4","sp|Q9YWQ2|VP10_BAVJK",3,1,"UP000000832",249
"5","sp|P87515|POLN_BFV",3,1,"UP000007609",2411
"6","sp|P89946|POLS_BFV",3,2,"UP000007609",1239
"7","tr|Q0PCM7|Q0PCM7_POVBK",3,1,"UP000145981",351
"8","sp|P20470|L_BUNYW",3,2,"UP000002476",2238
"9","sp|Q8JPR0|NCAP_BUNL8",3,1,"UP000008768",235
"10","sp|Q8JPR2|L_BUNL8",3,5,"UP000008768",2263
"11","tr|A8WA74|A8WA74_BUNSH",3,6,"UP000150053",2263
"12","tr|Q5Y0M9|Q5Y0M9_9ALPH",2,1,"UP000137988",1167
"13","tr|Q5Y0M9|Q5Y0M9_9ALPH",3,51,"UP000137988",1167
"14","tr|Q5Y0N2|Q5Y0N2_9ALPH",3,1,"UP000137988",276
"15","tr|Q5Y0N5|Q5Y0N5_9ALPH",2,1,"UP000137988",540
"16","tr|Q5Y0N5|Q5Y0N5_9ALPH",3,23,"UP000137988",540
"17","tr|Q5Y0N7|Q5Y0N7_9ALPH",3,29,"UP000137988",395
"18","tr|Q5Y0N9|Q5Y0N9_9ALPH",1,3,"UP000137988",604
"19","tr|Q5Y0N9|Q5Y0N9_9ALPH",2,92,"UP000137988",604
"20","tr|Q5Y0N9|Q5Y0N9_9ALPH",3,683,"UP000137988",604
"21","tr|Q5Y0P1|Q5Y0P1_9ALPH",3,8,"UP000137988",300
"22","tr|Q5Y0P2|Q5Y0P2_9ALPH",3,12,"UP000137988",431
"23","tr|Q5Y0P4|Q5Y0P4_9ALPH",3,16,"UP000137988",630
"24","tr|Q5Y0P6|Q5Y0P6_9ALPH",3,1,"UP000137988",190
"25","tr|Q5Y0P7|Q5Y0P7_9ALPH",2,1,"UP000137988",510
"26","tr|Q5Y0P7|Q5Y0P7_9ALPH",3,19,"UP000137988",510
