"","Proteome.ID","(11,12]","(12,13]","(13,14]","(14,15]","(15,16]","(16,20]","(20,30]","(30,90]","Pathogen"
"1","UP000000278","68.4% (210/307)","23.45% (72/307)","8.14% (25/307)",NA,NA,NA,NA,NA,"Dugbe virus"
"2","UP000000344","52.5% (1672/3185)","33.31% (1061/3185)","10.11% (322/3185)","2.98% (95/3185)","0.94% (30/3185)","0.16% (5/3185)",NA,NA,"Vaccinia virus"
"3","UP000000354","53.62% (637/1188)","34.01% (404/1188)","9.93% (118/1188)","0.76% (9/1188)","0.67% (8/1188)","1.01% (12/1188)",NA,NA,"Severe acute respiratory syndrome coronavirus (SARS-CoV)"
"4","UP000000356","54.55% (48/88)","34.09% (30/88)","6.82% (6/88)","4.55% (4/88)",NA,NA,NA,NA,"Poliovirus type 1"
"5","UP000000360","75.3% (125/166)","17.47% (29/166)","6.63% (11/166)","0.6% (1/166)",NA,NA,NA,NA,"Yellow fever virus"
"6","UP000000518","51.43% (162/315)","33.97% (107/315)","12.7% (40/315)","1.9% (6/315)",NA,NA,NA,NA,"Hepatitis C virus genotype 1a"
"7","UP000000569","66.5% (133/200)","28% (56/200)","5.5% (11/200)",NA,NA,NA,NA,NA,"Chikungunya virus"
"8","UP000000570","68.97% (140/203)","29.56% (60/203)","1.48% (3/203)",NA,NA,NA,NA,NA,"Semliki forest virus"
"9","UP000000571","61.31% (385/628)","29.78% (187/628)","5.89% (37/628)","2.39% (15/628)","0.48% (3/628)","0.16% (1/628)",NA,NA,"Rubella virus"
"10","UP000000667","53.89% (104/193)","11.92% (23/193)","30.57% (59/193)","0.52% (1/193)","3.11% (6/193)",NA,NA,NA,"Sapovirus aka Sapporo virus"
"11","UP000000670","68.75% (33/48)","18.75% (9/48)","12.5% (6/48)",NA,NA,NA,NA,NA,"Echovirus 23"
"12","UP000000826","63.28% (81/128)","31.25% (40/128)","0.78% (1/128)","4.69% (6/128)",NA,NA,NA,NA,"Norwalk virus"
"13","UP000000832","70.04% (159/227)","22.47% (51/227)","7.05% (16/227)","0.44% (1/227)",NA,NA,NA,NA,"Banna virus"
"14","UP000000869","53.27% (6918/12986)","26.61% (3456/12986)","11.17% (1450/12986)","4.54% (590/12986)","1.76% (229/12986)","2.42% (314/12986)","0.22% (29/12986)",NA,"Molluscum contagiosum virus subtype 1"
"15","UP000000870","51.05% (4323/8468)","27.96% (2368/8468)","10.97% (929/8468)","5.18% (439/8468)","2.42% (205/8468)","2.31% (196/8468)","0.09% (8/8468)",NA,"Orf virus"
"16","UP000000938","39.03% (11333/29040)","30.93% (8983/29040)","16.57% (4813/29040)","7.08% (2057/29040)","2.91% (845/29040)","3.15% (914/29040)","0.33% (95/29040)",NA,"Human cytomegalovirus (Merlin)"
"17","UP000000942","63.5% (8241/12977)","22.72% (2949/12977)","6.28% (815/12977)","3.55% (461/12977)","1.49% (194/12977)","2.41% (313/12977)","0.03% (4/12977)",NA,"Human herpesvirus 8 type P"
