"","Proteome.ID","(0,1]","(1,2]","(2,3]","(6,10]","(3,4]","(4,6]","(10,20]","(20,323]","Pathogen"
"1","UP000000278","87.01% (134/154)","9.09% (14/154)","2.6% (4/154)","1.3% (2/154)",NA,NA,NA,NA,"Dugbe virus"
"2","UP000000344","88.09% (1597/1813)","6.62% (120/1813)","1.88% (34/1813)","0.83% (15/1813)","0.72% (13/1813)","0.83% (15/1813)","0.5% (9/1813)","0.55% (10/1813)","Vaccinia virus"
"3","UP000000354","77.81% (284/365)","9.04% (33/365)","3.56% (13/365)","1.1% (4/365)","1.92% (7/365)","2.19% (8/365)","3.01% (11/365)","1.37% (5/365)","Severe acute respiratory syndrome coronavirus (SARS-CoV)"
"4","UP000000356","93.33% (42/45)","4.44% (2/45)",NA,NA,NA,"2.22% (1/45)",NA,NA,"Poliovirus type 1"
"5","UP000000360","86.6% (84/97)","8.25% (8/97)","2.06% (2/97)",NA,"2.06% (2/97)","1.03% (1/97)",NA,NA,"Yellow fever virus"
"6","UP000000518","84.03% (121/144)","4.86% (7/144)","3.47% (5/144)","1.39% (2/144)","2.08% (3/144)",NA,"3.47% (5/144)","0.69% (1/144)","Hepatitis C virus genotype 1a"
"7","UP000000569","95.41% (104/109)","2.75% (3/109)","1.83% (2/109)",NA,NA,NA,NA,NA,"Chikungunya virus"
"8","UP000000570","84.27% (75/89)","10.11% (9/89)","2.25% (2/89)",NA,"1.12% (1/89)","2.25% (2/89)",NA,NA,"Semliki forest virus"
"9","UP000000571","71.67% (129/180)","10% (18/180)","3.89% (7/180)","3.33% (6/180)","3.33% (6/180)","2.78% (5/180)","2.78% (5/180)","2.22% (4/180)","Rubella virus"
"10","UP000000667","80% (40/50)","6% (3/50)","2% (1/50)",NA,"2% (1/50)","2% (1/50)","4% (2/50)","4% (2/50)","Sapovirus aka Sapporo virus"
"11","UP000000670","82.76% (24/29)","17.24% (5/29)",NA,NA,NA,NA,NA,NA,"Echovirus 23"
"12","UP000000826","83.56% (61/73)","16.44% (12/73)",NA,NA,NA,NA,NA,NA,"Norwalk virus"
"13","UP000000832","92.25% (119/129)","4.65% (6/129)","3.1% (4/129)",NA,NA,NA,NA,NA,"Banna virus"
"14","UP000000869","73.75% (2281/3093)","10.15% (314/3093)","4.17% (129/3093)","1.94% (60/3093)","2.1% (65/3093)","1.91% (59/3093)","2.68% (83/3093)","3.3% (102/3093)","Molluscum contagiosum virus subtype 1"
"15","UP000000870","71.8% (1563/2177)","10.43% (227/2177)","4.5% (98/2177)","2.62% (57/2177)","1.98% (43/2177)","3.03% (66/2177)","2.53% (55/2177)","3.12% (68/2177)","Orf virus"
"16","UP000000938","63.56% (2390/3760)","11.2% (421/3760)","4.81% (181/3760)","3.19% (120/3760)","2.87% (108/3760)","3.32% (125/3760)","3.72% (140/3760)","7.31% (275/3760)","Human cytomegalovirus (Merlin)"
"17","UP000000942","68.36% (1342/1963)","11.16% (219/1963)","5.81% (114/1963)","2.85% (56/1963)","2.19% (43/1963)","2.39% (47/1963)","3.16% (62/1963)","4.08% (80/1963)","Human herpesvirus 8 type P"
"18","UP000001061","67.96% (193/284)","14.79% (42/284)","7.39% (21/284)","2.46% (7/284)","5.63% (16/284)","1.76% (5/284)",NA,NA,"Human T-cell leukemia virus 1"
"19","UP000001063","78.89% (71/90)","17.78% (16/90)",NA,"1.11% (1/90)",NA,"2.22% (2/90)",NA,NA,"Simian foamy virus"
"20","UP000001119","83.12% (64/77)","10.39% (8/77)","1.3% (1/77)","3.9% (3/77)",NA,"1.3% (1/77)",NA,NA,"Rotavirus A"
"21","UP000001448","62% (93/150)","18% (27/150)","5.33% (8/150)","3.33% (5/150)","1.33% (2/150)","4.67% (7/150)",NA,"5.33% (8/150)","Torque teno virus"
"22","UP000001650","70.83% (68/96)","7.29% (7/96)","8.33% (8/96)","2.08% (2/96)","5.21% (5/96)","3.12% (3/96)","1.04% (1/96)","2.08% (2/96)","Human astrovirus-1"
"23","UP000001874","64.28% (2228/3466)","13.44% (466/3466)","5.31% (184/3466)","3.52% (122/3466)","2.37% (82/3466)","2.94% (102/3466)","2.74% (95/3466)","5.4% (187/3466)","Human herpesvirus 2 (strain HG52)"
"24","UP000002060","89.01% (1433/1610)","5.28% (85/1610)","1.8% (29/1610)","1.06% (17/1610)","0.87% (14/1610)","0.99% (16/1610)","0.68% (11/1610)","0.31% (5/1610)","Variola virus"
