"","query_seqname","mismatches","count","Proteome ID","PLength"
"1","sp|D5SGZ8|AAP_AAV2S",2,5,"UP000180764",204
"2","sp|D5SGZ8|AAP_AAV2S",3,5,"UP000180764",204
"3","sp|P03132|REP68_AAV2S",1,3,"UP000180764",536
"4","sp|P03132|REP68_AAV2S",2,14,"UP000180764",536
"5","sp|P03132|REP68_AAV2S",3,14,"UP000180764",536
"6","sp|P03135|CAPSD_AAV2S",2,16,"UP000180764",735
"7","sp|P03135|CAPSD_AAV2S",3,18,"UP000180764",735
"8","sp|Q89268|REP78_AAV2S",1,6,"UP000180764",621
"9","sp|Q89268|REP78_AAV2S",2,25,"UP000180764",621
"10","sp|Q89268|REP78_AAV2S",3,26,"UP000180764",621
"11","sp|Q89270|REP52_AAV2S",1,3,"UP000180764",397
"12","sp|Q89270|REP52_AAV2S",2,11,"UP000180764",397
"13","sp|Q89270|REP52_AAV2S",3,12,"UP000180764",397
"14","sp|O91464|POLG_AIVA8",1,5,"UP000119554",2432
"15","sp|O91464|POLG_AIVA8",2,44,"UP000119554",2432
"16","sp|O91464|POLG_AIVA8",3,48,"UP000119554",2432
"17","sp|Q9QSP0|L_ABLVB",1,2,"UP000006934",2128
"18","sp|Q9QSP0|L_ABLVB",2,22,"UP000006934",2128
"19","sp|Q9QSP0|L_ABLVB",3,23,"UP000006934",2128
"20","sp|Q9QSP1|GLYCO_ABLVB",1,4,"UP000006934",525
"21","sp|Q9QSP1|GLYCO_ABLVB",2,20,"UP000006934",525
"22","sp|Q9QSP1|GLYCO_ABLVB",3,21,"UP000006934",525
"23","sp|Q9QSP2|MATRX_ABLVB",1,2,"UP000006934",212
"24","sp|Q9QSP2|MATRX_ABLVB",2,11,"UP000006934",212
"25","sp|Q9QSP2|MATRX_ABLVB",3,15,"UP000006934",212
"26","sp|Q9QSP3|PHOSP_ABLVB",1,3,"UP000006934",297
"27","sp|Q9QSP3|PHOSP_ABLVB",2,13,"UP000006934",297
"28","sp|Q9QSP3|PHOSP_ABLVB",3,13,"UP000006934",297
"29","sp|Q9QSP4|NCAP_ABLVB",1,1,"UP000006934",450
"30","sp|Q9QSP4|NCAP_ABLVB",2,11,"UP000006934",450
"31","sp|Q9QSP4|NCAP_ABLVB",3,12,"UP000006934",450
"32","sp|Q9INI1|NS2_BAVJK",1,3,"UP000000832",425
"33","sp|Q9INI1|NS2_BAVJK",2,28,"UP000000832",425
"34","sp|Q9INI1|NS2_BAVJK",3,31,"UP000000832",425
"35","sp|Q9INI2|NS1_BAVJK",1,3,"UP000000832",508
"36","sp|Q9INI2|NS1_BAVJK",2,23,"UP000000832",508
"37","sp|Q9INI2|NS1_BAVJK",3,23,"UP000000832",508
"38","sp|Q9INI3|VP4_BAVJK",2,5,"UP000000832",576
"39","sp|Q9INI3|VP4_BAVJK",3,8,"UP000000832",576
"40","sp|Q9INI4|VP3_BAVJK",1,2,"UP000000832",720
"41","sp|Q9INI4|VP3_BAVJK",2,12,"UP000000832",720
"42","sp|Q9INI4|VP3_BAVJK",3,13,"UP000000832",720
"43","sp|Q9INI5|VP2_BAVJK",0,1,"UP000000832",954
"44","sp|Q9INI5|VP2_BAVJK",1,14,"UP000000832",954
"45","sp|Q9INI5|VP2_BAVJK",2,52,"UP000000832",954
"46","sp|Q9INI5|VP2_BAVJK",3,52,"UP000000832",954
"47","sp|Q9INJ1|RDRP_BAVJK",1,3,"UP000000832",1214
"48","sp|Q9INJ1|RDRP_BAVJK",2,25,"UP000000832",1214
"49","sp|Q9INJ1|RDRP_BAVJK",3,27,"UP000000832",1214
"50","sp|Q9YIT9|NS5_BAVJK",3,1,"UP000000832",207
"51","sp|Q9YJJ8|VP8_BAVJK",2,10,"UP000000832",302
"52","sp|Q9YJJ8|VP8_BAVJK",3,11,"UP000000832",302
"53","sp|Q9YWQ0|NS3_BAVJK",1,1,"UP000000832",306
"54","sp|Q9YWQ0|NS3_BAVJK",2,13,"UP000000832",306
"55","sp|Q9YWQ0|NS3_BAVJK",3,13,"UP000000832",306
"56","sp|Q9YWQ1|SPIKE_BAVJK",1,1,"UP000000832",283
"57","sp|Q9YWQ1|SPIKE_BAVJK",2,7,"UP000000832",283
"58","sp|Q9YWQ1|SPIKE_BAVJK",3,7,"UP000000832",283
"59","sp|Q9YWQ2|VP10_BAVJK",1,1,"UP000000832",249
"60","sp|Q9YWQ2|VP10_BAVJK",2,4,"UP000000832",249
"61","sp|Q9YWQ2|VP10_BAVJK",3,4,"UP000000832",249
"62","sp|Q9YWQ3|NS4_BAVJK",1,1,"UP000000832",180
"63","sp|Q9YWQ3|NS4_BAVJK",2,2,"UP000000832",180
"64","sp|Q9YWQ3|NS4_BAVJK",3,2,"UP000000832",180
"65","sp|P87515|POLN_BFV",0,1,"UP000007609",2411
"66","sp|P87515|POLN_BFV",1,14,"UP000007609",2411
"67","sp|P87515|POLN_BFV",2,83,"UP000007609",2411
"68","sp|P87515|POLN_BFV",3,88,"UP000007609",2411
"69","sp|P89946|POLS_BFV",1,10,"UP000007609",1239
"70","sp|P89946|POLS_BFV",2,50,"UP000007609",1239
"71","sp|P89946|POLS_BFV",3,57,"UP000007609",1239
"72","tr|Q0PCM5|Q0PCM5_POVBK",1,2,"UP000145981",362
"73","tr|Q0PCM5|Q0PCM5_POVBK",2,22,"UP000145981",362
"74","tr|Q0PCM5|Q0PCM5_POVBK",3,24,"UP000145981",362
"75","tr|Q0PCM6|Q0PCM6_POVBK",2,4,"UP000145981",232
"76","tr|Q0PCM6|Q0PCM6_POVBK",3,4,"UP000145981",232
"77","tr|Q0PCM7|Q0PCM7_POVBK",2,7,"UP000145981",351
"78","tr|Q0PCM7|Q0PCM7_POVBK",3,7,"UP000145981",351
"79","sp|P04505|GP_BUNYW",1,7,"UP000002476",1433
"80","sp|P04505|GP_BUNYW",2,26,"UP000002476",1433
"81","sp|P04505|GP_BUNYW",3,26,"UP000002476",1433
"82","sp|P16494|NSS_BUNYW",2,2,"UP000002476",101
"83","sp|P16494|NSS_BUNYW",3,2,"UP000002476",101
"84","sp|P20470|L_BUNYW",1,1,"UP000002476",2238
"85","sp|P20470|L_BUNYW",2,33,"UP000002476",2238
"86","sp|P20470|L_BUNYW",3,33,"UP000002476",2238
"87","sp|Q8JPQ9|NSS_BUNL8",3,2,"UP000008768",92
"88","sp|Q8JPR0|NCAP_BUNL8",2,5,"UP000008768",235
"89","sp|Q8JPR0|NCAP_BUNL8",3,5,"UP000008768",235
"90","sp|Q8JPR1|GP_BUNL8",1,2,"UP000008768",1441
"91","sp|Q8JPR1|GP_BUNL8",2,71,"UP000008768",1441
"92","sp|Q8JPR1|GP_BUNL8",3,77,"UP000008768",1441
"93","sp|Q8JPR2|L_BUNL8",1,4,"UP000008768",2263
"94","sp|Q8JPR2|L_BUNL8",2,39,"UP000008768",2263
"95","sp|Q8JPR2|L_BUNL8",3,42,"UP000008768",2263
"96","tr|A8WA74|A8WA74_BUNSH",1,3,"UP000150053",2263
"97","tr|A8WA74|A8WA74_BUNSH",2,50,"UP000150053",2263
"98","tr|A8WA74|A8WA74_BUNSH",3,52,"UP000150053",2263
"99","tr|A9LXW2|A9LXW2_BUNSH",1,3,"UP000150053",1441
"100","tr|A9LXW2|A9LXW2_BUNSH",2,58,"UP000150053",1441
"101","tr|A9LXW2|A9LXW2_BUNSH",3,66,"UP000150053",1441
"102","tr|A9YU76|A9YU76_BUNSH",3,2,"UP000150053",92
"103","tr|Q5Y0M9|Q5Y0M9_9ALPH",0,1,"UP000137988",1167
"104","tr|Q5Y0M9|Q5Y0M9_9ALPH",1,46,"UP000137988",1167
"105","tr|Q5Y0M9|Q5Y0M9_9ALPH",2,82,"UP000137988",1167
"106","tr|Q5Y0M9|Q5Y0M9_9ALPH",3,82,"UP000137988",1167
"107","tr|Q5Y0N1|Q5Y0N1_9ALPH",1,4,"UP000137988",115
"108","tr|Q5Y0N1|Q5Y0N1_9ALPH",2,8,"UP000137988",115
"109","tr|Q5Y0N1|Q5Y0N1_9ALPH",3,8,"UP000137988",115
"110","tr|Q5Y0N2|Q5Y0N2_9ALPH",2,17,"UP000137988",276
"111","tr|Q5Y0N2|Q5Y0N2_9ALPH",3,19,"UP000137988",276
"112","tr|Q5Y0N3|Q5Y0N3_9ALPH",2,7,"UP000137988",91
"113","tr|Q5Y0N3|Q5Y0N3_9ALPH",3,7,"UP000137988",91
"114","tr|Q5Y0N5|Q5Y0N5_9ALPH",1,21,"UP000137988",540
"115","tr|Q5Y0N5|Q5Y0N5_9ALPH",2,63,"UP000137988",540
"116","tr|Q5Y0N5|Q5Y0N5_9ALPH",3,64,"UP000137988",540
"117","tr|Q5Y0N6|Q5Y0N6_9ALPH",1,4,"UP000137988",399
"118","tr|Q5Y0N6|Q5Y0N6_9ALPH",2,10,"UP000137988",399
"119","tr|Q5Y0N6|Q5Y0N6_9ALPH",3,10,"UP000137988",399
"120","tr|Q5Y0N7|Q5Y0N7_9ALPH",1,26,"UP000137988",395
"121","tr|Q5Y0N7|Q5Y0N7_9ALPH",2,29,"UP000137988",395
"122","tr|Q5Y0N7|Q5Y0N7_9ALPH",3,29,"UP000137988",395
"123","tr|Q5Y0N9|Q5Y0N9_9ALPH",0,3,"UP000137988",604
"124","tr|Q5Y0N9|Q5Y0N9_9ALPH",1,24,"UP000137988",604
"125","tr|Q5Y0N9|Q5Y0N9_9ALPH",2,40,"UP000137988",604
"126","tr|Q5Y0N9|Q5Y0N9_9ALPH",3,40,"UP000137988",604
"127","tr|Q5Y0P0|Q5Y0P0_9ALPH",1,4,"UP000137988",454
"128","tr|Q5Y0P0|Q5Y0P0_9ALPH",2,11,"UP000137988",454
"129","tr|Q5Y0P0|Q5Y0P0_9ALPH",3,11,"UP000137988",454
"130","tr|Q5Y0P1|Q5Y0P1_9ALPH",0,1,"UP000137988",300
"131","tr|Q5Y0P1|Q5Y0P1_9ALPH",1,11,"UP000137988",300
"132","tr|Q5Y0P1|Q5Y0P1_9ALPH",2,25,"UP000137988",300
"133","tr|Q5Y0P1|Q5Y0P1_9ALPH",3,25,"UP000137988",300
"134","tr|Q5Y0P2|Q5Y0P2_9ALPH",1,2,"UP000137988",431
"135","tr|Q5Y0P2|Q5Y0P2_9ALPH",2,4,"UP000137988",431
"136","tr|Q5Y0P2|Q5Y0P2_9ALPH",3,4,"UP000137988",431
"137","tr|Q5Y0P4|Q5Y0P4_9ALPH",0,1,"UP000137988",630
"138","tr|Q5Y0P4|Q5Y0P4_9ALPH",1,13,"UP000137988",630
"139","tr|Q5Y0P4|Q5Y0P4_9ALPH",2,15,"UP000137988",630
"140","tr|Q5Y0P4|Q5Y0P4_9ALPH",3,15,"UP000137988",630
