"","query_seqname","mismatches","count","Proteome ID","PLength"
"1","sp|D5SGZ8|AAP_AAV2S",2,1,"UP000180764",204
"2","sp|D5SGZ8|AAP_AAV2S",3,11,"UP000180764",204
"3","sp|P03132|REP68_AAV2S",3,10,"UP000180764",536
"4","sp|P03135|CAPSD_AAV2S",2,1,"UP000180764",735
"5","sp|P03135|CAPSD_AAV2S",3,22,"UP000180764",735
"6","sp|Q89268|REP78_AAV2S",3,11,"UP000180764",621
"7","sp|Q89269|REP40_AAV2S",3,9,"UP000180764",312
"8","sp|Q89270|REP52_AAV2S",3,10,"UP000180764",397
"9","sp|O91464|POLG_AIVA8",1,2,"UP000119554",2432
"10","sp|O91464|POLG_AIVA8",2,10,"UP000119554",2432
"11","sp|O91464|POLG_AIVA8",3,93,"UP000119554",2432
"12","sp|Q9QSP0|L_ABLVB",3,24,"UP000006934",2128
"13","sp|Q9QSP1|GLYCO_ABLVB",3,14,"UP000006934",525
"14","sp|Q9QSP2|MATRX_ABLVB",3,3,"UP000006934",212
"15","sp|Q9QSP3|PHOSP_ABLVB",3,7,"UP000006934",297
"16","sp|Q9QSP4|NCAP_ABLVB",3,6,"UP000006934",450
"17","sp|Q9INI1|NS2_BAVJK",2,1,"UP000000832",425
"18","sp|Q9INI1|NS2_BAVJK",3,15,"UP000000832",425
"19","sp|Q9INI2|NS1_BAVJK",3,22,"UP000000832",508
"20","sp|Q9INI3|VP4_BAVJK",3,15,"UP000000832",576
"21","sp|Q9INI4|VP3_BAVJK",2,1,"UP000000832",720
"22","sp|Q9INI4|VP3_BAVJK",3,13,"UP000000832",720
"23","sp|Q9INI5|VP2_BAVJK",3,11,"UP000000832",954
"24","sp|Q9INJ1|RDRP_BAVJK",2,1,"UP000000832",1214
"25","sp|Q9INJ1|RDRP_BAVJK",3,23,"UP000000832",1214
"26","sp|Q9YIT9|NS5_BAVJK",3,2,"UP000000832",207
"27","sp|Q9YJJ8|VP8_BAVJK",3,4,"UP000000832",302
"28","sp|Q9YWQ0|NS3_BAVJK",3,10,"UP000000832",306
"29","sp|Q9YWQ1|SPIKE_BAVJK",3,5,"UP000000832",283
"30","sp|Q9YWQ2|VP10_BAVJK",2,1,"UP000000832",249
"31","sp|Q9YWQ2|VP10_BAVJK",3,6,"UP000000832",249
"32","sp|P87515|POLN_BFV",2,4,"UP000007609",2411
"33","sp|P87515|POLN_BFV",3,45,"UP000007609",2411
"34","sp|P89946|POLS_BFV",2,1,"UP000007609",1239
"35","sp|P89946|POLS_BFV",3,36,"UP000007609",1239
"36","tr|Q0PCM5|Q0PCM5_POVBK",3,3,"UP000145981",362
"37","tr|Q0PCM6|Q0PCM6_POVBK",2,2,"UP000145981",232
"38","tr|Q0PCM6|Q0PCM6_POVBK",3,6,"UP000145981",232
"39","tr|Q0PCM7|Q0PCM7_POVBK",2,2,"UP000145981",351
"40","tr|Q0PCM7|Q0PCM7_POVBK",3,14,"UP000145981",351
"41","sp|P04505|GP_BUNYW",3,16,"UP000002476",1433
"42","sp|P16494|NSS_BUNYW",3,1,"UP000002476",101
"43","sp|P16495|NCAP_BUNYW",3,8,"UP000002476",233
"44","sp|P20470|L_BUNYW",3,28,"UP000002476",2238
