"","query_seqname","mismatches","count","Proteome ID","PLength"
"1","tr|Q5Y0P4|Q5Y0P4_9ALPH",3,3,"UP000137988",630
"2","tr|Q8QMS8|Q8QMS8_CWPXB",1,4,"UP000152733",192
"3","tr|Q8QMS8|Q8QMS8_CWPXB",2,60,"UP000152733",192
"4","tr|Q8QMS8|Q8QMS8_CWPXB",3,81,"UP000152733",192
"5","tr|Q8QMY6|Q8QMY6_CWPXB",1,2,"UP000152733",771
"6","tr|Q8QMY6|Q8QMY6_CWPXB",2,5,"UP000152733",771
"7","tr|Q8QMY6|Q8QMY6_CWPXB",3,9,"UP000152733",771
"8","tr|Q8QN14|Q8QN14_CWPXB",2,1,"UP000152733",333
"9","tr|Q8QN14|Q8QN14_CWPXB",3,6,"UP000152733",333
"10","sp|P03211|EBNA1_EBVB9",3,74,"UP000153037",641
"11","sp|P12978|EBNA2_EBVB9",3,5,"UP000153037",487
"12","tr|Q0GP13|Q0GP13_HSPV",1,2,"UP000111173",440
"13","tr|Q0GP13|Q0GP13_HSPV",2,2,"UP000111173",440
"14","tr|Q0GP13|Q0GP13_HSPV",3,2,"UP000111173",440
"15","tr|Q0GP14|Q0GP14_HSPV",3,3,"UP000111173",80
"16","tr|Q0GP44|Q0GP44_HSPV",2,1,"UP000111173",319
"17","tr|Q0GP44|Q0GP44_HSPV",3,6,"UP000111173",319
"18","sp|P03277|CAPSH_ADE02",3,5,"UP000008167",968
"19","sp|Q6SW37|EP84_HCMVM",3,3,"UP000000938",684
"20","sp|Q6SW48|UL95_HCMVM",3,9,"UP000000938",533
"21","sp|P10220|LTP_HHV11",1,51,"UP000009294",3164
"22","sp|P10220|LTP_HHV11",2,104,"UP000009294",3164
"23","sp|P10220|LTP_HHV11",3,157,"UP000009294",3164
"24","sp|Q69566|U88_HHV6U",0,3,"UP000009295",413
"25","sp|Q69566|U88_HHV6U",1,14,"UP000009295",413
"26","sp|Q69566|U88_HHV6U",2,71,"UP000009295",413
"27","sp|Q69566|U88_HHV6U",3,43,"UP000009295",413
"28","sp|Q9QR71|LANA1_HHV8P",3,102,"UP000000942",1129
"29","tr|Q98318|Q98318_MCV1",3,2,"UP000000869",354
"30","tr|Q8V4V0|Q8V4V0_MONPZ",2,3,"UP000101269",520
"31","tr|Q8V4V0|Q8V4V0_MONPZ",3,17,"UP000101269",520
"32","tr|Q8V515|Q8V515_MONPZ",1,1,"UP000101269",771
"33","tr|Q8V515|Q8V515_MONPZ",2,3,"UP000101269",771
"34","tr|Q8V515|Q8V515_MONPZ",3,9,"UP000101269",771
"35","tr|Q8V544|Q8V544_MONPZ",2,1,"UP000101269",319
"36","tr|Q8V544|Q8V544_MONPZ",3,6,"UP000101269",319
"37","sp|P11158|RIR2_VACCW",2,1,"UP000000344",319
"38","sp|P11158|RIR2_VACCW",3,6,"UP000000344",319
"39","sp|P12848|RIR1_VACCW",1,2,"UP000000344",771
"40","sp|P12848|RIR1_VACCW",2,5,"UP000000344",771
"41","sp|P12848|RIR1_VACCW",3,9,"UP000000344",771
"42","sp|P0DSS7|RIR2_VAR67",2,1,"UP000002060",319
"43","sp|P0DSS7|RIR2_VAR67",3,6,"UP000002060",319
"44","sp|P0DSV1|RIR1_VAR67",1,2,"UP000002060",771
"45","sp|P0DSV1|RIR1_VAR67",2,5,"UP000002060",771
"46","sp|P0DSV1|RIR1_VAR67",3,9,"UP000002060",771
"47","tr|Q6TUZ2|Q6TUZ2_YMTV5",3,1,"UP000008596",325
"48","sp|Q9DHU2|RIR2_YLDV",3,2,"UP000136581",325
