"","virus","Pathogen","A","C","D","E","F","G","H","I","K","L","M","N","P","Q","R","S","T","V","W","Y","X","U"
"1","UP000180764","Adenoassociated virus 2",7.02317290552585,1.71122994652406,5.77540106951872,5.81105169340464,4.20677361853832,5.91800356506239,2.28163992869875,4.63458110516934,6.59536541889483,6.27450980392157,1.99643493761141,5.27629233511586,5.91800356506239,5.24064171122995,4.77718360071301,7.59358288770054,6.88057040998217,6.7379679144385,2.31729055258467,3.03030303030303,NA,NA
"2","UP000119554","Aichi virus",9.33388157894737,1.19243421052632,4.72861842105263,3.90625,4.11184210526316,6.45559210526316,2.50822368421053,4.76973684210526,2.96052631578947,9.12828947368421,1.48026315789474,4.15296052631579,8.59375,3.98848684210526,4.39967105263158,8.88157894736842,7.60690789473684,6.33223684210526,2.01480263157895,3.45394736842105,NA,NA
"3","UP000006934","Australian bat lyssavirus",4.04208194905869,1.85492801771872,5.73089700996678,5.81395348837209,4.29125138427464,5.62015503875969,2.51937984496124,7.44739756367663,5.67552602436323,10.7142857142857,2.43632336655592,4.09745293466224,5.01107419712071,3.18383167220377,5.81395348837209,10.1605758582503,5.03875968992248,5.37098560354374,1.60575858250277,3.57142857142857,NA,NA
"4","UP000000832","Banna virus",6.31330182309251,1.2660364618501,6.60027008777853,5.33423362592843,3.7643484132343,5.38487508440243,2.29574611748818,6.76907494935854,6.61715057393653,9.21674544226874,2.68399729912221,6.76907494935854,3.30857528696826,3.02160702228224,4.69277515192438,7.35989196488859,5.80688723835246,7.91694800810263,0.607697501688049,4.27076299797434,NA,NA
"5","UP000007609","Barmah forest virus",8.13698630136986,2.95890410958904,5.01369863013699,5.20547945205479,3.36986301369863,5.72602739726027,2.9041095890411,5.23287671232877,6.3013698630137,7.47945205479452,2.13698630136986,3.64383561643836,6.27397260273973,3.80821917808219,5.23287671232877,6.95890410958904,7.12328767123288,7.6986301369863,1.17808219178082,3.56164383561644,0.0547945205479452,NA
"6","UP000145981","BK polyomavirus",7.26965342349958,1.60608622147084,5.32544378698225,6.2552831783601,3.63482671174979,6.59340659340659,1.52155536770921,4.81825866441251,5.24091293322063,8.79120879120879,2.53592561284869,4.48013524936602,5.74809805579036,4.81825866441251,6.67793744716822,6.33981403212172,6.93153000845308,6.33981403212172,1.69061707523246,3.38123415046492,NA,NA
"7","UP000002476","Bunyamwera virus",4.84394506866417,2.69662921348315,5.36828963795256,6.06741573033708,5.19350811485643,4.36953807740325,2.29712858926342,8.46441947565543,7.76529338327091,9.61298377028714,2.74656679151061,5.61797752808989,3.22097378277154,3.29588014981273,3.89513108614232,7.19101123595506,6.6167290886392,5.69288389513109,1.04868913857678,3.99500624219725,NA,NA
"8","UP000008768","Bunyavirus La Crosse",4.93674026296204,2.77846688166708,5.68097246340858,6.3011659637807,4.49020094269412,4.58943190275366,2.2575043413545,8.45943934507566,8.03770776482262,9.17886380550732,2.9025055817415,5.50731828330439,3.34904490200943,3.24981394194989,4.21731580253039,7.31828330439097,6.00347308360208,5.08558670305135,1.09154056065492,4.56462416273877,NA,NA
"9","UP000150053","Bunyavirus snowshoe hare",5.16000992309601,2.77846688166708,5.78020342346812,6.20193500372116,4.66385512279831,4.39096998263458,2.30711982138427,8.31059290498636,7.88886132473332,9.12924832547755,2.85289010171173,5.50731828330439,3.32423716199454,3.27462168196477,4.44058546266435,7.49193748449516,5.92904986355743,5.08558670305135,1.06673282064004,4.41577772264947,NA,NA
"10","UP000137988","Cercopithecine alphaherpesvirus 2",15.9455594979611,1.72906847428904,5.33019117724938,5.45199385690833,3.34427792194037,8.09193454429911,2.29041995445639,2.06270190118096,1.15712545676005,9.95604511994916,1.39543504739713,1.67346290314039,9.28613038182492,2.26129322671186,9.7442143727162,5.10776889265477,4.75295239103956,6.91892178149658,1.12270296033469,2.37780013768999,NA,NA
"11","UP000008448","Chandipura virus",4.83915314819907,1.67720648886445,5.88397030519659,5.88397030519659,4.37173494638438,5.96645587022271,2.41957657409953,6.73632114379984,6.95628265053616,9.73329667308221,2.55705251580973,4.34423975804234,4.92163871322519,2.96948034094034,5.19659059664559,8.85345064613693,5.91146549353863,5.52653285675007,1.92466318394281,3.32691778938686,NA,NA
"12","UP000000569","Chikungunya virus",7.9850417949846,3.23361196656401,4.64144302683678,5.71931368235812,2.92564892212934,5.76330840299164,2.92564892212934,4.55345358556973,6.00527936647602,7.83106027276727,2.46370435547734,4.09150901891773,6.44522657281126,3.89353277606687,5.71931368235812,6.11526616805983,7.19313682358117,7.80906291245051,1.12186537615486,3.56357237131544,NA,NA
"13","UP000029753","Cosavirus A",6.87382297551789,1.55367231638418,5.93220338983051,4.61393596986817,5.7909604519774,6.68549905838041,2.21280602636535,4.75517890772128,5.60263653483992,8.75706214689266,2.87193973634652,4.84934086629002,6.35593220338983,2.91902071563088,4.19020715630885,7.39171374764595,7.48587570621469,6.73258003766478,0.894538606403013,3.53107344632768,NA,NA
"14","UP000152733","Cowpox virus",3.82661398140171,2.18366558721293,6.90157164502808,5.39528803588936,4.39406993671826,3.9454529249235,2.13910098339226,9.48186220624499,7.20312546421462,8.7599156243501,2.76746189726373,6.93573784129059,3.3750259960189,2.15841231171455,4.36287471404379,7.79286372144152,6.10237974984402,6.1142636441962,0.689265872426394,5.4710478623845,NA,NA
"15","UP000007757","Coxsackievirus A16",7.66073871409029,1.91518467852257,5.28955768353853,4.92476060191518,4.05836753305974,6.97674418604651,2.37118103055176,6.15595075239398,4.92476060191518,8.16233470132239,2.32558139534884,4.92476060191518,5.56315549475604,3.9671682626539,4.51436388508892,7.02234382124943,7.02234382124943,6.83994528043776,1.41358869129047,3.9671682626539,NA,NA
"16","UP000008767","Crimean-Congo hemorrhagic fever virus",4.6146293568974,2.9945999018164,5.10554737358861,6.82376043200785,4.05825560464736,5.23645884470627,2.3073146784487,5.98919980363279,7.26558664702995,11.1929307805596,2.12731140566192,4.89281623302242,3.55097365406644,3.42006218294878,4.81099656357388,9.18016691212568,6.75830469644903,6.05465553919162,1.06365570283096,2.55277368679431,NA,NA
"17","UP000002500","Dengue virus type 1",7.07547169811321,1.73938679245283,4.24528301886792,6.4563679245283,3.18396226415094,8.28419811320755,2.12264150943396,5.77830188679245,6.0436320754717,9.34551886792453,3.71462264150943,3.74410377358491,4.12735849056604,3.21344339622642,5.66037735849057,5.98466981132075,7.63561320754717,6.69221698113208,2.83018867924528,2.12264150943396,NA,NA
"18","UP000181622","Dhori virus (Thogotovirus dhoriense)",5.71258554001785,1.84468908063076,4.37369830407617,7.91431121689973,3.54061291282356,5.38530199345433,2.26123177625707,5.62332639095507,7.28949717346028,9.61023504909253,2.61826837250818,3.86789645938709,4.93900624814043,3.8083903600119,5.53406724189229,6.84320142814639,6.81344837845879,6.48616483189527,1.66617078250521,3.86789645938709,NA,NA
"19","UP000000278","Dugbe virus",4.2668863261944,2.96540362438221,5.46952224052718,7.1169686985173,3.98682042833608,5.23887973640857,1.91103789126853,5.86490939044481,7.80889621087315,11.3014827018122,2.10873146622735,4.71169686985173,3.14662273476112,3.45963756177924,5.20593080724876,8.86326194398682,6.35914332784185,6.55683690280066,1.08731466227348,2.57001647446458,NA,NA
"20","UP000117552","Duvenhage virus",4.51398504569371,1.74466906674051,5.78787039601218,5.70479091664359,4.54167820548325,5.5386319579064,2.46469122126835,6.59097202990861,5.56632511769593,10.7172528385489,2.27083910274162,4.0708944890612,4.79091664358903,3.15702021600665,6.0648019939075,10.1356964829687,5.28939351980061,6.00941567432844,1.63389642758239,3.40625865411243,NA,NA
"21","UP000110644","Eastern equine encephalitis virus",8.19057815845824,2.89079229122056,5.08565310492505,5.11241970021413,3.31905781584582,5.64775160599572,3.05139186295503,5.5406852248394,6.15631691648822,7.36081370449679,2.03426124197002,4.01498929336188,6.58458244111349,3.23875802997859,5.406852248394,6.45074946466809,7.20021413276231,7.97644539614561,1.04389721627409,3.66702355460385,0.0267665952890792,NA
"22","UP000007209","Zaire ebolavirus",6.17036767382599,1.63815070986531,5.13287222424463,5.53330906443393,4.58682198762286,5.6789224608664,2.96687295231161,5.95194757917728,5.22388059701492,10.0837277029487,1.67455405897343,4.60502366217692,5.47870404077175,5.04186385147434,5.20567892246087,7.66290498725883,7.60829996359665,5.38769566800146,1.36512559155442,3.00327630141973,NA,NA
"23","UP000000670","Echovirus 23",4.72693896282698,2.11106011932079,6.10371730151446,5.32354290959156,4.40569068379991,5.69068379990821,2.52409362092703,6.70032124827903,7.2969251950436,8.67370353373107,2.93712712253327,5.00229463056448,4.54336851766866,3.80908673703534,3.21248279027077,7.75585130793942,7.34281780633318,6.56264341441028,1.23910050481872,4.03854979348325,NA,NA
"24","UP000002319","Encephalomyocarditis virus",7.85123966942149,1.52892561983471,4.91735537190083,5.33057851239669,5.57851239669422,5.90909090909091,1.69421487603306,3.96694214876033,5.12396694214876,8.18181818181818,2.23140495867769,4.54545454545455,6.44628099173554,4.46280991735537,5.20661157024793,7.23140495867769,7.60330578512397,7.52066115702479,1.36363636363636,3.30578512396694,NA,NA
"25","UP000153037","Epstein-Barr virus",9.35179833726048,1.93615791579603,4.37247143555773,5.18605788467523,3.37216022762637,7.90468145645312,2.53634464055484,3.29658115858267,2.90757124438714,10.0097808206998,1.80278308807184,2.70528608900547,9.67856666518472,4.1279509180634,7.2244698350598,7.68905881829903,5.85515493709154,6.32641266171698,1.18481305294981,2.53189881296403,NA,NA
"26","UP000008926","European bat lyssavirus 1",4.83064963908939,1.74902831760133,5.99666851749028,5.46918378678512,4.44197667962243,5.69128262076624,2.16546363131594,6.55191560244309,5.85785674625208,10.6607440310938,2.5541365907829,4.16435313714603,4.91393670183232,3.1093836757357,5.88561910049972,9.68906163242643,5.27484730705164,5.74680732926152,1.63797890061077,3.60910605219323,NA,NA
"27","UP000008627","Hantaan virus",5.8950201884253,2.61103633916555,5.3835800807537,6.05652759084791,4.89905787348587,5.46433378196501,2.50336473755047,7.02557200538358,6.70255720053836,9.42126514131898,2.58411843876178,3.95693135935397,3.82234185733513,3.76850605652759,4.3606998654105,7.99461641991925,5.86810228802153,6.4064602960969,1.5343203230148,3.74158815612382,NA,NA
"28","UP000008771","Hendra virus",4.64002642007926,1.71730515191546,6.5554821664465,6.4894319682959,3.10435931307794,6.25825627476882,1.88243064729194,7.48018494055482,6.09313077939234,9.09841479524439,2.72457067371202,5.23447820343461,5.16842800528402,3.91347424042272,5.43262879788639,8.43791281373844,5.66380449141347,5.86195508586526,0.95772787318362,3.28599735799207,NA,NA
"29","UP000006724","Human hepatitis A virus genotype IB",5.43331836551415,1.930848675348,5.88235294117647,5.38841490794791,5.38841490794791,6.1966771441401,2.3349797934441,6.37629097440503,6.10687022900763,8.80107768298159,3.23304894476875,4.58015267175572,4.31073192635833,4.08621463852717,3.95150426582847,7.67849124382577,5.9272563987427,7.27436012572968,1.61652447238437,3.50246969016614,NA,NA
"30","UP000008591","Hepatitis B virus genotype C subtype ayr",5.91517857142857,3.06919642857143,2.90178571428571,3.18080357142857,4.91071428571429,6.52901785714286,3.125,3.68303571428571,2.62276785714286,11.9419642857143,1.5625,3.45982142857143,9.15178571428571,3.57142857142857,7.31026785714286,10.4910714285714,5.859375,5.41294642857143,2.56696428571429,2.734375,NA,NA
"31","UP000000518","Hepatitis C virus genotype 1a",9.36022691459187,3.34068704695871,3.84494169555626,3.71887803340687,2.80491648282383,8.54081311062086,2.1745981720769,4.12858493539237,3.21462338480933,10.1481248030255,1.82792310116609,2.86794831389852,7.09108099590293,2.74188465174913,6.27166719193193,7.28017648912701,7.15411282697762,8.00504254648598,2.36369366530098,3.12007563819729,NA,NA
"32","UP000006675","Hepatitis delta virus genotype I",3.66748166259169,0.244498777506112,5.37897310513447,12.2249388753056,2.20048899755501,13.6919315403423,0.97799511002445,2.68948655256724,10.2689486552567,7.09046454767726,1.46699266503667,2.44498777506112,7.57946210268949,3.9119804400978,12.958435207824,5.13447432762836,2.93398533007335,3.9119804400978,1.22249388753056,NA,NA,NA
"33","UP000006705","Hepatitis E virus genotype 1",11.3092825293879,2.3104985812728,4.37778678556952,4.29671665991082,3.97243615727604,7.29631130928253,2.79691933522497,3.9319010944467,1.90514795297933,9.40413457640859,1.33765707336846,2.83745439805432,7.86380218889339,3.40494527766518,7.21524118362383,6.97203080664775,7.13417105796514,7.37738143494122,1.33765707336846,2.91852452371301,NA,NA
"34","UP000007407","Hepatitis B virus genotype G",6.0377358490566,2.89308176100629,3.14465408805031,2.70440251572327,5.0314465408805,6.47798742138365,3.14465408805031,3.58490566037736,2.89308176100629,11.8867924528302,1.63522012578616,3.52201257861635,9.43396226415094,3.89937106918239,6.41509433962264,10.188679245283,5.84905660377358,5.47169811320755,2.70440251572327,3.08176100628931,NA,NA
"35","UP000111173","Horsepox virus",3.82766686961259,2.13253436728939,6.74047489345339,5.29208190470087,4.54545454545455,3.92059473835998,2.12292113948794,9.49466465857019,7.45986477392893,8.85698721440702,2.80385810875765,7.04008715993207,3.3566187073413,2.20783798506745,4.24744448360945,7.66174255775948,6.13003492806101,6.08997981222162,0.688947992437594,5.38020315954754,NA,NA
