"","query_seqname","query_start","mismatches","count","Proteome ID","PLength"
"1","tr|Q5Y0P4|Q5Y0P4_9ALPH",344,3,2,"UP000137988",630
"2","tr|Q5Y0P4|Q5Y0P4_9ALPH",345,3,2,"UP000137988",630
"3","tr|Q5Y0P4|Q5Y0P4_9ALPH",346,3,2,"UP000137988",630
"4","tr|Q5Y0P4|Q5Y0P4_9ALPH",347,3,2,"UP000137988",630
"5","tr|Q5Y0P4|Q5Y0P4_9ALPH",348,3,2,"UP000137988",630
"6","tr|Q5Y0P4|Q5Y0P4_9ALPH",353,3,2,"UP000137988",630
"7","tr|Q8QMP9|Q8QMP9_CWPXB",208,3,1,"UP000152733",299
"8","tr|Q8QMP9|Q8QMP9_CWPXB",209,3,1,"UP000152733",299
"9","tr|Q8QMP9|Q8QMP9_CWPXB",210,3,1,"UP000152733",299
"10","tr|Q8QMQ5|Q8QMQ5_CWPXB",225,3,1,"UP000152733",554
"11","tr|Q8QMQ5|Q8QMQ5_CWPXB",226,3,1,"UP000152733",554
"12","tr|Q8QMQ5|Q8QMQ5_CWPXB",227,2,1,"UP000152733",554
"13","tr|Q8QMQ5|Q8QMQ5_CWPXB",228,3,1,"UP000152733",554
"14","tr|Q8QMR0|Q8QMR0_CWPXB",212,3,1,"UP000152733",345
"15","tr|Q8QMR0|Q8QMR0_CWPXB",213,2,1,"UP000152733",345
"16","tr|Q8QMR0|Q8QMR0_CWPXB",214,2,1,"UP000152733",345
"17","tr|Q8QMR0|Q8QMR0_CWPXB",215,3,1,"UP000152733",345
"18","tr|Q8QMR0|Q8QMR0_CWPXB",216,3,1,"UP000152733",345
"19","tr|Q8QMS8|Q8QMS8_CWPXB",31,3,3,"UP000152733",192
"20","tr|Q8QMS8|Q8QMS8_CWPXB",32,2,2,"UP000152733",192
"21","tr|Q8QMS8|Q8QMS8_CWPXB",32,3,3,"UP000152733",192
"22","tr|Q8QMS8|Q8QMS8_CWPXB",33,1,1,"UP000152733",192
"23","tr|Q8QMS8|Q8QMS8_CWPXB",33,2,3,"UP000152733",192
"24","tr|Q8QMS8|Q8QMS8_CWPXB",33,3,3,"UP000152733",192
"25","tr|Q8QMS8|Q8QMS8_CWPXB",34,1,2,"UP000152733",192
"26","tr|Q8QMS8|Q8QMS8_CWPXB",34,2,2,"UP000152733",192
"27","tr|Q8QMS8|Q8QMS8_CWPXB",34,3,6,"UP000152733",192
"28","tr|Q8QMS8|Q8QMS8_CWPXB",35,2,4,"UP000152733",192
"29","tr|Q8QMS8|Q8QMS8_CWPXB",35,3,5,"UP000152733",192
"30","tr|Q8QMS8|Q8QMS8_CWPXB",36,2,4,"UP000152733",192
"31","tr|Q8QMS8|Q8QMS8_CWPXB",36,3,5,"UP000152733",192
"32","tr|Q8QMS8|Q8QMS8_CWPXB",37,2,4,"UP000152733",192
"33","tr|Q8QMS8|Q8QMS8_CWPXB",37,3,5,"UP000152733",192
"34","tr|Q8QMS8|Q8QMS8_CWPXB",38,2,4,"UP000152733",192
"35","tr|Q8QMS8|Q8QMS8_CWPXB",38,3,5,"UP000152733",192
"36","tr|Q8QMS8|Q8QMS8_CWPXB",39,2,4,"UP000152733",192
"37","tr|Q8QMS8|Q8QMS8_CWPXB",39,3,5,"UP000152733",192
"38","tr|Q8QMS8|Q8QMS8_CWPXB",40,2,4,"UP000152733",192
"39","tr|Q8QMS8|Q8QMS8_CWPXB",40,3,5,"UP000152733",192
"40","tr|Q8QMS8|Q8QMS8_CWPXB",41,2,4,"UP000152733",192
