"","query_seqname","query_start","mismatches","count","Proteome ID","PLength"
"1","sp|O91464|POLG_AIVA8",550,3,1,"UP000119554",2432
"2","sp|O91464|POLG_AIVA8",1130,3,1,"UP000119554",2432
"3","sp|O91464|POLG_AIVA8",1132,3,1,"UP000119554",2432
"4","sp|Q9QSP0|L_ABLVB",1423,3,1,"UP000006934",2128
"5","sp|Q9QSP1|GLYCO_ABLVB",43,3,1,"UP000006934",525
"6","sp|P87515|POLN_BFV",103,3,1,"UP000007609",2411
"7","sp|P89946|POLS_BFV",43,3,1,"UP000007609",1239
"8","sp|P89946|POLS_BFV",44,3,1,"UP000007609",1239
"9","tr|Q0PCM7|Q0PCM7_POVBK",20,3,1,"UP000145981",351
"10","sp|P20470|L_BUNYW",2044,3,1,"UP000002476",2238
"11","sp|Q8JPR0|NCAP_BUNL8",220,3,1,"UP000008768",235
"12","sp|Q8JPR2|L_BUNL8",389,3,2,"UP000008768",2263
"13","sp|Q8JPR2|L_BUNL8",390,3,2,"UP000008768",2263
"14","sp|Q8JPR2|L_BUNL8",1086,3,1,"UP000008768",2263
"15","tr|A8WA74|A8WA74_BUNSH",389,3,2,"UP000150053",2263
"16","tr|A8WA74|A8WA74_BUNSH",390,3,2,"UP000150053",2263
"17","tr|A8WA74|A8WA74_BUNSH",856,3,1,"UP000150053",2263
"18","tr|A8WA74|A8WA74_BUNSH",1086,3,1,"UP000150053",2263
"19","tr|Q5Y0M9|Q5Y0M9_9ALPH",4,3,1,"UP000137988",1167
"20","tr|Q5Y0M9|Q5Y0M9_9ALPH",162,3,1,"UP000137988",1167
"21","tr|Q5Y0M9|Q5Y0M9_9ALPH",166,3,6,"UP000137988",1167
"22","tr|Q5Y0M9|Q5Y0M9_9ALPH",167,3,6,"UP000137988",1167
"23","tr|Q5Y0M9|Q5Y0M9_9ALPH",173,3,2,"UP000137988",1167
"24","tr|Q5Y0M9|Q5Y0M9_9ALPH",174,3,4,"UP000137988",1167
"25","tr|Q5Y0M9|Q5Y0M9_9ALPH",307,3,1,"UP000137988",1167
"26","tr|Q5Y0M9|Q5Y0M9_9ALPH",404,3,1,"UP000137988",1167
"27","tr|Q5Y0M9|Q5Y0M9_9ALPH",406,3,4,"UP000137988",1167
"28","tr|Q5Y0M9|Q5Y0M9_9ALPH",407,3,1,"UP000137988",1167
"29","tr|Q5Y0M9|Q5Y0M9_9ALPH",408,3,1,"UP000137988",1167
"30","tr|Q5Y0M9|Q5Y0M9_9ALPH",448,3,2,"UP000137988",1167
"31","tr|Q5Y0M9|Q5Y0M9_9ALPH",449,3,1,"UP000137988",1167
"32","tr|Q5Y0M9|Q5Y0M9_9ALPH",459,3,4,"UP000137988",1167
"33","tr|Q5Y0M9|Q5Y0M9_9ALPH",461,3,1,"UP000137988",1167
"34","tr|Q5Y0M9|Q5Y0M9_9ALPH",528,3,1,"UP000137988",1167
"35","tr|Q5Y0M9|Q5Y0M9_9ALPH",529,3,2,"UP000137988",1167
"36","tr|Q5Y0M9|Q5Y0M9_9ALPH",539,3,1,"UP000137988",1167
"37","tr|Q5Y0M9|Q5Y0M9_9ALPH",582,3,2,"UP000137988",1167
"38","tr|Q5Y0M9|Q5Y0M9_9ALPH",583,3,2,"UP000137988",1167
"39","tr|Q5Y0M9|Q5Y0M9_9ALPH",584,2,1,"UP000137988",1167
"40","tr|Q5Y0M9|Q5Y0M9_9ALPH",585,3,1,"UP000137988",1167
"41","tr|Q5Y0M9|Q5Y0M9_9ALPH",784,3,1,"UP000137988",1167
"42","tr|Q5Y0N2|Q5Y0N2_9ALPH",263,3,1,"UP000137988",276
"43","tr|Q5Y0N5|Q5Y0N5_9ALPH",100,3,1,"UP000137988",540
"44","tr|Q5Y0N5|Q5Y0N5_9ALPH",175,3,1,"UP000137988",540
"45","tr|Q5Y0N5|Q5Y0N5_9ALPH",176,3,4,"UP000137988",540
"46","tr|Q5Y0N5|Q5Y0N5_9ALPH",177,2,1,"UP000137988",540
"47","tr|Q5Y0N5|Q5Y0N5_9ALPH",177,3,12,"UP000137988",540
"48","tr|Q5Y0N5|Q5Y0N5_9ALPH",193,3,1,"UP000137988",540
"49","tr|Q5Y0N5|Q5Y0N5_9ALPH",194,3,1,"UP000137988",540
"50","tr|Q5Y0N5|Q5Y0N5_9ALPH",195,3,1,"UP000137988",540
"51","tr|Q5Y0N5|Q5Y0N5_9ALPH",471,3,1,"UP000137988",540
"52","tr|Q5Y0N7|Q5Y0N7_9ALPH",5,3,6,"UP000137988",395
"53","tr|Q5Y0N7|Q5Y0N7_9ALPH",345,3,3,"UP000137988",395
"54","tr|Q5Y0N7|Q5Y0N7_9ALPH",346,3,6,"UP000137988",395
"55","tr|Q5Y0N7|Q5Y0N7_9ALPH",347,3,5,"UP000137988",395
"56","tr|Q5Y0N7|Q5Y0N7_9ALPH",351,3,2,"UP000137988",395
"57","tr|Q5Y0N7|Q5Y0N7_9ALPH",352,3,2,"UP000137988",395
"58","tr|Q5Y0N9|Q5Y0N9_9ALPH",217,3,3,"UP000137988",604
"59","tr|Q5Y0N9|Q5Y0N9_9ALPH",454,3,1,"UP000137988",604
"60","tr|Q5Y0N9|Q5Y0N9_9ALPH",455,3,1,"UP000137988",604
"61","tr|Q5Y0N9|Q5Y0N9_9ALPH",456,2,1,"UP000137988",604
"62","tr|Q5Y0N9|Q5Y0N9_9ALPH",457,3,1,"UP000137988",604
"63","tr|Q5Y0N9|Q5Y0N9_9ALPH",459,3,3,"UP000137988",604
"64","tr|Q5Y0N9|Q5Y0N9_9ALPH",460,3,1,"UP000137988",604
"65","tr|Q5Y0N9|Q5Y0N9_9ALPH",461,3,2,"UP000137988",604
"66","tr|Q5Y0N9|Q5Y0N9_9ALPH",462,3,20,"UP000137988",604
"67","tr|Q5Y0N9|Q5Y0N9_9ALPH",463,2,5,"UP000137988",604
"68","tr|Q5Y0N9|Q5Y0N9_9ALPH",463,3,55,"UP000137988",604
"69","tr|Q5Y0N9|Q5Y0N9_9ALPH",464,1,1,"UP000137988",604
"70","tr|Q5Y0N9|Q5Y0N9_9ALPH",464,2,26,"UP000137988",604
"71","tr|Q5Y0N9|Q5Y0N9_9ALPH",464,3,179,"UP000137988",604
"72","tr|Q5Y0N9|Q5Y0N9_9ALPH",465,2,6,"UP000137988",604
"73","tr|Q5Y0N9|Q5Y0N9_9ALPH",465,3,80,"UP000137988",604
"74","tr|Q5Y0N9|Q5Y0N9_9ALPH",466,1,1,"UP000137988",604
"75","tr|Q5Y0N9|Q5Y0N9_9ALPH",466,2,43,"UP000137988",604
"76","tr|Q5Y0N9|Q5Y0N9_9ALPH",466,3,187,"UP000137988",604
"77","tr|Q5Y0N9|Q5Y0N9_9ALPH",467,2,4,"UP000137988",604
"78","tr|Q5Y0N9|Q5Y0N9_9ALPH",467,3,93,"UP000137988",604
"79","tr|Q5Y0N9|Q5Y0N9_9ALPH",468,3,14,"UP000137988",604
"80","tr|Q5Y0N9|Q5Y0N9_9ALPH",469,3,6,"UP000137988",604
"81","tr|Q5Y0N9|Q5Y0N9_9ALPH",470,2,1,"UP000137988",604
"82","tr|Q5Y0N9|Q5Y0N9_9ALPH",470,3,1,"UP000137988",604
"83","tr|Q5Y0N9|Q5Y0N9_9ALPH",471,2,1,"UP000137988",604
